split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox,FDA_APPROVED,tr,121,1475,1119,75,0.06702412868632708,73,2,116,1003,0.8963360142984808,0.9733333333333334,0.9011725293132329,0.5780772858990997,0.9983532589537112,0.9754364015490021
1,clintox,FDA_APPROVED,va,121,1475,126,7,0.05555555555555555,7,0,16,110,0.873015873015873,1.0,0.8796992481203008,0.5154614273559044,0.9984534607534358,0.971655328798186
1,clintox,FDA_APPROVED,te,121,1475,137,11,0.08029197080291971,8,3,17,120,0.8759124087591241,0.7272727272727273,0.8648648648648649,0.4222646219422713,0.9920617294140184,0.905109489051095
2,clintox,FDA_APPROVED,tr,121,1475,1122,72,0.06417112299465241,69,3,152,970,0.8645276292335116,0.9583333333333334,0.8701842546063652,0.5043552885554792,0.996525858402201,0.9479723707664884
2,clintox,FDA_APPROVED,va,121,1475,123,10,0.08130081300813008,6,4,12,111,0.9024390243902439,0.6,0.8796992481203008,0.3873028980242161,0.9834612560698914,0.8455284552845529
2,clintox,FDA_APPROVED,te,121,1475,137,11,0.08029197080291971,8,3,18,119,0.8686131386861314,0.7272727272727273,0.8581081081081081,0.4107268752930274,0.9930892363450239,0.9177173191771733
3,clintox,FDA_APPROVED,tr,121,1475,1117,77,0.06893464637421665,75,2,126,991,0.8871978513876455,0.974025974025974,0.8927973199329984,0.5653473126163386,0.9983972048056914,0.9770256601053378
3,clintox,FDA_APPROVED,va,121,1475,123,10,0.08130081300813008,7,3,17,106,0.8617886178861789,0.7,0.849624060150376,0.3852180440973941,0.9885631687761671,0.8821138211382114
3,clintox,FDA_APPROVED,te,121,1475,142,6,0.04225352112676056,2,4,19,123,0.8661971830985915,0.3333333333333333,0.8445945945945946,0.11277624134745137,0.9923630485201165,0.8333333333333333
4,clintox,FDA_APPROVED,tr,121,1475,1117,77,0.06893464637421665,70,7,196,921,0.8245299910474485,0.9090909090909091,0.8299832495812395,0.4330408217175332,0.9951759113293348,0.9348963480565987
4,clintox,FDA_APPROVED,va,121,1475,125,8,0.064,6,2,22,103,0.824,0.75,0.8195488721804511,0.3347635981803671,0.9910627217299599,0.869
