,rdkit,minimol,moe
freesolv,0.908,0.859,0.918
esol,0.904,0.894,0.91
lipop,0.691,0.702,0.737
bace,0.883,0.89,0.873
bbbp,0.92,0.911,0.917
clintox,0.859,0.766,0.781
sider,0.636,0.641,0.645
tox21,0.829,0.861,0.834
clintox1,0.858,0.714,0.772
clintox2,0.855,0.794,0.799
sider1,0.692,0.7,0.714
sider2,0.581,0.596,0.632
sider3,0.56,0.562,0.551
sider4,0.624,0.632,0.64
sider5,0.663,0.678,0.681
sider6,0.626,0.654,0.644
sider7,0.723,0.682,0.722
sider8,0.614,0.571,0.622
sider9,0.596,0.606,0.604
sider10,0.674,0.695,0.694
sider11,0.697,0.72,0.702
sider12,0.587,0.598,0.594
sider13,0.694,0.701,0.702
sider14,0.576,0.568,0.608
sider15,0.647,0.65,0.659
sider16,0.707,0.726,0.724
sider17,0.617,0.653,0.615
sider18,0.601,0.595,0.592
sider19,0.656,0.647,0.653
sider20,0.62,0.62,0.627
sider21,0.664,0.67,0.68
sider22,0.644,0.655,0.645
sider23,0.575,0.594,0.591
sider24,0.65,0.64,0.647
sider25,0.685,0.702,0.716
sider26,0.663,0.626,0.671
sider27,0.597,0.596,0.605
tox211,0.799,0.694,0.786
tox212,0.835,0.771,0.832
tox213,0.89,0.846,0.889
tox214,0.845,0.812,0.851
tox215,0.734,0.57,0.741
tox216,0.823,0.705,0.821
tox217,0.826,0.798,0.847
tox218,0.824,0.732,0.817
tox219,0.83,0.842,0.831
tox2110,0.785,0.599,0.802
tox2111,0.923,0.895,0.924
tox2112,0.847,0.829,0.832
hiv,0.798,0.853,0.812
