rmse,mae,r2,split,set,model,dataset
0.4212884534213315,0.31669557,0.9588860049816803,1,train,attentivefp,esol
0.30375353400996347,0.22354132,0.9796140179423101,2,train,attentivefp,esol
0.30367960875614347,0.21807021,0.978319745634908,3,train,attentivefp,esol
0.42023176247386934,0.31554633,0.9591299622583855,4,train,attentivefp,esol
0.38118391636810295,0.28483045,0.9664131136403997,5,train,attentivefp,esol
0.27843026114322056,0.20311925,0.9821982566253749,6,train,attentivefp,esol
0.45183834375726983,0.33454615,0.9543159821410451,7,train,attentivefp,esol
0.36533130032839206,0.26640898,0.9701359701094456,8,train,attentivefp,esol
0.36845883981446376,0.2755639,0.9682126130898849,9,train,attentivefp,esol
0.4311935733423293,0.32563418,0.956513943500824,10,train,attentivefp,esol
0.28626679027656055,0.20662405,0.98151670907261,11,train,attentivefp,esol
0.42670545104013474,0.3234504,0.9583143496470906,12,train,attentivefp,esol
0.3320942650630622,0.24867076,0.9756365523214003,13,train,attentivefp,esol
0.4670837031875403,0.34751812,0.950024339766217,14,train,attentivefp,esol
0.318307685166246,0.23278081,0.9775114996682877,15,train,attentivefp,esol
0.4796782402611074,0.35125554,0.94366159745841,1,validation,attentivefp,esol
0.5745232481888152,0.41411823,0.9081913806371699,2,validation,attentivefp,esol
0.5886807122734765,0.4420112,0.9411463722003979,3,validation,attentivefp,esol
0.5993537730812896,0.44513628,0.9323139717076896,4,validation,attentivefp,esol
0.6275268971427227,0.42776558,0.9261144582676335,5,validation,attentivefp,esol
0.49485784054669696,0.35869646,0.94432589730401,6,validation,attentivefp,esol
0.5746805060138945,0.42774218,0.9235825498022461,7,validation,attentivefp,esol
0.5493232963977602,0.4164583,0.9186466954486422,8,validation,attentivefp,esol
0.5111043313545417,0.3716607,0.9473175684368026,9,validation,attentivefp,esol
0.4760297705612878,0.32975534,0.9527363551250603,10,validation,attentivefp,esol
0.5651340007963818,0.40967047,0.9363851343987307,11,validation,attentivefp,esol
0.5820262575895497,0.4076523,0.9296257093948811,12,validation,attentivefp,esol
0.5355690804739541,0.38842893,0.9216707441592875,13,validation,attentivefp,esol
0.605755473511669,0.4466056,0.9235609568727124,14,validation,attentivefp,esol
0.4772506342094847,0.34991446,0.9491069153591134,15,validation,attentivefp,esol
0.5422194820502663,0.39707583,0.9436813435873124,1,test,attentivefp,esol
0.5296568543787823,0.38940483,0.9302073143733389,2,test,attentivefp,esol
0.4842669920325543,0.34715596,0.9429997533675137,3,test,attentivefp,esol
0.5809841337565373,0.41394883,0.917387167144373,4,test,attentivefp,esol
0.5414998060368748,0.40012363,0.9205209477035904,5,test,attentivefp,esol
0.735204755457835,0.49734524,0.8835865877176621,6,test,attentivefp,esol
0.5336746813499703,0.40009975,0.9252409550810932,7,test,attentivefp,esol
0.575851506536682,0.43159592,0.9188845465894491,8,test,attentivefp,esol
0.5432883220977002,0.42369202,0.9389812482704055,9,test,attentivefp,esol
0.5101522097931458,0.38812017,0.947015825562042,10,test,attentivefp,esol
0.5444636452083111,0.40953693,0.9146964237018368,11,test,attentivefp,esol
0.5654585967637303,0.40998414,0.9231557914442428,12,test,attentivefp,esol
0.4993216413032869,0.37135944,0.9356599726748567,13,test,attentivefp,esol
0.5804905565152498,0.42222208,0.913679407127152,14,test,attentivefp,esol
0.5700731166992342,0.3917916,0.8979283383144878,15,test,attentivefp,esol
