rmse,mae,r2,split,set
0.41538505942200027,0.31194192,0.9600301656821514,1,train
0.408003452509643,0.31451136,0.9632195800306586,2,train
0.4295923301033413,0.33528253,0.9566143429857127,3,train
0.3841115746676617,0.30658415,0.9658538253710829,4,train
0.343768986264331,0.26701108,0.9726829396733111,5,train
0.5085135389324188,0.3939736,0.9406207471745734,6,train
0.36891771074949675,0.28246042,0.9695451059235101,7,train
0.2990048079415082,0.23292275,0.979995346879231,8,train
0.2739381974342166,0.20893629,0.9824295843641141,9,train
0.38543979042724874,0.30315655,0.9652528992867038,10,train
0.304958039997184,0.2337523,0.979024247510393,11,train
0.3343931006051223,0.2502783,0.9743997125364972,12,train
0.3690432869273114,0.2836821,0.9699135739670028,13,train
0.4386847496691069,0.34208676,0.9559166939885684,14,train
0.3358809955893734,0.25606886,0.9749598389760243,15,train
0.5984026667165749,0.46993083,0.9123218132225492,1,validation
0.6357898606387348,0.49046624,0.8875665731141196,2,validation
0.6633064678596834,0.5089291,0.92527910683842,3,validation
0.575162358789147,0.44408563,0.9376676613762821,4,validation
0.677879537817278,0.48501223,0.9137816275442312,5,validation
0.5760655709170635,0.45364976,0.9245540075952124,6,validation
0.6127793998279856,0.42669997,0.9131143639231222,7,validation
0.5163804502289587,0.39614183,0.9281116181917998,8,validation
0.5695696395264134,0.4232382,0.9345755159715021,9,validation
0.5441338915932015,0.42252263,0.9382452320635959,10,validation
0.6298926537506399,0.47626588,0.9209705715726538,11,validation
0.6234032260584892,0.44655848,0.9192640395770706,12,validation
0.6084835917486875,0.47792667,0.8988907954051851,13,validation
0.6820319508901799,0.5249963,0.9030986042976041,14,validation
0.4908916732699669,0.38567027,0.9461560298641041,15,validation
0.555983252269663,0.40398255,0.9407858606389581,1,test
0.612315492671558,0.46901014,0.9067237172837848,2,test
0.5828020253403502,0.43837163,0.9174439151573424,3,test
0.6744574662378926,0.46525198,0.8886659208166261,4,test
0.6785024199136915,0.4844896,0.8752160235932777,5,test
0.6692475241870707,0.5074056,0.9035371951508282,6,test
0.5823875463181898,0.43222636,0.910970333188106,7,test
0.5926430572964335,0.44280267,0.9140849980487529,8,test
0.5500271552057913,0.41045678,0.9374581359897352,9,test
0.6266992120162931,0.47869816,0.9200414492154337,10,test
0.5737867222255901,0.42559785,0.9052606359871521,11,test
0.5894514383401875,0.4153701,0.9164963186818054,12,test
0.6143576051222839,0.49184367,0.9025991041735056,13,test
0.5923315723468505,0.41388774,0.9101219088007331,14,test
0.5427819898219143,0.39281484,0.9074673733413735,15,test
