rmse,mae,r2,split,set
0.3499397123729812,0.26711163,0.9716327619915123,1,train
0.4061359465495472,0.3037976,0.9635555162454288,2,train
0.37764784680867225,0.27807826,0.9664720367875842,3,train
0.5415579215955167,0.4252617,0.9321238669798887,4,train
0.35381500465761256,0.2621942,0.9710630280230658,5,train
0.37637809021009616,0.28238443,0.9674704214861154,6,train
0.42419207016593624,0.3132984,0.9597354172283292,7,train
0.3694593274891972,0.26503164,0.9694572630406825,8,train
0.48864162116619614,0.37226212,0.9440940862390753,9,train
0.4274689185962558,0.31371772,0.9572619658322189,10,train
0.49233699223739186,0.367519,0.9453283283006244,11,train
0.3684049268694406,0.2819114,0.9689271522126309,12,train
0.4112142088136582,0.30919164,0.9626447002601466,13,train
0.45838281696687505,0.33902138,0.9518689044292311,14,train
0.5463761370386752,0.40728432,0.9337402601406739,15,train
0.5697731707800456,0.43286332,0.9205107385267969,1,validation
0.6393524416899496,0.489302,0.8863030291314851,2,validation
0.683143990925408,0.52444184,0.920742913975476,3,validation
0.6640255637274817,0.49879554,0.9169189257166759,4,validation
0.6862622954095721,0.52303296,0.9116360664636319,5,validation
0.5187132569594499,0.3633349,0.9388287937317785,6,validation
0.6475678322584204,0.4844512,0.9029690760600585,7,validation
0.5998531926875784,0.43607992,0.9029916466177486,8,validation
0.5698889897397581,0.4412469,0.9345021312033486,9,validation
0.600178228173008,0.43977,0.9248689599750523,10,validation
0.8174646625988985,0.57540506,0.8668951948398304,11,validation
0.5589769289599091,0.42321146,0.9350892463612713,12,validation
0.6089647330296833,0.48009932,0.898730823924235,13,validation
0.5685877914514846,0.44841546,0.9326534045731075,14,validation
0.6083755611325387,0.44219658,0.9172992860494172,15,validation
0.596528878640859,0.44660422,0.9318344397144074,1,test
0.6206943739411602,0.4289882,0.9041534892696093,2,test
0.6149548334500746,0.43345356,0.9080835257464867,3,test
0.8358463344596059,0.62856644,0.8290095394251691,4,test
0.5295463621538818,0.4001949,0.9239911814544522,5,test
0.7886350248059089,0.52250355,0.8660513005582037,6,test
0.6403184715651596,0.459938,0.8923776159408436,7,test
0.595680486530325,0.41447705,0.913202072924746,8,test
0.6229919600725706,0.48899695,0.9197643348494713,9,test
0.7287020610922045,0.5659102,0.8918947949130269,10,test
0.5853617573392211,0.4565518,0.9013997080479831,11,test
0.6383779240099239,0.4548974,0.9020588277685672,12,test
0.5955589495178839,0.42563322,0.9084686348439672,13,test
0.7011013579970683,0.5127444,0.8740826109121402,14,test
0.6466055811177147,0.4710409,0.8686823823625412,15,test
