rmse,mae,r2,split,set,model,dataset
0.517014365590615,0.39512125,0.9380793098135901,1,train,gat,esol
0.3028903805326115,0.23158439,0.9797297098867743,2,train,gat,esol
0.3809797439121633,0.30537656,0.9658778101120055,3,train,gat,esol
0.23758430647279996,0.18486856,0.9869364019950739,4,train,gat,esol
0.2735062921365146,0.21153736,0.9827083973159952,5,train,gat,esol
0.4527010249574778,0.35781565,0.9529399240249443,6,train,gat,esol
0.3177189968487503,0.2449676,0.9774116545458686,7,train,gat,esol
0.24619014305386863,0.18007357,0.986438242781594,8,train,gat,esol
0.30206014555146293,0.23473373,0.9786369253962375,9,train,gat,esol
0.5028565288776436,0.37333572,0.9408583218894859,10,train,gat,esol
0.4116888386467319,0.3110385,0.9617725262076174,11,train,gat,esol
0.3974932158389055,0.30838013,0.9638265700186345,12,train,gat,esol
0.1819422688568474,0.13547674,0.9926872087499484,13,train,gat,esol
0.4297445432772565,0.32476553,0.9576951810272044,14,train,gat,esol
0.29938304713111524,0.22964002,0.9801060665019696,15,train,gat,esol
0.5980971461619766,0.45213723,0.912411320977702,1,validation,gat,esol
0.637965216775192,0.48854947,0.8867958798525587,2,validation,gat,esol
0.6294811772144948,0.48889884,0.9327055745568814,3,validation,gat,esol
0.6217976785638542,0.43999603,0.9271497992722884,4,validation,gat,esol
0.6996876939549248,0.52036834,0.9081449105301852,5,validation,gat,esol
0.5801774013864588,0.44976798,0.9234731277020602,6,validation,gat,esol
0.5904425808593153,0.44455957,0.9193331772464627,7,validation,gat,esol
0.5344188371044495,0.3939523,0.9230014266347235,8,validation,gat,esol
0.5694501706613373,0.41113108,0.934602962703667,9,validation,gat,esol
0.6015181091575974,0.45349887,0.9245331284436453,10,validation,gat,esol
0.8156701013365176,0.5457344,0.8674789633905288,11,validation,gat,esol
0.5683526369724495,0.43303427,0.9328934988639787,12,validation,gat,esol
0.5374474865743806,0.3964486,0.9211203450185228,13,validation,gat,esol
0.67248651487451,0.48979923,0.9057920157100476,14,validation,gat,esol
0.5511952731156134,0.41810143,0.9321145430301906,15,validation,gat,esol
0.6195303235041075,0.46703738,0.9264763344187082,1,test,gat,esol
0.6587204301122184,0.44073644,0.8920499168847373,2,test,gat,esol
0.533718181751636,0.4251185,0.9307641645620295,3,test,gat,esol
0.6413421106271545,0.4697791,0.8993303702522901,4,test,gat,esol
0.7286029180432173,0.46191603,0.8561076028027966,5,test,gat,esol
5.660547804995265,1.0865057,-5.900861663269124,6,test,gat,esol
0.6525551915851469,0.4866099,0.888224907460759,7,test,gat,esol
0.6656479701703863,0.45850423,0.8916143413369834,8,test,gat,esol
0.5927796465628659,0.4475033,0.9273577765261332,9,test,gat,esol
0.5853444722369555,0.44048905,0.9302459197709215,10,test,gat,esol
0.6052832042279086,0.47949797,0.894574244622076,11,test,gat,esol
0.598384911639361,0.4345029,0.9139460479385614,12,test,gat,esol
0.6762306615352507,0.47435054,0.8819923407926524,13,test,gat,esol
0.6578834051486432,0.4515582,0.8891279954183502,14,test,gat,esol
0.6242203618149365,0.43425897,0.877617329190496,15,test,gat,esol
