rmse,mae,r2,split,set,model,dataset
0.29387078338414785,0.21643955,0.9799947756008883,1,train,gcn,esol
0.23154880125373456,0.16603787,0.9881539370267015,2,train,gcn,esol
0.26530476508306106,0.19137119,0.9834528503074149,3,train,gcn,esol
0.4421042266184623,0.3349124,0.9547647850775138,4,train,gcn,esol
0.2454437648774063,0.18278089,0.9860746995128958,5,train,gcn,esol
0.24082334938826103,0.1750135,0.9866823732448027,6,train,gcn,esol
0.3182266637430027,0.23031463,0.9773394090989121,7,train,gcn,esol
0.2737448191479111,0.19906905,0.983232571832057,8,train,gcn,esol
0.23395961668699156,0.17923976,0.9871838186110066,9,train,gcn,esol
0.24308814736621046,0.17592494,0.9861792031298807,10,train,gcn,esol
0.24872907556533796,0.18313539,0.9860462639385712,11,train,gcn,esol
0.2673803001937819,0.20291816,0.9836322471526312,12,train,gcn,esol
0.3844455607708273,0.28927085,0.9673498115212918,13,train,gcn,esol
0.27061556656498287,0.20059167,0.9832245326810827,14,train,gcn,esol
0.27117618384821607,0.19767721,0.9836781522924684,15,train,gcn,esol
0.6129854059691283,0.4537653,0.9079964044137822,1,validation,gcn,esol
0.6127161958179828,0.45402128,0.8955791979942914,2,validation,gcn,esol
0.6478417658877359,0.50787103,0.928722660381412,3,validation,gcn,esol
0.6831044216843297,0.4997086,0.9120761421263025,4,validation,gcn,esol
0.6941279919472431,0.5086961,0.9095988686261796,5,validation,gcn,esol
0.6554295315564121,0.49463415,0.9023337909279712,6,validation,gcn,esol
0.672395216461143,0.48397875,0.8953862282215924,7,validation,gcn,esol
0.5859109491054739,0.4521892,0.9074487364305668,8,validation,gcn,esol
0.5763193232777036,0.43004355,0.9330157011412288,9,validation,gcn,esol
0.5395002660794879,0.3981564,0.9392925135160631,10,validation,gcn,esol
0.795824293181784,0.52214694,0.8738491674066159,11,validation,gcn,esol
0.5775096040810598,0.43482643,0.9307137125129041,12,validation,gcn,esol
0.5859424845165591,0.4374021,0.9062431636781524,13,validation,gcn,esol
0.595030432932595,0.4608188,0.9262437408432215,14,validation,gcn,esol
0.489849699553113,0.35813493,0.9463843694177831,15,validation,gcn,esol
0.5905620924937844,0.45619324,0.9331912743076263,1,test,gcn,esol
0.6950122099085172,0.4529429,0.879827364251761,2,test,gcn,esol
0.5659265525765904,0.4330436,0.9221556461909666,3,test,gcn,esol
0.8132435990558637,0.5949263,0.8381322550668191,4,test,gcn,esol
0.6074172139372261,0.44639462,0.8999930374841504,5,test,gcn,esol
0.798493480772805,0.5259576,0.8626814813072541,6,test,gcn,esol
0.6975678929405075,0.5200697,0.8722727526913464,7,test,gcn,esol
0.7754465846856787,0.5014015,0.8529089143858535,8,test,gcn,esol
0.5899073585418602,0.45539063,0.9280600434161907,9,test,gcn,esol
0.6915745503392317,0.5164338,0.9026301227923177,10,test,gcn,esol
0.5795290367925515,0.4492111,0.9033548934596909,11,test,gcn,esol
0.6515782370370663,0.4681517,0.8979665190092421,12,test,gcn,esol
0.7385813592557778,0.53483945,0.8592277319964918,13,test,gcn,esol
0.5922764764135607,0.40599748,0.9101386356437962,14,test,gcn,esol
0.653297184419309,0.47757533,0.865950354946184,15,test,gcn,esol
