rmse,mae,r2,split,set,model,dataset
0.4214228043294385,0.30167997,0.9588597781078116,1,train,mpnn,esol
0.3372939690685485,0.25881577,0.9748634209212678,2,train,mpnn,esol
0.6798995334023301,0.50830823,0.891326764716628,3,train,mpnn,esol
0.3307960873079519,0.24905387,0.9746750838368646,4,train,mpnn,esol
0.19590730694576816,0.1323242,0.9911284012573447,5,train,mpnn,esol
0.4354296128692248,0.3237375,0.9564622894628116,6,train,mpnn,esol
0.36564458158826973,0.27071902,0.97008311740736,7,train,mpnn,esol
0.30945786079340526,0.22846138,0.9785721940742789,8,train,mpnn,esol
0.5432759520541449,0.40010926,0.9308936728850988,9,train,mpnn,esol
0.41305653713203466,0.30635315,0.9600952613189452,10,train,mpnn,esol
0.503583139135557,0.37665153,0.9428021420288795,11,train,mpnn,esol
0.6035740154376988,0.45774472,0.9165951592474317,12,train,mpnn,esol
0.3793344536030378,0.288417,0.9682121907798189,13,train,mpnn,esol
0.5655241839518713,0.41812384,0.9267392409325893,14,train,mpnn,esol
0.513056484345607,0.3896469,0.9415752860958732,15,train,mpnn,esol
0.6409480978146784,0.4904831,0.899411069306813,1,validation,mpnn,esol
0.7123294241322968,0.5244132,0.8588665407357091,2,validation,mpnn,esol
0.8652674408185165,0.6447263,0.8728505944164413,3,validation,mpnn,esol
0.8281354363701536,0.54356176,0.8707783433176647,4,validation,mpnn,esol
0.7604105352563878,0.57975817,0.8915096774173337,5,validation,mpnn,esol
0.7868948139971398,0.61025494,0.8592249435149231,6,validation,mpnn,esol
0.7594754564690566,0.54805297,0.866535093967371,7,validation,mpnn,esol
0.6340391961520647,0.50261897,0.8916194510494404,8,validation,mpnn,esol
0.8113173901468071,0.5991337,0.8672519303530075,9,validation,mpnn,esol
0.8161489272814647,0.59236705,0.8610694400128057,10,validation,mpnn,esol
0.8813575638401745,0.6079057,0.8452751632971239,11,validation,mpnn,esol
0.8648673973537754,0.6074547,0.8446082501978184,12,validation,mpnn,esol
0.7105411221028578,0.5401772,0.8621294875000964,13,validation,mpnn,esol
0.779928730435197,0.57389045,0.8732842986205624,14,validation,mpnn,esol
0.7074262242891779,0.512396,0.8881777847462464,15,validation,mpnn,esol
0.6350424529700385,0.4842412,0.922748396224537,1,test,mpnn,esol
0.9852831148507848,0.60631603,0.7584857256094898,2,test,mpnn,esol
0.877799188846362,0.61414456,0.812717455613781,3,test,mpnn,esol
0.8880626560479247,0.6395757,0.8069782547586332,4,test,mpnn,esol
0.8311997678106533,0.5544481,0.8127305778675978,5,test,mpnn,esol
0.6774646541130803,0.53963095,0.9011538751140049,6,test,mpnn,esol
0.7857024157853656,0.53236794,0.837958325081566,7,test,mpnn,esol
0.8127566079088459,0.54875994,0.8384140497169463,8,test,mpnn,esol
0.629814889483676,0.4882002,0.9179972506652012,9,test,mpnn,esol
0.7164261610286421,0.543491,0.8955064510550117,10,test,mpnn,esol
0.7416554200109072,0.567217,0.8417171614221335,11,test,mpnn,esol
0.7917221493268782,0.6175644,0.8493548672513872,12,test,mpnn,esol
0.8314120357020333,0.6041341,0.8216171582015961,13,test,mpnn,esol
0.7843466233063644,0.5510713,0.8424058290487499,14,test,mpnn,esol
0.6967494988441376,0.50763583,0.8475254345136898,15,test,mpnn,esol
