split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,esol,activity,tr,498,1127,0.33529623125801716,0.9739571850847398,0.22631256193539284
1,esol,activity,va,498,1127,0.7206797131762072,0.8728287079116351,0.5523274334890363
1,esol,activity,te,498,1127,0.7296592507428672,0.8980136125719786,0.5282898957154446
2,esol,activity,tr,498,1127,0.32885903516818327,0.9761049160816285,0.22353147999749248
2,esol,activity,va,498,1127,0.808989820624236,0.8179652345795099,0.5406000153713799
2,esol,activity,te,498,1127,0.8347354168161842,0.8266521687012757,0.5938907723818185
3,esol,activity,tr,498,1127,0.33829039614693796,0.9730962718108408,0.23273991245928316
3,esol,activity,va,498,1127,0.8805100869524327,0.8683313799084051,0.6213659260936176
3,esol,activity,te,498,1127,0.6830425734311392,0.8866027549740471,0.5057916409328193
4,esol,activity,tr,498,1127,0.32595404519786725,0.9754110463085152,0.2292832841279289
4,esol,activity,va,498,1127,0.8564242217614039,0.8617992473989112,0.540768446236059
4,esol,activity,te,498,1127,0.8524203046323683,0.8221611856009239,0.5794394564448442
5,esol,activity,tr,498,1127,0.33238725583745066,0.9744618570071938,0.23017412759440628
5,esol,activity,va,498,1127,0.8327192784918527,0.8698955998935739,0.5926826496843214
5,esol,activity,te,498,1127,0.8579490201617733,0.8004834262657754,0.5826888042549412
6,esol,activity,tr,498,1127,0.3367375912452668,0.9739616841805363,0.22722183890291253
6,esol,activity,va,498,1127,0.8025094876940626,0.8535826068109555,0.5804436695035081
6,esol,activity,te,498,1127,0.8841187830635618,0.831652133081256,0.6270160480756855
7,esol,activity,tr,498,1127,0.3395391596020036,0.9742024882644565,0.23261696473891452
7,esol,activity,va,498,1127,0.8577714718085998,0.829751690187564,0.6004951929571212
7,esol,activity,te,498,1127,0.704341626700169,0.8697801213774002,0.49925844939987374
8,esol,activity,tr,498,1127,0.346472075930394,0.9731396821914815,0.2360116357247544
8,esol,activity,va,498,1127,0.5756561033711577,0.9106601177860372,0.4432178156592259
8,esol,activity,te,498,1127,0.8059479418137692,0.8411099941396074,0.5596403924710789
9,esol,activity,tr,498,1127,0.341408715988198,0.9727085847761721,0.23204078624144947
9,esol,activity,va,498,1127,0.7123580396981569,0.8976604925359484,0.5126896456236946
9,esol,activity,te,498,1127,0.7154930532782605,0.8941688774209069,0.5293109705935157
10,esol,activity,tr,498,1127,0.3411862184031339,0.9727737109208247,0.23185326464405334
10,esol,activity,va,498,1127,0.788206265114861,0.8704197787012318,0.5801371766566318
10,esol,activity,te,498,1127,0.7890855264868083,0.8732363490768793,0.5601923010149921
11,esol,activity,tr,498,1127,0.33145080889268164,0.9752214694413793,0.2277625619033798
11,esol,activity,va,498,1127,0.8522645054082365,0.8553213094533612,0.5517332467423869
11,esol,activity,te,498,1127,0.7180018125939686,0.8516523836190849,0.5263531076086599
12,esol,activity,tr,498,1127,0.332312634103862,0.9747172721353036,0.23151574917740808
12,esol,activity,va,498,1127,0.7900678512732695,0.8703245804146756,0.5024204389267805
12,esol,activity,te,498,1127,0.6728585251455445,0.8911929422616183,0.4728936587650164
13,esol,activity,tr,498,1127,0.3442669750587247,0.9738177659463023,0.23008255065537603
13,esol,activity,va,498,1127,0.7827103627997619,0.8327003124336353,0.5918975243851557
13,esol,activity,te,498,1127,0.7431047547738252,0.8574981383908493,0.5547832549480641
14,esol,activity,tr,498,1127,0.3338329847924648,0.9744713661653154,0.23131473697804475
14,esol,activity,va,498,1127,0.7779667481961797,0.8739210276653557,0.5412196719963601
14,esol,activity,te,498,1127,0.7461796453020576,0.8573700011081652,0.5444134253083244
15,esol,activity,tr,498,1127,0.339174280961735,0.9744663988194554,0.23036847204416744
15,esol,activity,va,498,1127,0.725975488163821,0.8822367788924426,0.5298912651134134
15,esol,activity,te,498,1127,0.6937378454613617,0.8488407104930829,0.49544090622209214
