split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,esol,activity,tr,109,1127,0.33434794239388455,0.9741042859833188,0.2585184315789316
1,esol,activity,va,109,1127,0.5544404867908178,0.9247313092043646,0.43304115811729404
1,esol,activity,te,109,1127,0.5732831458299223,0.9370435297606725,0.4197905268668614
2,esol,activity,tr,109,1127,0.3285113479468467,0.9761554156732826,0.2549895169401753
2,esol,activity,va,109,1127,0.7612452506610409,0.838817674740133,0.5426435395488949
2,esol,activity,te,109,1127,0.6126931592418785,0.9066086196149064,0.44374561012592545
3,esol,activity,tr,109,1127,0.3321614645498593,0.9740622904456062,0.2584273868066696
3,esol,activity,va,109,1127,0.769608237648114,0.8994104122473328,0.5693510207012223
3,esol,activity,te,109,1127,0.547359276022167,0.9271797910189208,0.3945204132736848
4,esol,activity,tr,109,1127,0.3250274564211637,0.975550645525405,0.2550691280029201
4,esol,activity,va,109,1127,0.6697519188270912,0.9154798113484233,0.45494925573453093
4,esol,activity,te,109,1127,0.7410493000868976,0.8655956932536909,0.48991489267537086
5,esol,activity,tr,109,1127,0.3259338971118676,0.9754438857591864,0.2541922628508297
5,esol,activity,va,109,1127,0.7345490003914558,0.8987636939120518,0.5464317337151048
5,esol,activity,te,109,1127,0.6732533245716427,0.8771392884261802,0.48071190269912645
6,esol,activity,tr,109,1127,0.33049753795203296,0.9749177700300146,0.25719659672335576
6,esol,activity,va,109,1127,0.6237179686246748,0.9115559073543233,0.4654322783197168
6,esol,activity,te,109,1127,0.7616898163034497,0.8750481525087315,0.5607822914068629
7,esol,activity,tr,109,1127,0.3339582802320035,0.9750435670219971,0.26038131447031093
7,esol,activity,va,109,1127,0.7271425050104947,0.8776571264868137,0.5169621500329298
7,esol,activity,te,109,1127,0.5659224086496065,0.9159332310433674,0.39416211845957727
8,esol,activity,tr,109,1127,0.3391790753055487,0.9742585637885517,0.2642386634489786
8,esol,activity,va,109,1127,0.5740287692410971,0.9111645173452034,0.4188178842248248
8,esol,activity,te,109,1127,0.5986759480799073,0.9123269285961957,0.4419941564623296
9,esol,activity,tr,109,1127,0.3376855740452815,0.9733005777076704,0.2603620607016842
9,esol,activity,va,109,1127,0.5944966611137935,0.9287236417746207,0.4200606158521059
9,esol,activity,te,109,1127,0.6081955888051812,0.9235303519155065,0.4717659051433103
10,esol,activity,tr,109,1127,0.33249478475782135,0.9741431767830167,0.25833168236560056
10,esol,activity,va,109,1127,0.6084382342357146,0.9227867297452972,0.4524685923469966
10,esol,activity,te,109,1127,0.6371362025292936,0.9173560342411639,0.48214832231399724
11,esol,activity,tr,109,1127,0.32976004458043234,0.9754736202861335,0.256365612487029
11,esol,activity,va,109,1127,0.6850716613289224,0.9065180480787288,0.4841926948425498
11,esol,activity,te,109,1127,0.5602208349717582,0.909687470920965,0.42947879541673645
12,esol,activity,tr,109,1127,0.3371867265877966,0.9739701800141194,0.2633790017459392
12,esol,activity,va,109,1127,0.629123178815324,0.9177756869451199,0.4248589989119759
12,esol,activity,te,109,1127,0.5919573334274001,0.9157848244355732,0.4542652232538179
13,esol,activity,tr,109,1127,0.3289025533268446,0.9761026104127016,0.2564213386353812
13,esol,activity,va,109,1127,0.6607005191225943,0.8807928627709481,0.4708993265151211
13,esol,activity,te,109,1127,0.6207739117855904,0.900553987892851,0.4768992300991152
14,esol,activity,tr,109,1127,0.3332315039660117,0.9745632753032274,0.2591008626653497
14,esol,activity,va,109,1127,0.7154961347184009,0.8933563073623606,0.5139205423891104
14,esol,activity,te,109,1127,0.6186210090891248,0.9019667471877303,0.4389978922205016
15,esol,activity,tr,109,1127,0.33870025504203216,0.9745377198573192,0.26266237154280164
15,esol,activity,va,109,1127,0.5979303767055719,0.920114676863764,0.4430593607235586
15,esol,activity,te,109,1127,0.5599607292226007,0.9015174674180043,0.39093681277136794
