split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,esol,activity,tr,114,1127,0.3139887313943816,0.977161966545586,0.23895289166969536
1,esol,activity,va,114,1127,0.5606020346488381,0.923049077765661,0.4097150661146295
1,esol,activity,te,114,1127,0.594466979417043,0.9323048593710764,0.4439965695032931
2,esol,activity,tr,114,1127,0.30404991690121863,0.9795742138075536,0.23184302237509288
2,esol,activity,va,114,1127,0.7505530402437254,0.8433137085804334,0.5447019981452528
2,esol,activity,te,114,1127,0.6243464963645313,0.9030222531561455,0.4347953986253123
3,esol,activity,tr,114,1127,0.31161004468719833,0.9771726221977729,0.2399321668560609
3,esol,activity,va,114,1127,0.7741072767528306,0.8982309049016811,0.584335913148953
3,esol,activity,te,114,1127,0.5345377118044784,0.9305513742073838,0.39339583817615187
4,esol,activity,tr,114,1127,0.29147764675856097,0.9803375420008522,0.22674639829631266
4,esol,activity,va,114,1127,0.7066416056129537,0.9059127157587803,0.46486855049978254
4,esol,activity,te,114,1127,0.7274449599532358,0.8704852412905034,0.487855798436956
5,esol,activity,tr,114,1127,0.30167255932569703,0.9789635621374693,0.23230111634196493
5,esol,activity,va,114,1127,0.7218948459012969,0.9022216671139105,0.5222243158671698
5,esol,activity,te,114,1127,0.6760275536591438,0.8761246747789281,0.467402567143596
6,esol,activity,tr,114,1127,0.3061830129770464,0.9784725854964534,0.23335609950176672
6,esol,activity,va,114,1127,0.6806467935493024,0.8946739189920705,0.50913869978455
6,esol,activity,te,114,1127,0.7717783432931702,0.8717162759230517,0.5559787282408191
7,esol,activity,tr,114,1127,0.3112417065722818,0.9783232756103103,0.24096582348304305
7,esol,activity,va,114,1127,0.7206069571749898,0.8798464756156243,0.5154087667210666
7,esol,activity,te,114,1127,0.5674203667040844,0.9154876040322566,0.3913566744347243
8,esol,activity,tr,114,1127,0.3096162302956339,0.9785502562751703,0.2374366205984126
8,esol,activity,va,114,1127,0.629700240212993,0.8930977450115182,0.45572617401120324
8,esol,activity,te,114,1127,0.6235759795641288,0.9048822967279871,0.443239570178148
9,esol,activity,tr,114,1127,0.3110924555933779,0.9773402138671805,0.23619427105280402
9,esol,activity,va,114,1127,0.6528548772571457,0.914043253661125,0.4752896690442618
9,esol,activity,te,114,1127,0.5843893949220594,0.9293995918344369,0.45379879583859445
10,esol,activity,tr,114,1127,0.3033234388379845,0.9784812305389089,0.23213728288276178
10,esol,activity,va,114,1127,0.6216671840887716,0.9193926139579197,0.465318681578372
10,esol,activity,te,114,1127,0.67608660652403,0.9069425283389495,0.4935741522562613
11,esol,activity,tr,114,1127,0.29428290527455453,0.9804670674136307,0.2265120731716406
11,esol,activity,va,114,1127,0.7786436556702117,0.8792371747136469,0.5304496708495308
11,esol,activity,te,114,1127,0.5931889300913246,0.8987452124345428,0.4510297214506691
12,esol,activity,tr,114,1127,0.315762728120283,0.9771728361847906,0.24267064445990735
12,esol,activity,va,114,1127,0.6178562046422225,0.9206944272376476,0.4284359034407742
12,esol,activity,te,114,1127,0.5943970134594255,0.9150892288045382,0.4517252364923342
13,esol,activity,tr,114,1127,0.29576513561022516,0.9806754259067194,0.22898631319031573
13,esol,activity,va,114,1127,0.6689836242445327,0.877785162013032,0.4822091039273036
13,esol,activity,te,114,1127,0.6984519415568707,0.8741093385334266,0.5096987853886856
14,esol,activity,tr,114,1127,0.3027227241723106,0.979007743271376,0.23012899989940644
14,esol,activity,va,114,1127,0.7605753965133694,0.879494980958235,0.5466930343291462
14,esol,activity,te,114,1127,0.6484277376941613,0.8922921761045655,0.45341160632658745
15,esol,activity,tr,114,1127,0.3061308191625369,0.9791991849776839,0.2359661329661905
15,esol,activity,va,114,1127,0.680930899628789,0.896397115818652,0.4869145621157985
15,esol,activity,te,114,1127,0.5841466203420169,0.8928264036505089,0.39854993855592313
