split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,esol,activity,tr,1,1127,0.3790577412820138,0.9667155548761631,0.19659020259922555
1,esol,activity,va,1,1127,0.8082740507800484,0.8400361816519675,0.6142485213302312
1,esol,activity,te,1,1127,0.9147572286647573,0.8397073079322043,0.7061803888985264
2,esol,activity,tr,1,1127,0.3671851951881988,0.9702107665442727,0.19050899666760068
2,esol,activity,va,1,1127,1.121786791556217,0.6499832171447423,0.8154314469529964
2,esol,activity,te,1,1127,0.9589836387706188,0.7712067922961122,0.7225325457316377
3,esol,activity,tr,1,1127,0.37575275218660453,0.9668076906165547,0.19357740446539354
3,esol,activity,va,1,1127,1.1461145851878507,0.7769153483257832,0.9039587990085679
3,esol,activity,te,1,1127,0.8610816506538018,0.8197830541230892,0.6095460441073061
4,esol,activity,tr,1,1127,0.36703631388436075,0.9688222070880494,0.19298705508634117
4,esol,activity,va,1,1127,0.9612411558419918,0.8259006143332928,0.7056950045095253
4,esol,activity,te,1,1127,1.0483129332725494,0.73103184128402,0.7275818970779306
5,esol,activity,tr,1,1127,0.3504093001752662,0.9716174223469253,0.18951688694111346
5,esol,activity,va,1,1127,1.1376753344205581,0.7571537335992139,0.8022691758644317
5,esol,activity,te,1,1127,0.901893926931301,0.7795211484524087,0.6461011939613941
6,esol,activity,tr,1,1127,0.3648755020215026,0.9694283344803784,0.19213121323438365
6,esol,activity,va,1,1127,0.9888423629409748,0.777696425085841,0.7530216546462876
6,esol,activity,te,1,1127,1.0254663575410259,0.7735203331166377,0.751439115435322
7,esol,activity,tr,1,1127,0.3625753953239929,0.9705832467079845,0.19407565928675116
7,esol,activity,va,1,1127,1.050663204994488,0.7445730843872196,0.7894836190325983
7,esol,activity,te,1,1127,0.9618640219547161,0.7571500965754677,0.6691274081654183
8,esol,activity,tr,1,1127,0.37682685144722566,0.9682269904175723,0.19728598026558414
8,esol,activity,va,1,1127,0.8790136816753473,0.7916898565426502,0.6653669332859222
8,esol,activity,te,1,1127,0.8408794932608629,0.8270382293193729,0.6328052829107403
9,esol,activity,tr,1,1127,0.3735669385266141,0.9673251415319646,0.19354275216831218
9,esol,activity,va,1,1127,1.0073578799968523,0.7953488269783966,0.7456784045177351
9,esol,activity,te,1,1127,0.9777381336242026,0.802372367792508,0.7583614889697944
10,esol,activity,tr,1,1127,0.3646527695846681,0.9688997039178183,0.18841495886397577
10,esol,activity,va,1,1127,1.004269773310252,0.7896416600001225,0.7218395758856251
10,esol,activity,te,1,1127,0.980409956245693,0.8043129845531305,0.7191177519853216
11,esol,activity,tr,1,1127,0.37482626825719556,0.9683118110034241,0.19806651909187306
11,esol,activity,va,1,1127,1.1017082974337267,0.7582374616471381,0.7988746949599749
11,esol,activity,te,1,1127,0.8525324981191112,0.7908531261692455,0.6784179321017719
12,esol,activity,tr,1,1127,0.3491286750062467,0.9720937638726387,0.19214895688789618
12,esol,activity,va,1,1127,1.1534317651499917,0.7236161281379103,0.7510431994040184
12,esol,activity,te,1,1127,0.8210705929940281,0.837979285158996,0.6212927699491151
13,esol,activity,tr,1,1127,0.3636036894721165,0.9707939693657467,0.19400015152569866
13,esol,activity,va,1,1127,0.92154151858854,0.768088238144698,0.7297488929513684
13,esol,activity,te,1,1127,0.9938249876820897,0.7451173454574025,0.7810023909307017
14,esol,activity,tr,1,1127,0.3471660102294842,0.9723914575115902,0.19307162152875784
14,esol,activity,va,1,1127,1.0360982004754604,0.7763739310932148,0.7314882129859549
14,esol,activity,te,1,1127,0.8960503815133847,0.7943214788110045,0.6390056353803308
15,esol,activity,tr,1,1127,0.35972752833869265,0.9712780718053419,0.190414672533143
15,esol,activity,va,1,1127,1.026254655874732,0.764670678776949,0.7577614742018732
15,esol,activity,te,1,1127,0.7745187780450521,0.8115882554873262,0.5830786568594627
