split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,esol,activity,tr,498,1127,0.0989234777484467,0.9977331158156358,0.09158495612637595
1,esol,activity,va,498,1127,0.5671877671101618,0.9212304796497046,0.4061419208885442
1,esol,activity,te,498,1127,0.5536558792680928,0.9412805668128245,0.39305561058443267
2,esol,activity,tr,498,1127,0.0993008772777674,0.9978213113340602,0.09161288815433787
2,esol,activity,va,498,1127,0.6818018778416266,0.8707041425628568,0.48233814087802585
2,esol,activity,te,498,1127,0.6074331725450041,0.9082052712766647,0.43226387880517686
3,esol,activity,tr,498,1127,0.10067939314920665,0.9976170534140882,0.0912432616870684
3,esol,activity,va,498,1127,0.708007669857502,0.9148686465682535,0.48635007039336686
3,esol,activity,te,498,1127,0.5867077797825819,0.9163336832964795,0.40451191193126723
4,esol,activity,tr,498,1127,0.10122742270265679,0.9976284971110299,0.09223621755844909
4,esol,activity,va,498,1127,0.7115287899986746,0.9046067864629884,0.43528491441644573
4,esol,activity,te,498,1127,0.7140348497512086,0.8752163169446834,0.45341833426924155
5,esol,activity,tr,498,1127,0.09867519941865058,0.9977493051777978,0.09045181754555785
5,esol,activity,va,498,1127,0.6765462641364715,0.9141204526811177,0.45945253775968453
5,esol,activity,te,498,1127,0.6812152467641784,0.8742161938010733,0.4638954383133703
6,esol,activity,tr,498,1127,0.09524875757743699,0.9979167167251549,0.09032055395623709
6,esol,activity,va,498,1127,0.6472165128705222,0.9047661158248568,0.4811624308984263
6,esol,activity,te,498,1127,0.6307515460829265,0.9143153492415637,0.4545338146601399
7,esol,activity,tr,498,1127,0.09957905302097553,0.9977811187326313,0.09192519261086733
7,esol,activity,va,498,1127,0.6642883639295559,0.8978936144342821,0.4610112391206381
7,esol,activity,te,498,1127,0.5846352198121544,0.9102818058229231,0.3943494840500411
8,esol,activity,tr,498,1127,0.10003556573384166,0.9977608482068596,0.092668870405873
8,esol,activity,va,498,1127,0.5235979472514005,0.9260879889847429,0.39177081511681444
8,esol,activity,te,498,1127,0.5712232778894923,0.9201831849486027,0.3934219588269733
9,esol,activity,tr,498,1127,0.09944348680748777,0.9976845813030927,0.0905039413773361
9,esol,activity,va,498,1127,0.5834227960220327,0.9313542821790163,0.4268841626322144
9,esol,activity,te,498,1127,0.510422335145471,0.9461405517784831,0.4048958398173104
10,esol,activity,tr,498,1127,0.09812492578149339,0.9977480218454534,0.09107904208450882
10,esol,activity,va,498,1127,0.611034895775841,0.9221262697255636,0.41435611766214003
10,esol,activity,te,498,1127,0.5455394869252469,0.9394102772095133,0.41511402796666236
11,esol,activity,tr,498,1127,0.09491982155994645,0.9979678713088239,0.09145861934612343
11,esol,activity,va,498,1127,0.7338443561413568,0.8927336054680489,0.47092266447468106
11,esol,activity,te,498,1127,0.5982813449590316,0.8969992436264346,0.428525951707755
12,esol,activity,tr,498,1127,0.10183342075838485,0.9976258350473377,0.09290378243725735
12,esol,activity,va,498,1127,0.6650475256107108,0.9081171949039047,0.4462790880733356
12,esol,activity,te,498,1127,0.5582737309094445,0.9250961856458084,0.38948855139164973
13,esol,activity,tr,498,1127,0.10018091060004822,0.9977828967246108,0.09144874169251174
13,esol,activity,va,498,1127,0.5707389278876336,0.9110454939205093,0.412325812102181
13,esol,activity,te,498,1127,0.5593831595609529,0.9192506132355571,0.3990592989421245
14,esol,activity,tr,498,1127,0.09436439891356677,0.9979602100912631,0.0903826442432404
14,esol,activity,va,498,1127,0.6854015967396331,0.9021387374833482,0.4834605198233702
14,esol,activity,te,498,1127,0.5603000141336534,0.9195797627872647,0.3766620174082286
15,esol,activity,tr,498,1127,0.10038747751836559,0.9977632094048644,0.0916806314011398
15,esol,activity,va,498,1127,0.6239165206577271,0.9130201344146568,0.4464861383699993
15,esol,activity,te,498,1127,0.49066497014116467,0.924383917311211,0.3644773660818141
