split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,esol,activity,tr,109,1127,0.39772955799898735,0.9633557096457889,0.2617530918364994
1,esol,activity,va,109,1127,0.5252368588530207,0.9324516289132052,0.4009248818505298
1,esol,activity,te,109,1127,0.5326725591586806,0.9456471061554577,0.40356256293988785
2,esol,activity,tr,109,1127,0.383630924133,0.9674825695917306,0.2588659193257149
2,esol,activity,va,109,1127,0.6250700282968493,0.891326019410799,0.4474748172103679
2,esol,activity,te,109,1127,0.5347470998769883,0.9288593862623685,0.3896751348163971
3,esol,activity,tr,109,1127,0.38852431354651185,0.9645129798611773,0.25731898936488734
3,esol,activity,va,109,1127,0.6067036805288197,0.937487499330734,0.4705052273160789
3,esol,activity,te,109,1127,0.543901544888357,0.92809691223385,0.3885852723559134
4,esol,activity,tr,109,1127,0.3759422965426313,0.9672908183288076,0.25322270655244555
4,esol,activity,va,109,1127,0.7187772177114381,0.902653322968962,0.46028784193509126
4,esol,activity,te,109,1127,0.6468665788655896,0.8975885750282785,0.4467269101453543
5,esol,activity,tr,109,1127,0.38517318579138243,0.965706431608945,0.25474959305743095
5,esol,activity,va,109,1127,0.6152126233561352,0.9289857961992499,0.44693751783011104
5,esol,activity,te,109,1127,0.5496009937997932,0.9181250530367406,0.4105727996474739
6,esol,activity,tr,109,1127,0.37442676452653656,0.967806851079074,0.2530101961625603
6,esol,activity,va,109,1127,0.5673314439451872,0.926824444384284,0.40158119129935077
6,esol,activity,te,109,1127,0.7826226566487507,0.8680859007474908,0.5513087045600334
7,esol,activity,tr,109,1127,0.38610897178569226,0.9666406280034243,0.2597025165511238
7,esol,activity,va,109,1127,0.5581553805758017,0.9279141798391874,0.3887140801872712
7,esol,activity,te,109,1127,0.6340613967828166,0.894470665267241,0.4126007857798004
8,esol,activity,tr,109,1127,0.4011472680245103,0.9639933805982941,0.26526904321446704
8,esol,activity,va,109,1127,0.4852481069390519,0.9365185485603166,0.3538798990348872
8,esol,activity,te,109,1127,0.6220277328688342,0.9053540366768119,0.42123138212562594
9,esol,activity,tr,109,1127,0.3915547271160135,0.964102699429751,0.2579568518939824
9,esol,activity,va,109,1127,0.6398641740236453,0.9174300062626093,0.45714667021493627
9,esol,activity,te,109,1127,0.5013138963734532,0.9480456343586733,0.39661768748534665
10,esol,activity,tr,109,1127,0.3813189369104298,0.9659919102650505,0.2555594301186335
10,esol,activity,va,109,1127,0.5369446512715668,0.939866290770635,0.36319515546378806
10,esol,activity,te,109,1127,0.6921174354561099,0.9024771996494995,0.47193974806743877
11,esol,activity,tr,109,1127,0.3874034673341232,0.9661495545414013,0.2549612963218458
11,esol,activity,va,109,1127,0.7139079910833311,0.898482654616658,0.4748300255200933
11,esol,activity,te,109,1127,0.5784379934502366,0.9037184411427909,0.44092361451912143
12,esol,activity,tr,109,1127,0.3979059245926994,0.963751416893393,0.264500210352167
12,esol,activity,va,109,1127,0.4990129902364336,0.948268796287588,0.3743151535577574
12,esol,activity,te,109,1127,0.5506601284133903,0.9271252947095963,0.3932614621668391
13,esol,activity,tr,109,1127,0.38465688566043454,0.9673139082201535,0.25412696105392574
13,esol,activity,va,109,1127,0.5662813124258602,0.9124295820987208,0.42184506477816575
13,esol,activity,te,109,1127,0.6210647272866618,0.9004607906256752,0.46139263090797383
14,esol,activity,tr,109,1127,0.38386000211803367,0.9662468114133915,0.2577635074512174
14,esol,activity,va,109,1127,0.566068054344984,0.9332489835065637,0.4133747907175963
14,esol,activity,te,109,1127,0.5756992198872541,0.9150984996803458,0.42295927038918596
15,esol,activity,tr,109,1127,0.38931607364417486,0.9663588437432886,0.26205639027379596
15,esol,activity,va,109,1127,0.5234330996594169,0.9387807329796751,0.37235518970209086
15,esol,activity,te,109,1127,0.5934861022219413,0.8893719711089765,0.41091231261421596
