split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,esol,activity,tr,114,1127,0.2765238127173571,0.9822868560053024,0.17538188254811535
1,esol,activity,va,114,1127,0.5617653852708635,0.9227293722214734,0.38650553875527316
1,esol,activity,te,114,1127,0.6169958372756194,0.9270766702811392,0.40190483322938964
2,esol,activity,tr,114,1127,0.26626628768973626,0.9843353256734682,0.1743467872394308
2,esol,activity,va,114,1127,0.6758475351505382,0.8729526259683732,0.4681555942759581
2,esol,activity,te,114,1127,0.5594910793330494,0.922123385279097,0.36294604982676065
3,esol,activity,tr,114,1127,0.2723539870336995,0.9825618421686897,0.1724031882445019
3,esol,activity,va,114,1127,0.6369162322053751,0.9311065001829112,0.4595297915020971
3,esol,activity,te,114,1127,0.5952234157870877,0.9138873465377011,0.412449307448722
4,esol,activity,tr,114,1127,0.26845347263895336,0.983321178867136,0.17286198492674376
4,esol,activity,va,114,1127,0.6988237191064467,0.9079830574195803,0.45711041253716883
4,esol,activity,te,114,1127,0.5929011095527024,0.9139633467349014,0.3911484455229181
5,esol,activity,tr,114,1127,0.2629699780721947,0.9840149894727823,0.17000616911507402
5,esol,activity,va,114,1127,0.8231181339518492,0.8728784775762862,0.5468314612165504
5,esol,activity,te,114,1127,0.5195764132647238,0.9268263248343823,0.37855485456196203
6,esol,activity,tr,114,1127,0.2663899203302475,0.9837045910408584,0.17327003146109052
6,esol,activity,va,114,1127,0.560670129901392,0.9285327357018683,0.39994485846143024
6,esol,activity,te,114,1127,0.8284086864714494,0.8521995787797886,0.5497389828308304
7,esol,activity,tr,114,1127,0.27292949194247396,0.9833314042763336,0.17572563802469401
7,esol,activity,va,114,1127,0.619037079451886,0.911330769494164,0.4213183255973649
7,esol,activity,te,114,1127,0.62801262408031,0.8964745035360452,0.40121858828263735
8,esol,activity,tr,114,1127,0.2877395584630041,0.981474334584467,0.17960937632956958
8,esol,activity,va,114,1127,0.5576627425513796,0.9161578495663878,0.4076033578472879
8,esol,activity,te,114,1127,0.6819190343059456,0.8862508327276251,0.4088413757900242
9,esol,activity,tr,114,1127,0.2728262243672691,0.9825719388810703,0.1727294790546093
9,esol,activity,va,114,1127,0.5793632929592839,0.9323062436317052,0.40415700447722114
9,esol,activity,te,114,1127,0.5931742805813748,0.9272610237883041,0.44397480228176006
10,esol,activity,tr,114,1127,0.2774338417644937,0.981997850567103,0.1761674349626699
10,esol,activity,va,114,1127,0.6248836811172417,0.9185563331865079,0.39773434566759697
10,esol,activity,te,114,1127,0.6371384211279134,0.917355458684142,0.4470734243044851
11,esol,activity,tr,114,1127,0.28559019912274225,0.9816039754757042,0.17879739721377413
11,esol,activity,va,114,1127,0.7351559774075007,0.8923498221350709,0.4790825041012406
11,esol,activity,te,114,1127,0.5575629954121193,0.9105423724138281,0.4166574921924341
12,esol,activity,tr,114,1127,0.27908879772843814,0.9821673849813018,0.17708607791171033
12,esol,activity,va,114,1127,0.5933051606677253,0.9268717579775015,0.4197327813554503
12,esol,activity,te,114,1127,0.6346411374578054,0.9032020884475218,0.42293505971503487
13,esol,activity,tr,114,1127,0.27914453070543255,0.982786300391198,0.1780161323046244
13,esol,activity,va,114,1127,0.5094760339848475,0.9291172625878248,0.3833941415191374
13,esol,activity,te,114,1127,0.608676101888721,0.9043922805880515,0.42129459800364283
14,esol,activity,tr,114,1127,0.27315148978976195,0.9829086554144538,0.17392340684182758
14,esol,activity,va,114,1127,0.5562186586124276,0.9355516656804387,0.39564951845240726
14,esol,activity,te,114,1127,0.6071254200065435,0.9055763211976434,0.42986374255831267
15,esol,activity,tr,114,1127,0.2672565261951454,0.9841465830084668,0.17494171094132757
15,esol,activity,va,114,1127,0.6564840013812406,0.9037027123542167,0.4295555448154932
15,esol,activity,te,114,1127,0.6038162813979576,0.8854872864633173,0.39317878852975796
