split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,esol,activity,tr,498,1127,0.1927432933775131,0.9913942419576834,0.15053148458807386
1,esol,activity,va,498,1127,0.6933204872881615,0.8823010585494514,0.5127458615665343
1,esol,activity,te,498,1127,0.6415566665299818,0.9211553795309291,0.48835370345321377
2,esol,activity,tr,498,1127,0.10879781017067862,0.9973846530400545,0.08491034393952016
2,esol,activity,va,498,1127,0.7667844976074095,0.8364634345969989,0.5256016873718768
2,esol,activity,te,498,1127,0.6494027300837744,0.8950822539975213,0.5001443874575198
3,esol,activity,tr,498,1127,0.2783025039752026,0.9817917856614696,0.21743286543186718
3,esol,activity,va,498,1127,0.7824343938405417,0.896029656588515,0.5343686590112892
3,esol,activity,te,498,1127,0.5829078299443359,0.9174139425012549,0.43213704954892135
4,esol,activity,tr,498,1127,0.09828225547579361,0.997764485311227,0.07655482519202325
4,esol,activity,va,498,1127,0.7052370962043324,0.9062863567920915,0.48816371089862837
4,esol,activity,te,498,1127,0.7577414606419435,0.859472576466668,0.5480493339141913
5,esol,activity,tr,498,1127,0.11425244215984395,0.9969826091420606,0.08961835724314299
5,esol,activity,va,498,1127,0.7584456999615449,0.8920696133321075,0.5345061273840347
5,esol,activity,te,498,1127,0.7226637565549963,0.8584439089283178,0.5262835800841583
6,esol,activity,tr,498,1127,0.06662592749859618,0.9989806666719822,0.05246385039036212
6,esol,activity,va,498,1127,0.6389253951326805,0.9071904600907046,0.499497004043603
6,esol,activity,te,498,1127,0.7697318643116221,0.8723956986607158,0.5627860998453292
7,esol,activity,tr,498,1127,0.11982293682374144,0.9967872421047446,0.09329249072882853
7,esol,activity,va,498,1127,0.7732197697861852,0.8616607197199702,0.5763254625995955
7,esol,activity,te,498,1127,0.6542564857978966,0.8876413151035464,0.4824644043937457
8,esol,activity,tr,498,1127,0.15262745382020343,0.9947875729611524,0.12075464289780836
8,esol,activity,va,498,1127,0.5620930800925521,0.9148203942126848,0.43702781649868866
8,esol,activity,te,498,1127,0.6505829459710379,0.8964648184367353,0.4699951549568008
9,esol,activity,tr,498,1127,0.18315692993345378,0.9921454092977388,0.14562285568175853
9,esol,activity,va,498,1127,0.6379174988052475,0.917931651643034,0.48747094093233934
9,esol,activity,te,498,1127,0.6382808680027867,0.9157778713539602,0.5068924090466668
10,esol,activity,tr,498,1127,0.09836477201366768,0.9977369993944794,0.0755774766869124
10,esol,activity,va,498,1127,0.5799180974413602,0.929855717687893,0.4322420479403991
10,esol,activity,te,498,1127,0.6355165702580283,0.917775670429218,0.4826488798505964
11,esol,activity,tr,498,1127,0.09584609032300101,0.9979280170100129,0.07565184835945828
11,esol,activity,va,498,1127,0.775256184876189,0.8802856407046747,0.5028125654783319
11,esol,activity,te,498,1127,0.6237384306563156,0.8880473191434248,0.4470221102332647
12,esol,activity,tr,498,1127,0.09880600067200532,0.9977649004760945,0.07682956185741677
12,esol,activity,va,498,1127,0.6981708680006166,0.8987366412339429,0.4989626082412387
12,esol,activity,te,498,1127,0.6015552368901016,0.9130317818908863,0.4270530206508341
13,esol,activity,tr,498,1127,0.13878297395323924,0.9957451098419318,0.10962952139426285
13,esol,activity,va,498,1127,0.5987042243556079,0.90211467044381,0.44830054198234687
13,esol,activity,te,498,1127,0.6597008304674917,0.8876910106366919,0.5090368403138312
14,esol,activity,tr,498,1127,0.16348391386488662,0.9938776361521091,0.12817547902815338
14,esol,activity,va,498,1127,0.7029113532614087,0.8970748030663855,0.499850811052556
14,esol,activity,te,498,1127,0.6235746479972673,0.9003904487855805,0.4490722139311575
15,esol,activity,tr,498,1127,0.09128940151787976,0.9981502758594566,0.07115874272642511
15,esol,activity,va,498,1127,0.6333629625432918,0.9103663487299207,0.48009690668799127
15,esol,activity,te,498,1127,0.6250700829487569,0.8772839143113239,0.44252701853545373
