split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,esol,activity,tr,109,1127,0.19834991342320296,0.9908863024679143,0.1491983257568719
1,esol,activity,va,109,1127,0.5158018970820076,0.93485660926363,0.38624199856963826
1,esol,activity,te,109,1127,0.4859022085995128,0.9547727929958111,0.363166812150088
2,esol,activity,tr,109,1127,0.2183027368962922,0.9894705093174366,0.16665133572928095
2,esol,activity,va,109,1127,0.6488820104137469,0.8828884598732334,0.4638937657434566
2,esol,activity,te,109,1127,0.5490439377521492,0.9250045469496543,0.39563493155345186
3,esol,activity,tr,109,1127,0.2103596669549373,0.9895970124556078,0.16044371635894694
3,esol,activity,va,109,1127,0.621841310381358,0.9343291325715742,0.45765284589542915
3,esol,activity,te,109,1127,0.5037645432957004,0.9383174740272832,0.34719222865273464
4,esol,activity,tr,109,1127,0.28457239994295147,0.9812581329932437,0.21433551889164534
4,esol,activity,va,109,1127,0.6297352852499378,0.9252779838836697,0.41540418068158863
4,esol,activity,te,109,1127,0.6377661269358889,0.9004498587025587,0.44242640513222486
5,esol,activity,tr,109,1127,0.31012681433522227,0.9777679647486968,0.23806297714679844
5,esol,activity,va,109,1127,0.6850473376204321,0.9119486717362288,0.49146754256066144
5,esol,activity,te,109,1127,0.6062328842357405,0.9003826479040696,0.45603442355997004
6,esol,activity,tr,109,1127,0.34753301241522394,0.9722654056636563,0.26484474312602296
6,esol,activity,va,109,1127,0.5494508873469717,0.9313642983943267,0.41180447016334987
6,esol,activity,te,109,1127,0.7206048833678548,0.8881642163400063,0.5300377562987594
7,esol,activity,tr,109,1127,0.21853031682664736,0.9893138449640656,0.16715313294596906
7,esol,activity,va,109,1127,0.6548746538567993,0.900767033035339,0.4775581788216883
7,esol,activity,te,109,1127,0.5612642025148123,0.9173114718323919,0.38977444619876617
8,esol,activity,tr,109,1127,0.3964059834003432,0.9648394975334607,0.30160746281197814
8,esol,activity,va,109,1127,0.5700151969517582,0.9124024384093077,0.41182406209380035
8,esol,activity,te,109,1127,0.5643581271210725,0.9220901860846227,0.4220600177927224
9,esol,activity,tr,109,1127,0.28673466424916194,0.980749711293252,0.21711398800206777
9,esol,activity,va,109,1127,0.5679206347933471,0.9349537956150268,0.4096187138375918
9,esol,activity,te,109,1127,0.5403605064307457,0.9396371467718562,0.42065864052682855
10,esol,activity,tr,109,1127,0.22089414676650748,0.9885876808855197,0.1681809894460858
10,esol,activity,va,109,1127,0.5093215539119385,0.9458942946614499,0.3523382675593681
10,esol,activity,te,109,1127,0.5738966512288691,0.932947655932336,0.43710542311631473
11,esol,activity,tr,109,1127,0.31013552913701914,0.978305960572437,0.23564623471063548
11,esol,activity,va,109,1127,0.655614231545175,0.9143844776183727,0.4733149519761402
11,esol,activity,te,109,1127,0.5781285528308306,0.9038214269646654,0.445111009458525
12,esol,activity,tr,109,1127,0.19806574616766567,0.9910184979566556,0.14887344438799968
12,esol,activity,va,109,1127,0.5487044959305827,0.937453081405929,0.38820205674203584
12,esol,activity,te,109,1127,0.5236442544627701,0.9341004827000075,0.3905224624818141
13,esol,activity,tr,109,1127,0.23648518155366155,0.9876455379764919,0.18251992963186642
13,esol,activity,va,109,1127,0.6113815314797671,0.8979254219421644,0.4446210633960425
13,esol,activity,te,109,1127,0.6118148884302769,0.903403689212974,0.4549202688942968
14,esol,activity,tr,109,1127,0.20502552309435945,0.9903709167740474,0.15626628335884962
14,esol,activity,va,109,1127,0.625085112630713,0.9186047798954147,0.4385273013261018
14,esol,activity,te,109,1127,0.514517458461009,0.9321852266871842,0.3751468538557533
15,esol,activity,tr,109,1127,0.27840466759572235,0.9827964026616836,0.21062233351061546
15,esol,activity,va,109,1127,0.5155516726624424,0.9406104326125382,0.3964499715391327
15,esol,activity,te,109,1127,0.5420960569829135,0.9077010916928544,0.38346381803107477
