split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,esol,activity,tr,114,1127,0.26263705460633946,0.9840212582003919,0.20234500326098784
1,esol,activity,va,114,1127,0.48405069761835173,0.9426298229025588,0.37167628002283615
1,esol,activity,te,114,1127,0.5894850199548509,0.9334347497413591,0.4190073691698829
2,esol,activity,tr,114,1127,0.19479314718883795,0.9916162879740817,0.15083732187807186
2,esol,activity,va,114,1127,0.658973127003844,0.8792176060479124,0.47268034313882085
2,esol,activity,te,114,1127,0.595028873902351,0.9119160437209735,0.41458755830035793
3,esol,activity,tr,114,1127,0.20786291991047937,0.9898424919147846,0.16031177068733726
3,esol,activity,va,114,1127,0.6365580012347493,0.9311839761319882,0.49292662092984896
3,esol,activity,te,114,1127,0.5129341737759289,0.9360515201463889,0.36845669586996066
4,esol,activity,tr,114,1127,0.2879544819560196,0.9808099995904216,0.22086599683991567
4,esol,activity,va,114,1127,0.6689081086842793,0.9156926485605376,0.4573152488423328
4,esol,activity,te,114,1127,0.6473796486858533,0.8974260529529399,0.45462387964894285
5,esol,activity,tr,114,1127,0.2154520418263049,0.9892699482936927,0.16408704942836744
5,esol,activity,va,114,1127,0.6663280978776994,0.9166950131303646,0.4712869825953362
5,esol,activity,te,114,1127,0.6096563169183514,0.899254381109766,0.42041967616197284
6,esol,activity,tr,114,1127,0.2155568703150186,0.9893302700609284,0.16703141564434176
6,esol,activity,va,114,1127,0.605564784322528,0.9166292818883236,0.4321356157267502
6,esol,activity,te,114,1127,0.7149973429213328,0.8898979920786598,0.5108906512350109
7,esol,activity,tr,114,1127,0.196753560870507,0.9913374993154018,0.15143761373907044
7,esol,activity,va,114,1127,0.5760185224185428,0.9232262931096682,0.4199557745722579
7,esol,activity,te,114,1127,0.6103941720183998,0.9022016943117301,0.41469531010420974
8,esol,activity,tr,114,1127,0.30793070829489133,0.9787831614130846,0.23690707598642952
8,esol,activity,va,114,1127,0.5783257890261733,0.9098295439037668,0.4229163381112558
8,esol,activity,te,114,1127,0.5635334143708112,0.9223177234098945,0.42656604242621543
9,esol,activity,tr,114,1127,0.189787128206827,0.9915664513011607,0.1429745193051109
9,esol,activity,va,114,1127,0.534940089057639,0.9422892187463137,0.37870750448283036
9,esol,activity,te,114,1127,0.49378538771475355,0.9495943722637072,0.3908286002700308
10,esol,activity,tr,114,1127,0.26994827278948463,0.9829561934240958,0.21065520143528926
10,esol,activity,va,114,1127,0.5708102049350474,0.9320417150989779,0.4215101395917362
10,esol,activity,te,114,1127,0.6298060067106839,0.9192467183130152,0.46230712474276014
11,esol,activity,tr,114,1127,0.3495955066045358,0.9724342974671968,0.2707862197087849
11,esol,activity,va,114,1127,0.7186313176740691,0.8971349016712808,0.5089145069829389
11,esol,activity,te,114,1127,0.5284859305660057,0.9196295590271929,0.42313427040686385
12,esol,activity,tr,114,1127,0.24918803635077197,0.9857837648071786,0.19110376100146045
12,esol,activity,va,114,1127,0.5569424977001529,0.9355608804755075,0.39173291832062535
12,esol,activity,te,114,1127,0.5247954826963052,0.933810404926771,0.39206009674949194
13,esol,activity,tr,114,1127,0.26913609452794673,0.9839985305852571,0.2075253302299728
13,esol,activity,va,114,1127,0.5512989285820382,0.9170020703319067,0.3975095087845682
13,esol,activity,te,114,1127,0.6132381890800206,0.9029537311786614,0.4498930030333752
14,esol,activity,tr,114,1127,0.2048212748554431,0.9903900923735343,0.15969426296533315
14,esol,activity,va,114,1127,0.654487060199904,0.9107675700345192,0.4700217752129423
14,esol,activity,te,114,1127,0.5971711240508705,0.9086472381497449,0.428700977544803
15,esol,activity,tr,114,1127,0.28886735846622835,0.9814790531757751,0.22184178871806026
15,esol,activity,va,114,1127,0.605913838161971,0.9179672059797456,0.4401666100796532
15,esol,activity,te,114,1127,0.5526963932304881,0.9040561087287426,0.3909517249854001
