rmse,mae,r2,split,set,model,dataset
0.513914159920937,0.33881962,0.9821170935568648,1,train,attentivefp,freesolv
0.49643398242267567,0.34460065,0.9833644792130687,2,train,attentivefp,freesolv
0.6985173250191969,0.49641114,0.967542526505485,3,train,attentivefp,freesolv
0.5120235438111822,0.35016927,0.9819749600104019,4,train,attentivefp,freesolv
0.8092486912619844,0.53900486,0.957748002640994,5,train,attentivefp,freesolv
0.5442148085480747,0.35893577,0.9789416548958256,6,train,attentivefp,freesolv
0.4768241570493217,0.32544872,0.9843445066325838,7,train,attentivefp,freesolv
0.6050036459016892,0.40927774,0.9751042929570097,8,train,attentivefp,freesolv
0.6615708448183757,0.4533155,0.9707984130658762,9,train,attentivefp,freesolv
0.6735901121971741,0.4435076,0.9635069474025553,10,train,attentivefp,freesolv
0.6275137180561459,0.43003866,0.973154396632661,11,train,attentivefp,freesolv
0.6919593107686314,0.42998567,0.970068584233266,12,train,attentivefp,freesolv
0.5220979945089667,0.34088773,0.9821549206023334,13,train,attentivefp,freesolv
0.9593388044257845,0.65377957,0.9368126490792256,14,train,attentivefp,freesolv
0.5318431067850334,0.35477093,0.981643847002766,15,train,attentivefp,freesolv
0.9329755324316983,0.61783004,0.9507441608323041,1,validation,attentivefp,freesolv
0.6166969957711815,0.42401344,0.9674758831415752,2,validation,attentivefp,freesolv
0.9113200200812306,0.62903655,0.9504934617780934,3,validation,attentivefp,freesolv
0.6535611471406743,0.45551738,0.9655405229450906,4,validation,attentivefp,freesolv
0.9041357700207993,0.63161546,0.9390255322224138,5,validation,attentivefp,freesolv
0.7574324293812816,0.4843533,0.9711521334273656,6,validation,attentivefp,freesolv
0.9718318954181931,0.5601829,0.9099507551219524,7,validation,attentivefp,freesolv
0.9821712712723127,0.6616682,0.9425024380592206,8,validation,attentivefp,freesolv
0.9055667471990455,0.47684902,0.9487071209578771,9,validation,attentivefp,freesolv
1.1042730112266936,0.7156742,0.934277482194982,10,validation,attentivefp,freesolv
0.43056736074520496,0.3441392,0.9896700160829808,11,validation,attentivefp,freesolv
0.5875450969188587,0.4186416,0.9544948989982671,12,validation,attentivefp,freesolv
0.9289762196284315,0.61796916,0.9372311437186299,13,validation,attentivefp,freesolv
0.9907449463150616,0.6685226,0.9389216392584092,14,validation,attentivefp,freesolv
0.9956741945382092,0.5933667,0.9369089951892233,15,validation,attentivefp,freesolv
1.222608961464457,0.75517803,0.8743746637081837,1,test,attentivefp,freesolv
1.0366416781767485,0.6520298,0.9377999273326393,2,test,attentivefp,freesolv
1.0632309362880694,0.66986126,0.8911703078101868,3,test,attentivefp,freesolv
1.2416743052117505,0.602032,0.9181341843654627,4,test,attentivefp,freesolv
0.7605561603122359,0.48457885,0.9377567504887812,5,test,attentivefp,freesolv
1.125692948869803,0.6303313,0.9199123336688492,6,test,attentivefp,freesolv
1.1059543904321396,0.5842074,0.9411149991130413,7,test,attentivefp,freesolv
1.185213296582259,0.67278236,0.8955362105396093,8,test,attentivefp,freesolv
1.1899406048032795,0.7407689,0.8737418281724617,9,test,attentivefp,freesolv
1.1165452725106115,0.67666894,0.9557829704435341,10,test,attentivefp,freesolv
1.055730798184013,0.7010665,0.9114073403280086,11,test,attentivefp,freesolv
0.9241977782784302,0.6393669,0.9206553858033232,12,test,attentivefp,freesolv
0.9710690213627908,0.5952363,0.9186486374449041,13,test,attentivefp,freesolv
1.0248445346443673,0.67741376,0.9298820466204901,14,test,attentivefp,freesolv
0.7774608658021646,0.5104155,0.9296881961507986,15,test,attentivefp,freesolv
