rmse,mae,r2,split,set
0.9012254994166541,0.6437237,0.9450049174805402,1,train
0.4219921267360314,0.30626303,0.9879795125694023,2,train
0.3890317468093812,0.26937425,0.989932296238615,3,train
0.9590240594612415,0.70391446,0.9367653115754722,4,train
0.8353101212124788,0.59407204,0.9549827751767173,5,train
0.4202996085363195,0.28744096,0.9874396556532212,6,train
0.5562132148152208,0.3740745,0.9786973860615191,7,train
0.5174392225907477,0.3872158,0.9817892771030863,8,train
0.6824843205058697,0.46149573,0.9689230016197319,9,train
0.6765968384519182,0.45329222,0.9631804358703179,10,train
0.6354326001238492,0.44023222,0.9724725686816266,11,train
0.5215132630308404,0.33460715,0.9829981243318631,12,train
0.721366060528438,0.49912262,0.9659336335458235,13,train
0.9937670892169749,0.66986346,0.93219599495303,14,train
0.5491993690424585,0.39103207,0.9804262219192545,15,train
1.0050307925806747,0.77093834,0.9428421421238452,1,validation
0.7590850684751649,0.54995286,0.950723178141738,2,validation
0.6959356665790527,0.44831654,0.9711291921172006,3,validation
0.8572641631697722,0.6742356,0.9407121708582937,4,validation
0.9239510581422885,0.63439775,0.9363235772526373,5,validation
0.7870902918165894,0.5403003,0.9688487836122072,6,validation
0.698864596733454,0.44817975,0.9534324057985207,7,validation
0.7178121750946704,0.57588655,0.9692888106241004,8,validation
0.7973966947750635,0.55922294,0.9602291403026681,9,validation
0.9881200545861004,0.6687424,0.9473763831684551,10,validation
0.6738529808878042,0.53022105,0.97469841432139,11,validation
0.7931320698740887,0.5518551,0.9170782079149534,12,validation
0.7516512178016186,0.5441395,0.958907005037856,13,validation
1.0972861755554306,0.712848,0.9250790173442702,14,validation
0.9403452295582837,0.56474316,0.9437260271722541,15,validation
1.0097170436247673,0.77280474,0.9143156458543896,1,test
1.110534438185368,0.7188474,0.9286165457985374,2,test
1.1672684729497773,0.67294836,0.8688302678598074,3,test
1.2609552961225787,0.8800976,0.9155719775067572,4,test
0.9056422728055595,0.693277,0.9117442385540655,5,test
0.9758663900842581,0.5872505,0.9398124746171979,6,test
1.3497765709398464,0.7349454,0.9122890118032166,7,test
0.9885245464733059,0.7236289,0.927331248066392,8,test
1.0585932432504264,0.66929674,0.9000766093380032,9,test
1.4710241527169385,0.79708326,0.923250341864367,10,test
1.631686904101132,0.94260067,0.7883759435684438,11,test
1.240158967857079,0.8064256,0.8571295843327508,12,test
1.2407287093085817,0.7249775,0.8671938218271623,13,test
1.4442829486032924,0.8003166,0.8607427601858115,14,test
0.8645815485434131,0.5541954,0.9130472971239915,15,test
