rmse,mae,r2,split,set,model,dataset
0.3850217634713103,0.29873982,0.9899624550327832,1,train,gat,freesolv
0.49884670584417734,0.38481694,0.9832023852196832,2,train,gat,freesolv
0.2900181772438209,0.22772196,0.9944048627385196,3,train,gat,freesolv
0.4420200232937239,0.32275313,0.9865667752213211,4,train,gat,freesolv
0.5099980493115537,0.37858826,0.9832189065907715,5,train,gat,freesolv
0.40316370401217744,0.28922266,0.9884429661978378,6,train,gat,freesolv
0.11545026889375685,0.08857544,0.9990822166521403,7,train,gat,freesolv
0.316289868555765,0.23835303,0.993195769572697,8,train,gat,freesolv
0.6964743048110528,0.49522668,0.9676358683701727,9,train,gat,freesolv
0.37028769236979026,0.26541746,0.9889719865333144,10,train,gat,freesolv
0.45106946104835405,0.32260245,0.9861288159994466,11,train,gat,freesolv
0.5777345318178244,0.43805206,0.9791347887348039,12,train,gat,freesolv
0.451834155409227,0.2626465,0.9866348901109281,13,train,gat,freesolv
0.21641523259934728,0.16091296,0.9967844017274532,14,train,gat,freesolv
0.3141269057929885,0.25503695,0.9935963898504465,15,train,gat,freesolv
0.7787720100635662,0.5722709,0.96568074369363,1,validation,gat,freesolv
0.7617108075632596,0.54179513,0.9503816811458561,2,validation,gat,freesolv
0.9735697550809715,0.65028965,0.9434991643859227,3,validation,gat,freesolv
0.8060266776887888,0.5897301,0.9475874836465327,4,validation,gat,freesolv
1.0244632850945483,0.70910364,0.9217159126983979,5,validation,gat,freesolv
0.9977671311431614,0.6673876,0.9499407582179467,6,validation,gat,freesolv
0.7939336008707232,0.5165891,0.9399011539108717,7,validation,gat,freesolv
0.9284786732165092,0.6043362,0.9486170753858021,8,validation,gat,freesolv
1.0568565387794082,0.64319086,0.930136841179413,9,validation,gat,freesolv
1.1033225101524018,0.5821127,0.9343905801095074,10,validation,gat,freesolv
0.5381496550951863,0.39842704,0.9838629726147621,11,validation,gat,freesolv
0.8379839509506022,0.636036,0.9074345269473489,12,validation,gat,freesolv
0.8893951826023875,0.6250209,0.9424660004920217,13,validation,gat,freesolv
0.9498118051038287,0.6300441,0.9438643446368864,14,validation,gat,freesolv
0.9073878084406737,0.6589312,0.947601508295951,15,validation,gat,freesolv
1.4972847363819508,0.82010925,0.8115870040549615,1,test,gat,freesolv
1.1873670804773349,0.7500644,0.9183974855414476,2,test,gat,freesolv
0.8206887971552451,0.5406116,0.93515907993878,3,test,gat,freesolv
1.547004617211936,0.8754033,0.8729219785504116,4,test,gat,freesolv
0.7082568763159423,0.50195724,0.9460226836364006,5,test,gat,freesolv
1.3332036918954122,0.79499304,0.887664058646287,6,test,gat,freesolv
2.7312737016500552,1.0030811,0.6408625412596364,7,test,gat,freesolv
0.9748203148694615,0.6350198,0.9293321359233068,8,test,gat,freesolv
1.2109516758242835,0.8012177,0.8692437140067227,9,test,gat,freesolv
1.7138293487632101,0.8527595,0.8958229631615423,10,test,gat,freesolv
1.2914246158020841,0.8829537,0.8674348109983624,11,test,gat,freesolv
1.0464888472566518,0.7624657,0.8982681801832472,12,test,gat,freesolv
1.1559320476616868,0.82363653,0.8847265745147309,13,test,gat,freesolv
3.1134841833660887,0.7853107,0.3528477113023085,14,test,gat,freesolv
0.7635357045092223,0.51878315,0.9321843620011439,15,test,gat,freesolv
