rmse,mae,r2,split,set,model,dataset
0.4887944385687459,0.3383269,0.9838225743675197,1,train,mpnn,freesolv
0.9326491425317377,0.66337204,0.9412848706956852,2,train,mpnn,freesolv
0.4324687074354851,0.30247793,0.9875585872264915,3,train,mpnn,freesolv
0.6677572796795045,0.43812788,0.9693427170769267,4,train,mpnn,freesolv
0.7187186939221732,0.5238829,0.9666726203377369,5,train,mpnn,freesolv
0.3869449839976549,0.267679,0.9893541086700469,6,train,mpnn,freesolv
1.4958024899305544,0.9810062,0.8459368525757041,7,train,mpnn,freesolv
1.016357627133732,0.6977905,0.9297410636704875,8,train,mpnn,freesolv
0.35581785393189136,0.24820012,0.9915528688919337,9,train,mpnn,freesolv
0.944721289259772,0.5884543,0.928216241909335,10,train,mpnn,freesolv
0.41213094284243557,0.33134246,0.9884203039789847,11,train,mpnn,freesolv
0.9582284717962997,0.6279733,0.942601006934545,12,train,mpnn,freesolv
0.3305338923862694,0.22523656,0.9928476875699316,13,train,mpnn,freesolv
0.9690705661136598,0.6918765,0.9355241688249308,14,train,mpnn,freesolv
1.0774885316844722,0.6968314,0.9246575144303719,15,train,mpnn,freesolv
1.1917942103353323,0.700761,0.919625227396944,1,validation,mpnn,freesolv
1.1597110394962162,0.74500203,0.8849831825670161,2,validation,mpnn,freesolv
1.4147048250068222,0.83723474,0.8806967237501094,3,validation,mpnn,freesolv
1.0270927905923375,0.7173492,0.9148948970330713,4,validation,mpnn,freesolv
1.2446282357969458,0.83151567,0.8844526491880579,5,validation,mpnn,freesolv
0.9930817786595069,0.64846724,0.9504097890081422,6,validation,mpnn,freesolv
1.3686847444768988,0.9566994,0.8213904845411337,7,validation,mpnn,freesolv
1.3856412327924965,0.9618797,0.8855603361705173,8,validation,mpnn,freesolv
1.0477237392366705,0.6377033,0.9313390674572911,9,validation,mpnn,freesolv
1.600021216132644,0.95291114,0.8620210748133256,10,validation,mpnn,freesolv
1.0474283264876518,0.60976136,0.9388683630576189,11,validation,mpnn,freesolv
1.0656163570467463,0.84633744,0.8503146173823651,12,validation,mpnn,freesolv
0.8756013234522765,0.59153736,0.9442367791107102,13,validation,mpnn,freesolv
1.4897623376951579,0.94074184,0.8618987310225362,14,validation,mpnn,freesolv
1.5021674867601877,1.0717205,0.8563949837377796,15,validation,mpnn,freesolv
1.4623990015873747,0.9219879,0.8202645194625507,1,test,mpnn,freesolv
1.3582574920700434,0.90271485,0.8932180669727248,2,test,mpnn,freesolv
1.1003986459913004,0.7741283,0.8834285386433729,3,test,mpnn,freesolv
1.4364787081167198,0.8252045,0.8904315191591273,4,test,mpnn,freesolv
1.14486559258053,0.67732275,0.8589611617787568,5,test,mpnn,freesolv
1.1107507154319463,0.691858,0.9220243674700183,6,test,mpnn,freesolv
1.8095259766517895,1.2308875,0.8423623918634454,7,test,mpnn,freesolv
1.2018740702688477,0.8247707,0.8925786146127849,8,test,mpnn,freesolv
1.3985558997811356,0.7326501,0.8255911246068746,9,test,mpnn,freesolv
2.145966818895174,1.2297578,0.8366636456569075,10,test,mpnn,freesolv
1.8340295495592802,1.1040035,0.7326353268352436,11,test,mpnn,freesolv
1.4038049847100347,1.0941938,0.8169367633240896,12,test,mpnn,freesolv
1.1108241757136796,0.7284649,0.8935476561156044,13,test,mpnn,freesolv
1.295512069218965,0.82928866,0.8879540582628608,14,test,mpnn,freesolv
1.210009409970351,0.8742547,0.8296866593226773,15,test,mpnn,freesolv
