split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,freesolv,activity,tr,419,639,1.0067921908000304,0.931366430006287,0.5224081480173365
1,freesolv,activity,va,419,639,2.4263255688476164,0.6668687563514355,1.2865530730322263
1,freesolv,activity,te,419,639,1.5030370222730738,0.8101365096409953,1.0243037331076248
2,freesolv,activity,tr,419,639,1.0483082762903768,0.9258192124705528,0.5272829461318503
2,freesolv,activity,va,419,639,1.81616896162857,0.7179187017517379,1.227865884592779
2,freesolv,activity,te,419,639,1.6836544678273258,0.8359261146985228,1.1516329560445095
3,freesolv,activity,tr,419,639,1.1100103332435762,0.9180376556588514,0.5464285778713084
3,freesolv,activity,va,419,639,2.4074582539288416,0.6545077690658163,1.3980310657771495
3,freesolv,activity,te,419,639,1.398780879399942,0.81163875702811,0.9308328874883064
4,freesolv,activity,tr,419,639,1.097139992193679,0.9172399997887999,0.5429159720229191
4,freesolv,activity,va,419,639,1.2397057787481671,0.8760137626054989,0.8601891564144117
4,freesolv,activity,te,419,639,2.4228693260288883,0.6882925099529644,1.345250886962071
5,freesolv,activity,tr,419,639,1.0838974608857532,0.9242016742956325,0.5510259671668846
5,freesolv,activity,va,419,639,1.4735153028159864,0.8380466210531773,0.9822666183298993
5,freesolv,activity,te,419,639,1.158578550966134,0.855562263297562,0.7746915674747183
6,freesolv,activity,tr,419,639,1.0262212422445471,0.9251200459000845,0.5345818608676995
6,freesolv,activity,va,419,639,2.327388038198145,0.7276273345790953,1.1667291218708702
6,freesolv,activity,te,419,639,1.313042280684593,0.8910359702003983,0.9103922699255316
7,freesolv,activity,tr,419,639,1.0449460304781526,0.9248138185652331,0.5325596706158803
7,freesolv,activity,va,419,639,1.8520278692160288,0.6729660914038299,1.0194522110578041
7,freesolv,activity,te,419,639,2.6460741823716116,0.6629189965305481,1.3154844602860263
8,freesolv,activity,tr,419,639,1.0617326230277002,0.9233276450494841,0.5409570007906919
8,freesolv,activity,va,419,639,1.7782722670565052,0.8115172973618436,1.1320560538043123
8,freesolv,activity,te,419,639,1.5815986720856,0.8139775461698535,1.0877218392887673
9,freesolv,activity,tr,419,639,1.0935823650324765,0.9202084817187767,0.5554865184621178
9,freesolv,activity,va,419,639,1.529728526953134,0.8536324279881484,0.9076493598460321
9,freesolv,activity,te,419,639,1.6916058067122444,0.7448431340425359,1.0165529430939162
10,freesolv,activity,tr,419,639,1.010407751646695,0.9178869684545584,0.5242166355849399
10,freesolv,activity,va,419,639,1.846584316804504,0.8162194520779185,1.1051698645398276
10,freesolv,activity,te,419,639,3.3800883695711876,0.5947780369622557,1.6099601762082754
11,freesolv,activity,tr,419,639,1.0008330397531167,0.9317111229440764,0.5231288277390453
11,freesolv,activity,va,419,639,2.8195001837785343,0.5570429017297438,1.284456823881487
11,freesolv,activity,te,419,639,1.8213170101645946,0.7363289462226668,1.1008183007110912
12,freesolv,activity,tr,419,639,1.0832644633239232,0.9266440869344902,0.540456067707486
12,freesolv,activity,va,419,639,1.7099952530623705,0.6145505162626579,1.0880950678425787
12,freesolv,activity,te,419,639,1.517033932511303,0.7862145362397004,1.0984826269177326
13,freesolv,activity,tr,419,639,1.0816270904130285,0.9234104442363601,0.5523276461119285
13,freesolv,activity,va,419,639,1.7531496502397157,0.776450853894527,1.10407695807583
13,freesolv,activity,te,419,639,1.2252299193013982,0.8704910374054509,0.9759415938211519
14,freesolv,activity,tr,419,639,1.0849953157051508,0.9191757197527634,0.5602803448322634
14,freesolv,activity,va,419,639,2.261036120218523,0.6818890095482837,1.3141603624517189
14,freesolv,activity,te,419,639,1.0991880984116724,0.919340179588138,0.7359054179733289
15,freesolv,activity,tr,419,639,1.1059655305283502,0.9206224314514319,0.5581152621905024
15,freesolv,activity,va,419,639,1.1341006307253627,0.9181467126492884,0.7639973625501469
15,freesolv,activity,te,419,639,1.448966265736134,0.7557763608802851,0.9319337235444219
