split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,freesolv,activity,tr,117,639,0.5455269424578527,0.9798493378502765,0.3752241895100675
1,freesolv,activity,va,117,639,1.133698928461217,0.9272701505338251,0.7823313041282806
1,freesolv,activity,te,117,639,1.0398219518289862,0.9091300963528525,0.6851287277702365
2,freesolv,activity,tr,117,639,0.5477991285456614,0.9797438882325269,0.3780333578379361
2,freesolv,activity,va,117,639,1.0209304164584552,0.9108638071080107,0.6125069682990926
2,freesolv,activity,te,117,639,1.2444851017896006,0.9103577121956883,0.7684125643676889
3,freesolv,activity,tr,117,639,0.5675442926010351,0.9785730749872683,0.3746126844031162
3,freesolv,activity,va,117,639,1.2659255979889137,0.9044705847911666,0.8437594622292237
3,freesolv,activity,te,117,639,1.442723816620854,0.7996180604749437,0.9101425983545455
4,freesolv,activity,tr,117,639,0.558403664899435,0.9785615732757614,0.382307678457631
4,freesolv,activity,va,117,639,0.7507626438167142,0.9545282635141276,0.4951950644396116
4,freesolv,activity,te,117,639,1.1734962704369993,0.926877558785818,0.7385281782115763
5,freesolv,activity,tr,117,639,0.583197358921152,0.9780560749141908,0.3965526515029529
5,freesolv,activity,va,117,639,1.129028208707547,0.9049197536563764,0.7003999283785308
5,freesolv,activity,te,117,639,0.8268104484992079,0.9264400172212727,0.5136397660961433
6,freesolv,activity,tr,117,639,0.5610443531069882,0.977619078679446,0.3888778027525747
6,freesolv,activity,va,117,639,1.2944696494026022,0.9157422864911737,0.8044246874148204
6,freesolv,activity,te,117,639,1.3129023853653357,0.891059187648784,0.7288164136899196
7,freesolv,activity,tr,117,639,0.5828684102188192,0.9766067078689566,0.39115567777391647
7,freesolv,activity,va,117,639,1.048626999187557,0.8951569080292623,0.6148917635062802
7,freesolv,activity,te,117,639,1.1375443393322218,0.9377030313473902,0.6627100806115274
8,freesolv,activity,tr,117,639,0.5563274934399541,0.9789491554019986,0.37813485258091345
8,freesolv,activity,va,117,639,0.9992933844673784,0.9404802615623661,0.6849690602731586
8,freesolv,activity,te,117,639,1.0518688808054502,0.9177196748555221,0.7141182662804602
9,freesolv,activity,tr,117,639,0.5617878974071147,0.9789429033551607,0.3861261203455115
9,freesolv,activity,va,117,639,1.221144640712139,0.9067282010882611,0.7107924363717126
9,freesolv,activity,te,117,639,1.123667462575353,0.8874139621916669,0.6743822067540814
10,freesolv,activity,tr,117,639,0.5823265501847291,0.9727258056786078,0.38261852886877784
10,freesolv,activity,va,117,639,1.5814951125495655,0.8651978047487112,0.9844714519778871
10,freesolv,activity,te,117,639,1.376218990213265,0.9328243373293647,0.8460617016620271
11,freesolv,activity,tr,117,639,0.563674397630201,0.9783387596076579,0.3856265427455706
11,freesolv,activity,va,117,639,1.1306718086858514,0.9287654739807919,0.6863187459122835
11,freesolv,activity,te,117,639,1.0738784507514303,0.9083354052716515,0.7344378116723067
12,freesolv,activity,tr,117,639,0.5624057619409417,0.9802273145506127,0.3853868556769052
12,freesolv,activity,va,117,639,1.085497635177591,0.8446771245073899,0.6521364919308253
12,freesolv,activity,te,117,639,1.2731239745645444,0.8494332850128119,0.8594579563759831
13,freesolv,activity,tr,117,639,0.583597458831188,0.9777032675409874,0.38871081741823915
13,freesolv,activity,va,117,639,1.2757628311385183,0.8816209292523678,0.8260321268025949
13,freesolv,activity,te,117,639,1.1360198747207086,0.888663773806545,0.7134524729869807
14,freesolv,activity,tr,117,639,0.5405127450103155,0.9799415210449053,0.36854253075911836
14,freesolv,activity,va,117,639,1.3833547659841783,0.8809221966253273,0.893843334534401
14,freesolv,activity,te,117,639,1.0738081030240296,0.9230220095023184,0.6481332448842114
15,freesolv,activity,tr,117,639,0.5705803533878779,0.9788724938966621,0.38987026755673976
15,freesolv,activity,va,117,639,1.4149947137484664,0.8725785400251596,0.7645697503797257
15,freesolv,activity,te,117,639,1.057271789723727,0.8699697378389215,0.6878340480298836
