split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,freesolv,activity,tr,116,639,0.5710051429393946,0.9779231578409235,0.3885212695601935
1,freesolv,activity,va,116,639,1.0476218096205698,0.9378950411235712,0.6972858480393506
1,freesolv,activity,te,116,639,1.0604570463303127,0.9054877138082434,0.7292971415379889
2,freesolv,activity,tr,116,639,0.6038176171613658,0.9753892431010593,0.39261067563785773
2,freesolv,activity,va,116,639,1.586447233495503,0.7847649187747749,0.8731847559798592
2,freesolv,activity,te,116,639,1.2895475320786542,0.9037483379800353,0.7775048474683945
3,freesolv,activity,tr,116,639,0.6545269718853054,0.9715019316359677,0.4340565411819989
3,freesolv,activity,va,116,639,1.255785009245515,0.9059949154021136,0.8234466671953784
3,freesolv,activity,te,116,639,1.2199006704945317,0.8567346670417076,0.7705495494530368
4,freesolv,activity,tr,116,639,0.5978561217936729,0.9754252135611472,0.3926017623444637
4,freesolv,activity,va,116,639,1.144270452898466,0.8943684634817565,0.8461352326924585
4,freesolv,activity,te,116,639,1.5302108555552012,0.8756660268811584,0.9288295708269265
5,freesolv,activity,tr,116,639,0.6822558891860755,0.9699684463067827,0.431549058025289
5,freesolv,activity,va,116,639,1.1332474251560445,0.9042077896537917,0.6909170569102394
5,freesolv,activity,te,116,639,0.8629235066877687,0.9198738444563449,0.5679806226619566
6,freesolv,activity,tr,116,639,0.650481547788442,0.9699147564062165,0.42127817429674375
6,freesolv,activity,va,116,639,1.2374713268346536,0.922999026725456,0.7336754355716224
6,freesolv,activity,te,116,639,1.05728316012423,0.9293506184117568,0.7021054786923221
7,freesolv,activity,tr,116,639,0.7155862441545684,0.9647406522448373,0.4363007764752294
7,freesolv,activity,va,116,639,1.3151225373112858,0.8350963796611934,0.8366714201134097
7,freesolv,activity,te,116,639,1.5590963675332425,0.8829756690969106,0.9491482030896399
8,freesolv,activity,tr,116,639,0.6521471036944858,0.9710732515670059,0.4231632646745985
8,freesolv,activity,va,116,639,0.9222806934566314,0.9493007862497692,0.6967651747951527
8,freesolv,activity,te,116,639,1.2565435397426161,0.8825838411237141,0.7959114112455146
9,freesolv,activity,tr,116,639,0.643009261199621,0.9724140345073161,0.41788628684656176
9,freesolv,activity,va,116,639,1.3088098892177606,0.8928556503647435,0.7732505792017709
9,freesolv,activity,te,116,639,1.1377491093507976,0.884574455207078,0.7076564857102001
10,freesolv,activity,tr,116,639,0.670249864234113,0.9638679820904508,0.4213676397602292
10,freesolv,activity,va,116,639,1.641223358059484,0.8548233953464495,1.012497368292081
10,freesolv,activity,te,116,639,1.7555050039677433,0.8906947529457725,0.9765857774232294
11,freesolv,activity,tr,116,639,0.6942069294931166,0.9671447639177402,0.4319426083544083
11,freesolv,activity,va,116,639,1.1407195651764894,0.9274937920968251,0.7101790375217472
11,freesolv,activity,te,116,639,1.4781965857314734,0.8263176218222734,0.8895585680369121
12,freesolv,activity,tr,116,639,0.6848541249934768,0.9706801133856655,0.42295819725913425
12,freesolv,activity,va,116,639,1.105307837626957,0.8389561450318217,0.6832229582364673
12,freesolv,activity,te,116,639,1.2262384232232937,0.8603189719742924,0.8670550749726001
13,freesolv,activity,tr,116,639,0.5841396929914752,0.9776618154530994,0.38011015967534306
13,freesolv,activity,va,116,639,0.9812772700968082,0.9299644546386341,0.7236591995642703
13,freesolv,activity,te,116,639,1.613335261393677,0.7754495707744218,1.0457795335424689
14,freesolv,activity,tr,116,639,0.5974505325596607,0.9754930071180851,0.4009062089371544
14,freesolv,activity,va,116,639,1.2104833421147814,0.90882383777992,0.835388449806185
14,freesolv,activity,te,116,639,0.8770430960741518,0.9486482693850979,0.5920753974968905
15,freesolv,activity,tr,116,639,0.6926853872724682,0.9688622906518005,0.45147319859320884
15,freesolv,activity,va,116,639,1.1267334150052077,0.9192067105698446,0.7217815639974774
15,freesolv,activity,te,116,639,1.1111305753290048,0.8563844896061675,0.7724076127341531
