split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,freesolv,activity,tr,1,639,0.8129593558847715,0.9552498413007349,0.3291085843402918
1,freesolv,activity,va,1,639,2.310780533471575,0.6978416383881698,1.101555165371896
1,freesolv,activity,te,1,639,1.3803112762559095,0.839876093815964,1.020328139213462
2,freesolv,activity,tr,1,639,0.927228042872732,0.9419654626893551,0.34470980354678477
2,freesolv,activity,va,1,639,1.0756575324350588,0.9010513574307782,0.7800436914474796
2,freesolv,activity,te,1,639,1.22812101716027,0.9126996760321696,0.9195471485071469
3,freesolv,activity,tr,1,639,0.9104311235057139,0.9448615542262241,0.33464180804988475
3,freesolv,activity,va,1,639,1.6978809590038284,0.8281556603312268,1.1064026136508123
3,freesolv,activity,te,1,639,1.3146708618452299,0.8336103729722341,0.9714985482372257
4,freesolv,activity,tr,1,639,0.8995073729630965,0.9443704116647257,0.3235811961840295
4,freesolv,activity,va,1,639,1.2080815439357155,0.8822587265694609,0.917941567138169
4,freesolv,activity,te,1,639,1.8815216249992899,0.812022580674711,1.134597566081113
5,freesolv,activity,tr,1,639,0.8743549864606533,0.9506759422931358,0.3276656076553741
5,freesolv,activity,va,1,639,1.3164548384787749,0.8707315198804204,0.8706166837464909
5,freesolv,activity,te,1,639,1.2636444207544166,0.8281777210878581,0.8723372373858724
6,freesolv,activity,tr,1,639,0.8637040204698537,0.9469587864661885,0.3334163562100286
6,freesolv,activity,va,1,639,1.7835504728706058,0.8400454004078777,1.0011630551658417
6,freesolv,activity,te,1,639,1.0878100327917546,0.9252120111586382,0.8036908545234908
7,freesolv,activity,tr,1,639,0.8359498406482186,0.9518816478706341,0.2988196188390629
7,freesolv,activity,va,1,639,1.6847828111751044,0.7293639814646963,0.9939530937367901
7,freesolv,activity,te,1,639,1.9792181003326188,0.8114104799279807,1.2200086351784094
8,freesolv,activity,tr,1,639,0.9386490003529483,0.9400740506401059,0.34904048141336713
8,freesolv,activity,va,1,639,1.5850831139067327,0.8502457804201772,0.9470295221834134
8,freesolv,activity,te,1,639,1.279946003660341,0.8781694841906028,0.9859792566358138
9,freesolv,activity,tr,1,639,0.892274770244869,0.9468808693457018,0.31712984014710793
9,freesolv,activity,va,1,639,1.6465720278914537,0.830418839093801,1.0426155512275073
9,freesolv,activity,te,1,639,1.1595585670478306,0.8801068688590111,0.8750533760005961
10,freesolv,activity,tr,1,639,0.7942399192935774,0.9492633054207955,0.3023036382802712
10,freesolv,activity,va,1,639,1.6109653297760849,0.8601270790472952,1.012331750604321
10,freesolv,activity,te,1,639,2.5349581268611914,0.7720820937808882,1.275248899949401
11,freesolv,activity,tr,1,639,0.8469536592721257,0.9510958178048953,0.3064955299936743
11,freesolv,activity,va,1,639,2.008568669181411,0.775202861270468,1.1559217395950496
11,freesolv,activity,te,1,639,1.489028081620018,0.8237629787079346,1.1102853997023745
12,freesolv,activity,tr,1,639,0.9116181528727583,0.9480492210406184,0.34026270702893086
12,freesolv,activity,va,1,639,1.0964391690017012,0.8415301151528027,0.8337121361889175
12,freesolv,activity,te,1,639,1.2085384360777385,0.8643222863726776,0.9449745784033595
13,freesolv,activity,tr,1,639,0.9169390564295147,0.9449578510003569,0.34753875373780424
13,freesolv,activity,va,1,639,1.6364546664704707,0.8052206132031364,1.006720032705765
13,freesolv,activity,te,1,639,1.1549901322650535,0.8849143472522326,0.8990038173442702
14,freesolv,activity,tr,1,639,0.9052650857991111,0.9437350857704339,0.3174681617572437
14,freesolv,activity,va,1,639,1.762786808890599,0.8066415049341764,1.1846956117185132
14,freesolv,activity,te,1,639,0.9391678312410505,0.941115684218868,0.7675054861377202
15,freesolv,activity,tr,1,639,0.9243070515443198,0.9445569464653921,0.33227900321890885
15,freesolv,activity,va,1,639,1.5228242757901393,0.8524182944940626,1.181784689528622
15,freesolv,activity,te,1,639,1.2251168291330636,0.8254072680601432,0.9348815018545434
