split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,freesolv,activity,tr,419,639,0.11527247837971105,0.999100278343409,0.09826692803831477
1,freesolv,activity,va,419,639,1.237254943037754,0.9133765230971024,0.7521198254045747
1,freesolv,activity,te,419,639,1.1570389397757197,0.8874882046593227,0.7269268140169478
2,freesolv,activity,tr,419,639,0.10573428953963324,0.9992453508042303,0.0959973097055296
2,freesolv,activity,va,419,639,0.7838554059092602,0.9474547199773241,0.5752438751477057
2,freesolv,activity,te,419,639,0.9257179703396147,0.9503989446396203,0.6418243998032443
3,freesolv,activity,tr,419,639,0.10848736744709359,0.999217077687962,0.09495256099696676
3,freesolv,activity,va,419,639,1.1275804910331435,0.9242093097617351,0.6831326148781268
3,freesolv,activity,te,419,639,0.9687358681208259,0.9096552472630485,0.6223279431714206
4,freesolv,activity,tr,419,639,0.10827522082931819,0.9991939637988698,0.09564021204605129
4,freesolv,activity,va,419,639,0.9342578559207873,0.9295842602290166,0.6572559012209551
4,freesolv,activity,te,419,639,1.248963558905381,0.9171701663980076,0.7055994531715025
5,freesolv,activity,tr,419,639,0.11119212004330183,0.9992023153472696,0.09552988225393487
5,freesolv,activity,va,419,639,1.08600726825704,0.9120276534890566,0.6604488905083262
5,freesolv,activity,te,419,639,0.7019261878001389,0.9469833114947784,0.45794569916531147
6,freesolv,activity,tr,419,639,0.11865470366374817,0.9989989552612949,0.09748131942203792
6,freesolv,activity,va,419,639,1.0141639589151485,0.9482819346825773,0.6473410508912018
6,freesolv,activity,te,419,639,0.9945911485808825,0.9374805837364946,0.6190784348123538
7,freesolv,activity,tr,419,639,0.11193146074964908,0.9991373102254929,0.09709558794811232
7,freesolv,activity,va,419,639,1.3476188556162116,0.8268462476224544,0.7044629258883364
7,freesolv,activity,te,419,639,1.341641208440151,0.9133431246001492,0.7524652577118238
8,freesolv,activity,tr,419,639,0.10839157611110113,0.9992009029236139,0.09376828640256359
8,freesolv,activity,va,419,639,1.094912967934636,0.9285447425327831,0.6506496160412792
8,freesolv,activity,te,419,639,0.9890571822630385,0.9272529163570229,0.6473087575686322
9,freesolv,activity,tr,419,639,0.11499257498634166,0.9991177466204665,0.09571238455243225
9,freesolv,activity,va,419,639,1.0413617339246675,0.9321703826107712,0.5734357905539822
9,freesolv,activity,te,419,639,0.8338726044217605,0.9379976234038592,0.51439418118393
10,freesolv,activity,tr,419,639,0.10581799201109937,0.9990993878953828,0.09446884562258034
10,freesolv,activity,va,419,639,1.1029099189390874,0.9344396382014821,0.6387658524676768
10,freesolv,activity,te,419,639,1.5355768258363425,0.9163665590578606,0.8248148856680177
11,freesolv,activity,tr,419,639,0.11355505972225534,0.9991208971593891,0.09460017447386196
11,freesolv,activity,va,419,639,0.9068128253044385,0.9541802496331391,0.5121473185649655
11,freesolv,activity,te,419,639,1.2549856329948803,0.8748102201778974,0.7051438845708451
12,freesolv,activity,tr,419,639,0.12090559219035556,0.999086183676279,0.09681458223106068
12,freesolv,activity,va,419,639,0.9790594361954039,0.8736440277599078,0.6941146614827365
12,freesolv,activity,te,419,639,0.8353678481012711,0.935174915117546,0.594906853409912
13,freesolv,activity,tr,419,639,0.1056192546878759,0.9992697011185817,0.09640633647898393
13,freesolv,activity,va,419,639,1.167167186050623,0.9009165374417968,0.6999385122710319
13,freesolv,activity,te,419,639,0.9485806376698562,0.922372938094322,0.6758785443593517
14,freesolv,activity,tr,419,639,0.11267971579062627,0.9991282788055379,0.09553423324582319
14,freesolv,activity,va,419,639,0.8967274001939437,0.9499637730594043,0.6237044648700635
14,freesolv,activity,te,419,639,0.6314048865795726,0.9733848392646478,0.3856075669813105
15,freesolv,activity,tr,419,639,0.10746292548399503,0.9992505685280689,0.09507411190829876
15,freesolv,activity,va,419,639,1.036937553675344,0.9315713222219737,0.6621744178347878
15,freesolv,activity,te,419,639,0.8322604317692742,0.9194269796065327,0.5541432476334958
