split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,freesolv,activity,tr,117,639,0.237554641514041,0.9961789391515414,0.13159269427318215
1,freesolv,activity,va,117,639,1.1621002936718865,0.9235804566425607,0.6778727792955077
1,freesolv,activity,te,117,639,0.7153250849887761,0.956995984024518,0.5161168162682852
2,freesolv,activity,tr,117,639,0.2098836937202163,0.9970264803830035,0.13071815900591302
2,freesolv,activity,va,117,639,0.7443338382784593,0.9526197529278244,0.46472221730773594
2,freesolv,activity,te,117,639,0.9308932057733141,0.9498428040407757,0.5289827025191756
3,freesolv,activity,tr,117,639,0.2210702165786154,0.9967489713117623,0.1328496320490576
3,freesolv,activity,va,117,639,0.8925538094124639,0.952511377574001,0.5383029787387371
3,freesolv,activity,te,117,639,0.9435618382833012,0.9142897209443439,0.5479249923867099
4,freesolv,activity,tr,117,639,0.24728460698622276,0.995795730399743,0.13352148930697538
4,freesolv,activity,va,117,639,0.5760057527989316,0.9732336057038872,0.456563842265765
4,freesolv,activity,te,117,639,0.8227572756173938,0.9640556431236346,0.48743724976949954
5,freesolv,activity,tr,117,639,0.25370094682143907,0.9958473302823103,0.13586038316476948
5,freesolv,activity,va,117,639,0.8941078035040246,0.9403705940068604,0.5316698216408833
5,freesolv,activity,te,117,639,0.7473998129232111,0.9398915296560398,0.4524862902287371
6,freesolv,activity,tr,117,639,0.19765477439412768,0.9972222178173339,0.12742128443983053
6,freesolv,activity,va,117,639,0.9076350306096758,0.9585763442703176,0.5132440747195366
6,freesolv,activity,te,117,639,1.047745404589978,0.9306195257670293,0.6083011013489623
7,freesolv,activity,tr,117,639,0.22647625746284183,0.9964682035420134,0.13045770568710935
7,freesolv,activity,va,117,639,0.8945766961484448,0.9236985289904395,0.4972400293410794
7,freesolv,activity,te,117,639,0.8597177529910065,0.9644170428915911,0.5059807509266092
8,freesolv,activity,tr,117,639,0.23678722070508554,0.9961864890386813,0.130718920585498
8,freesolv,activity,va,117,639,0.7889436660527872,0.9629005922128163,0.5215515898968668
8,freesolv,activity,te,117,639,0.8979932005162033,0.9400320942845855,0.5091176531375912
9,freesolv,activity,tr,117,639,0.19699424461753054,0.9974108285563369,0.1258337164685445
9,freesolv,activity,va,117,639,0.8485610030350763,0.9549616703030532,0.5016735946124186
9,freesolv,activity,te,117,639,0.8204606663991939,0.9399760660577632,0.47565090784442493
10,freesolv,activity,tr,117,639,0.2594931140975089,0.9945841026636187,0.13851258054743792
10,freesolv,activity,va,117,639,0.9163675052934271,0.9547414518988399,0.6025346996231179
10,freesolv,activity,te,117,639,0.9880706103799716,0.9653731624102289,0.5954192810745182
11,freesolv,activity,tr,117,639,0.27112953244995897,0.9949883543832047,0.13794465528338284
11,freesolv,activity,va,117,639,0.523585270523535,0.9847246119373146,0.3474674273692065
11,freesolv,activity,te,117,639,1.0760001580680012,0.9079728361787576,0.614624042933356
12,freesolv,activity,tr,117,639,0.21807619689948118,0.9970270838236293,0.13052327785304757
12,freesolv,activity,va,117,639,0.748427466577015,0.9261624813833927,0.4924112510017884
12,freesolv,activity,te,117,639,0.8536048215867914,0.9323136179110079,0.5090074209768068
13,freesolv,activity,tr,117,639,0.20755543665381787,0.9971797820936544,0.13017343981785795
13,freesolv,activity,va,117,639,0.6536447084824425,0.9689244705975069,0.4317380738654334
13,freesolv,activity,te,117,639,0.8368322735406637,0.9395854590887576,0.5211542995254437
14,freesolv,activity,tr,117,639,0.27131255345916083,0.9949461086980291,0.14211701760160994
14,freesolv,activity,va,117,639,0.8260326180113228,0.9575421432864938,0.5202673059066814
14,freesolv,activity,te,117,639,0.818789441729517,0.9552433385469244,0.46454985309207353
15,freesolv,activity,tr,117,639,0.23362871954129838,0.9964578490407966,0.13318038222290063
15,freesolv,activity,va,117,639,0.8201488848848322,0.9571926503941925,0.45744082345774734
15,freesolv,activity,te,117,639,0.7789384279720007,0.9294206899231268,0.47960533270723715
