split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,freesolv,activity,tr,116,639,0.41586846355156576,0.9882896766105801,0.21269516247527803
1,freesolv,activity,va,116,639,0.9036630098787088,0.9537906108813343,0.5809583826919325
1,freesolv,activity,te,116,639,0.8576119025337865,0.9381864474742163,0.5904277452694778
2,freesolv,activity,tr,116,639,0.41589394164689064,0.988324416378797,0.20917086549564237
2,freesolv,activity,va,116,639,0.8358318471836567,0.9402552669857391,0.5700392607328933
2,freesolv,activity,te,116,639,1.0425187266322293,0.9370926692405177,0.6266963569877446
3,freesolv,activity,tr,116,639,0.4144284079149072,0.9885749170118655,0.21647282961490133
3,freesolv,activity,va,116,639,0.8273119922070932,0.9592000721567112,0.5387673668518065
3,freesolv,activity,te,116,639,1.0457313875082084,0.8947232521585611,0.6432947484064343
4,freesolv,activity,tr,116,639,0.4244544711268397,0.9876132145115879,0.21426853363266285
4,freesolv,activity,va,116,639,0.6862330656301945,0.962009106286434,0.4640349917050035
4,freesolv,activity,te,116,639,1.1905412718664516,0.9247379288488625,0.6306468666012282
5,freesolv,activity,tr,116,639,0.4295488849360577,0.9880955754496984,0.22069545441958502
5,freesolv,activity,va,116,639,0.9343004129054796,0.9348890856658864,0.6478855405561524
5,freesolv,activity,te,116,639,0.5848346446044784,0.9631959264780814,0.36775985393436295
6,freesolv,activity,tr,116,639,0.4167829282684382,0.9876489632874245,0.20865303315853048
6,freesolv,activity,va,116,639,1.0327089226426491,0.9463732122158048,0.5600124366975644
6,freesolv,activity,te,116,639,0.9448466380919351,0.9435780126951482,0.540366033486387
7,freesolv,activity,tr,116,639,0.4180033648392474,0.9879687746089304,0.21624634602954698
7,freesolv,activity,va,116,639,0.7454006416794764,0.9470242304455075,0.4682573817872088
7,freesolv,activity,te,116,639,1.1305780536979462,0.9384637043648245,0.5927375659623597
8,freesolv,activity,tr,116,639,0.4354670724100685,0.98710209652871,0.21575009653890237
8,freesolv,activity,va,116,639,0.8281845248336787,0.9591182750727154,0.574801553800993
8,freesolv,activity,te,116,639,1.0064427778937763,0.9246729497598484,0.6107878874212656
9,freesolv,activity,tr,116,639,0.39904866353485424,0.9893755745435187,0.2088013747215108
9,freesolv,activity,va,116,639,1.0903561737318657,0.9256376833222667,0.589613918094723
9,freesolv,activity,te,116,639,0.8511999981677784,0.9353941041935356,0.5456259490620367
10,freesolv,activity,tr,116,639,0.4260093324818531,0.9854032229787888,0.22040962028552885
10,freesolv,activity,va,116,639,1.1463931746990004,0.9291681736424688,0.6301329064220044
10,freesolv,activity,te,116,639,0.8675475118974322,0.9733054008461762,0.5427612760506408
11,freesolv,activity,tr,116,639,0.44210498868777687,0.9866746834634135,0.22387598064733913
11,freesolv,activity,va,116,639,0.6661341331079664,0.9752747445892856,0.4209934742818042
11,freesolv,activity,te,116,639,0.9593613299146913,0.9268430172703307,0.585883210285904
12,freesolv,activity,tr,116,639,0.4399785929310944,0.9878987780187231,0.22347348867932731
12,freesolv,activity,va,116,639,0.677343796337007,0.9395222014825804,0.44593983591919417
12,freesolv,activity,te,116,639,1.0403190549015129,0.8994642114440887,0.6773397683932817
13,freesolv,activity,tr,116,639,0.42947346251594165,0.9879250009395434,0.2242261138322608
13,freesolv,activity,va,116,639,0.6729198227647837,0.9670646957086834,0.46821218535174297
13,freesolv,activity,te,116,639,0.8628550133563897,0.9357696496034946,0.5235883794874991
14,freesolv,activity,tr,116,639,0.4153708582456577,0.988154369893111,0.215782099172922
14,freesolv,activity,va,116,639,1.0312789021825077,0.9338216493015042,0.6722429039249217
14,freesolv,activity,te,116,639,0.914053145782661,0.9442228767675841,0.47582269448619086
15,freesolv,activity,tr,116,639,0.44860550166859575,0.9869399812813234,0.222026722218059
15,freesolv,activity,va,116,639,0.7479170408914964,0.9644008360141992,0.5269413401395808
15,freesolv,activity,te,116,639,0.6251541752851731,0.954538326203136,0.4256722403704496
