split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,freesolv,activity,tr,419,639,0.12042698105178332,0.9990180157743395,0.08764318449886577
1,freesolv,activity,va,419,639,1.9454654952025916,0.7858272162743212,1.1930270974800503
1,freesolv,activity,te,419,639,1.3066251887455098,0.8565157749271007,0.9125454609002918
2,freesolv,activity,tr,419,639,0.16484914793575653,0.9981656304862141,0.10135183377548102
2,freesolv,activity,va,419,639,1.5422125188089633,0.7966003302372615,1.0405165185496725
2,freesolv,activity,te,419,639,1.7875928118699,0.8150430192327376,1.2165918584447353
3,freesolv,activity,tr,419,639,0.12196151445041074,0.9990105224488467,0.09275972320732428
3,freesolv,activity,va,419,639,2.063850743454729,0.7460914484243613,1.2587119121695385
3,freesolv,activity,te,419,639,1.3101684661890982,0.8347481012558341,0.8865596451796591
4,freesolv,activity,tr,419,639,0.23768027812313303,0.9961159690210108,0.12611624979707675
4,freesolv,activity,va,419,639,0.9849919858365197,0.9217288664656283,0.6926833701133728
4,freesolv,activity,te,419,639,1.8675905468468297,0.814795903447217,1.1079751628264782
5,freesolv,activity,tr,419,639,0.1213559469981318,0.9990498211875803,0.09049320297168004
5,freesolv,activity,va,419,639,1.3822723804084425,0.8574825729477065,0.9040493953227997
5,freesolv,activity,te,419,639,1.035126770063469,0.884703323930331,0.7164064494094055
6,freesolv,activity,tr,419,639,0.11896089881483785,0.998993782090317,0.08772327381144755
6,freesolv,activity,va,419,639,1.8904739212088681,0.8202920432110233,1.06300609665698
6,freesolv,activity,te,419,639,1.2799158519787985,0.8964646703839747,0.8499367022584192
7,freesolv,activity,tr,419,639,0.13540991556496806,0.9987374422795867,0.09672463419330189
7,freesolv,activity,va,419,639,1.6992096011440732,0.7247092263324795,0.9604781089517577
7,freesolv,activity,te,419,639,2.0428790503435414,0.7990835218497727,1.098699905395042
8,freesolv,activity,tr,419,639,0.1757086498764108,0.997900118621015,0.1050946066411828
8,freesolv,activity,va,419,639,1.626917244945707,0.8422367244814561,0.9423192690287171
8,freesolv,activity,te,419,639,1.4702675740358693,0.8392446097945377,1.002440764158964
9,freesolv,activity,tr,419,639,0.13473542447663264,0.9987887959277654,0.0982439128493231
9,freesolv,activity,va,419,639,1.441263051413746,0.870072032841106,0.8939299406265391
9,freesolv,activity,te,419,639,1.2294458307428515,0.8652192956312607,0.7648786098044366
10,freesolv,activity,tr,419,639,0.11760364659678488,0.998887601680404,0.08921218183255487
10,freesolv,activity,va,419,639,1.7107905961084486,0.8422552314423519,1.0185907393976532
10,freesolv,activity,te,419,639,2.4709143610610957,0.783452958959754,1.3754501975985476
11,freesolv,activity,tr,419,639,0.11923173588873785,0.9990308066244913,0.08727422905073463
11,freesolv,activity,va,419,639,2.4576919971529243,0.6634323877470172,1.1211642790405913
11,freesolv,activity,te,419,639,1.634123388906212,0.7877434702608177,0.9944446174520999
12,freesolv,activity,tr,419,639,0.44362030558175725,0.9876976248051145,0.2108762986632334
12,freesolv,activity,va,419,639,1.5905941849656209,0.6664995382877515,0.9977429472166917
12,freesolv,activity,te,419,639,1.627959882927865,0.7538074088477833,1.1097226303257048
13,freesolv,activity,tr,419,639,0.15032492228349945,0.9985206313389117,0.10302227433662813
13,freesolv,activity,va,419,639,1.4930125864495478,0.8378705257346988,0.9820004616626379
13,freesolv,activity,te,419,639,1.1837936080654412,0.8791026952377348,0.8840906641609034
14,freesolv,activity,tr,419,639,0.1652642266463646,0.9981248162500818,0.1045422013183944
14,freesolv,activity,va,419,639,1.7323526392369744,0.8132604631321418,1.0165252679380876
14,freesolv,activity,te,419,639,0.9933434696333889,0.9341262938713676,0.6929996901843696
15,freesolv,activity,tr,419,639,0.3236352724263896,0.9932028585854125,0.17184521554286522
15,freesolv,activity,va,419,639,1.2054476416486204,0.9075238703146792,0.8211016390549727
15,freesolv,activity,te,419,639,1.4356569221721827,0.7602423419253304,0.9772304020705633
