split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,freesolv,activity,tr,117,639,0.24619688086397867,0.9958958615236296,0.18957753298418661
1,freesolv,activity,va,117,639,1.060396880490142,0.9363711463080618,0.7444865427962666
1,freesolv,activity,te,117,639,0.7767772052371441,0.9492898319903091,0.5677990713529288
2,freesolv,activity,tr,117,639,0.325159186663045,0.9928631680974728,0.24938441164460126
2,freesolv,activity,va,117,639,0.8924026320300172,0.9318942969980701,0.5456323020805701
2,freesolv,activity,te,117,639,0.8192743622613815,0.9611498895973837,0.545665671415627
3,freesolv,activity,tr,117,639,0.4002913178580214,0.9893410930835627,0.30231410128567043
3,freesolv,activity,va,117,639,1.0239401883421304,0.9375014511777321,0.6865725955315705
3,freesolv,activity,te,117,639,1.1101454613492923,0.8813543147788865,0.7405113273486496
4,freesolv,activity,tr,117,639,0.21621726745241515,0.996785768595053,0.17092644172390953
4,freesolv,activity,va,117,639,0.6740664042931382,0.9633442935402422,0.45112908656741013
4,freesolv,activity,te,117,639,0.9116098809495101,0.9558729085860199,0.5512068839825224
5,freesolv,activity,tr,117,639,0.5258367454531011,0.9821604014341867,0.392713080386179
5,freesolv,activity,va,117,639,1.048219611513304,0.9180431469568291,0.6505825026487482
5,freesolv,activity,te,117,639,0.6218499103842471,0.9583896988839992,0.44683884315192696
6,freesolv,activity,tr,117,639,0.21074135551742706,0.9968422109991034,0.16222783833338625
6,freesolv,activity,va,117,639,1.0128118848027372,0.9484197428621235,0.5999982331230723
6,freesolv,activity,te,117,639,0.8692769592738077,0.9522424464085257,0.5273449379159137
7,freesolv,activity,tr,117,639,0.6681435668198089,0.9692609890457128,0.48821391134430986
7,freesolv,activity,va,117,639,1.068540703299407,0.8911371023474559,0.6807332539969476
7,freesolv,activity,te,117,639,1.0999267681079399,0.9417551153048321,0.6666310984827577
8,freesolv,activity,tr,117,639,0.22927436627537878,0.9964246424258018,0.17389041356454155
8,freesolv,activity,va,117,639,0.714446665739155,0.9695761187742542,0.5244645615487264
8,freesolv,activity,te,117,639,0.9438960564054658,0.9337446231136383,0.58456535696052
9,freesolv,activity,tr,117,639,0.1730628996338417,0.9980016954171068,0.13634440972132883
9,freesolv,activity,va,117,639,0.9586607359287722,0.9425161274425335,0.5985622441640189
9,freesolv,activity,te,117,639,1.0163040423807763,0.9079007209364408,0.6208265024254797
10,freesolv,activity,tr,117,639,0.28949737429269284,0.9932592533333672,0.21788437398139754
10,freesolv,activity,va,117,639,1.0676759974139092,0.9385615549886274,0.6855154633419267
10,freesolv,activity,te,117,639,0.8267254402722689,0.9757585010287229,0.5677469457522966
11,freesolv,activity,tr,117,639,0.17172362037397634,0.9979895800965056,0.13719540749278417
11,freesolv,activity,va,117,639,0.6742965589181126,0.9746650939671035,0.4640339660105006
11,freesolv,activity,te,117,639,0.9787208531306735,0.9238606699880458,0.6658285507746041
12,freesolv,activity,tr,117,639,0.19789057699331306,0.997551972094083,0.15368160437983486
12,freesolv,activity,va,117,639,0.9193152109894279,0.8885945208750582,0.5471802920719673
12,freesolv,activity,te,117,639,0.9573262808056039,0.9148651167003724,0.6562444608099759
13,freesolv,activity,tr,117,639,0.26005331854984987,0.9955726970700739,0.19731283869954616
13,freesolv,activity,va,117,639,1.0805597762400176,0.9150755720050804,0.6941842563707253
13,freesolv,activity,te,117,639,1.0707092953041866,0.9010973829280933,0.7103118609913508
14,freesolv,activity,tr,117,639,0.5459683598744222,0.9795345607856557,0.3990506430807554
14,freesolv,activity,va,117,639,1.1595981226019434,0.9163282831343129,0.7676534473073894
14,freesolv,activity,te,117,639,0.8825424811331776,0.9480022616190409,0.5723051530029624
15,freesolv,activity,tr,117,639,0.20515827697762282,0.9972685535254264,0.15920201750338883
15,freesolv,activity,va,117,639,0.9274283995107206,0.9452613952504697,0.5753620569767625
15,freesolv,activity,te,117,639,0.8457655379966083,0.9167908434873785,0.5289944762689993
