split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,freesolv,activity,tr,116,639,0.4078301556568461,0.9887379984422535,0.3039973695458019
1,freesolv,activity,va,116,639,1.1970175876707396,0.9189191525262264,0.7563407459058638
1,freesolv,activity,te,116,639,1.051821369583231,0.9070207402401443,0.6958520356938243
2,freesolv,activity,tr,116,639,0.2062057630319673,0.997129781177694,0.15932743970983407
2,freesolv,activity,va,116,639,0.9156560584999827,0.9282987805847063,0.6070542248158619
2,freesolv,activity,te,116,639,1.2078902316750142,0.9155521754381029,0.7334591997019015
3,freesolv,activity,tr,116,639,0.21486032291194446,0.9969290497796992,0.1662093138251079
3,freesolv,activity,va,116,639,0.9969711965703622,0.9407503241937714,0.6587606266654771
3,freesolv,activity,te,116,639,1.2033735596603925,0.8605902644255474,0.7899037212086842
4,freesolv,activity,tr,116,639,0.3828062864295377,0.9899247805707446,0.28409102103862066
4,freesolv,activity,va,116,639,0.9417674688148916,0.9284476999431917,0.6292390198389003
4,freesolv,activity,te,116,639,1.3737473592055427,0.8997923226963069,0.7595383827644401
5,freesolv,activity,tr,116,639,0.33481060913691274,0.9927676133330813,0.25098385506776133
5,freesolv,activity,va,116,639,1.03843041338533,0.9195667696967301,0.6466298857434043
5,freesolv,activity,te,116,639,0.7691603343644171,0.9363404644771871,0.47043303535785524
6,freesolv,activity,tr,116,639,0.19793010420673796,0.9972144736185776,0.15155998829100098
6,freesolv,activity,va,116,639,0.9097221150044957,0.9583856198872394,0.5626759093074963
6,freesolv,activity,te,116,639,0.9590606781039358,0.9418676466309174,0.5783369151130319
7,freesolv,activity,tr,116,639,0.2833323564772076,0.9944723230409405,0.21571404504915792
7,freesolv,activity,va,116,639,1.0746913196690324,0.8898802461844302,0.6510188972487532
7,freesolv,activity,te,116,639,1.2721651628565422,0.9220856872055444,0.7593353896960616
8,freesolv,activity,tr,116,639,0.18992683033673408,0.9975465279218008,0.14486263488129328
8,freesolv,activity,va,116,639,0.6706421001232273,0.973192481416842,0.5205466377940671
8,freesolv,activity,te,116,639,1.3297618011696584,0.8685015929234573,0.8173401142167858
9,freesolv,activity,tr,116,639,0.21820787203869718,0.996823165718112,0.1670634047280658
9,freesolv,activity,va,116,639,1.2335136106047209,0.904829132256598,0.6627122088752945
9,freesolv,activity,te,116,639,1.2023655076525612,0.8710913848459922,0.6394591974513605
10,freesolv,activity,tr,116,639,0.19462892589444417,0.9969532731546253,0.14938044663505157
10,freesolv,activity,va,116,639,1.3955162863407107,0.8950382470760965,0.7604188725660587
10,freesolv,activity,te,116,639,1.1525166064857382,0.9528880315654026,0.7019898096402176
11,freesolv,activity,tr,116,639,0.2555560437953388,0.9955475503612063,0.194520831793489
11,freesolv,activity,va,116,639,0.9662698221060779,0.9479747419082067,0.580929434788895
11,freesolv,activity,te,116,639,1.1677813195914202,0.8916037107824748,0.7066003115940839
12,freesolv,activity,tr,116,639,0.217092940395617,0.9970538318073059,0.1658698459564054
12,freesolv,activity,va,116,639,1.0497500119693222,0.8547388643135494,0.6545598195082154
12,freesolv,activity,te,116,639,0.9925384884755809,0.9084871047440665,0.6499824718385935
13,freesolv,activity,tr,116,639,0.2119228997641976,0.9970598450828186,0.16340940356038408
13,freesolv,activity,va,116,639,1.0500075838281295,0.9198100563672167,0.7224938860985226
13,freesolv,activity,te,116,639,1.4796627525631265,0.8111181966010544,0.8962040128558875
14,freesolv,activity,tr,116,639,0.1917580219123109,0.997475396374291,0.15272787536640348
14,freesolv,activity,va,116,639,1.0995349684604854,0.9247716104432844,0.7571645644204369
14,freesolv,activity,te,116,639,0.6022441272966782,0.9757864557708132,0.42675707682967184
15,freesolv,activity,tr,116,639,0.25595300551467837,0.9957485695797595,0.19425284571340398
15,freesolv,activity,va,116,639,1.032516666349024,0.9321535570921589,0.67602043116401
15,freesolv,activity,te,116,639,0.8894824708345065,0.9079665003305271,0.5366996201709844
