roc_auc,prc_auc,split,set,model,dataset
0.9471885497787935,0.5263152271160816,1,train,attentivefp,hiv
0.9154654297770651,0.47093241651710166,2,train,attentivefp,hiv
0.8473189541116616,0.3883379456157516,3,train,attentivefp,hiv
0.9309675119842075,0.4577474324021762,4,train,attentivefp,hiv
0.9924062617468075,0.7879453398849877,5,train,attentivefp,hiv
0.9647663295940022,0.5574109888449754,6,train,attentivefp,hiv
0.9298616302641757,0.4879004723929392,7,train,attentivefp,hiv
0.9287347894856591,0.4668048431051944,8,train,attentivefp,hiv
0.9862253784311263,0.7182782547394754,9,train,attentivefp,hiv
0.9078319174350449,0.4680723045262191,10,train,attentivefp,hiv
0.9074664286195168,0.474117898124546,11,train,attentivefp,hiv
0.9781991644078047,0.6000250776765759,12,train,attentivefp,hiv
0.9516480171540009,0.5108331292739181,13,train,attentivefp,hiv
0.9674809142919419,0.5912964356241164,14,train,attentivefp,hiv
0.8481956033752406,0.40578549718337126,15,train,attentivefp,hiv
0.8444716631355931,0.4043897433869315,1,validation,attentivefp,hiv
0.8570137718302429,0.33965281796376406,2,validation,attentivefp,hiv
0.8473167820482217,0.356370252554123,3,validation,attentivefp,hiv
0.8405373983913093,0.30715431300545426,4,validation,attentivefp,hiv
0.8511084792545538,0.48030710755959244,5,validation,attentivefp,hiv
0.8270446407257102,0.3209641113605768,6,validation,attentivefp,hiv
0.8679819915254238,0.47482529551685143,7,validation,attentivefp,hiv
0.8423740265067654,0.3428029753924258,8,validation,attentivefp,hiv
0.8499682610806167,0.3875883235663979,9,validation,attentivefp,hiv
0.8132576072785774,0.36390652967397813,10,validation,attentivefp,hiv
0.8133123680186413,0.33251556146885003,11,validation,attentivefp,hiv
0.8463727023095532,0.45146849899124447,12,validation,attentivefp,hiv
0.8091626408019068,0.3319242985742928,13,validation,attentivefp,hiv
0.8701414898044112,0.32876127127433413,14,validation,attentivefp,hiv
0.8583025279115791,0.31729803786590083,15,validation,attentivefp,hiv
0.8064638783269963,0.4166390672113752,1,test,attentivefp,hiv
0.7824565218220589,0.4107994260990479,2,test,attentivefp,hiv
0.7787383272845899,0.2550728273711419,3,test,attentivefp,hiv
0.8102250735664482,0.33400729718827626,4,test,attentivefp,hiv
0.829504146204628,0.4043546257490831,5,test,attentivefp,hiv
0.853642389309948,0.3914023401731629,6,test,attentivefp,hiv
0.8125061101710848,0.3742654185087616,7,test,attentivefp,hiv
0.8231671263394408,0.3890707847337035,8,test,attentivefp,hiv
0.8488094410053095,0.4254574070203783,9,test,attentivefp,hiv
0.8123865334185794,0.29372688996346485,10,test,attentivefp,hiv
0.7957447681435414,0.32052987583987586,11,test,attentivefp,hiv
0.8021750940729853,0.40046267930490054,12,test,attentivefp,hiv
0.83938827373389,0.4224209706543681,13,test,attentivefp,hiv
0.7733918299697767,0.3242717809375311,14,test,attentivefp,hiv
0.7927613536386493,0.31512645579692306,15,test,attentivefp,hiv
