roc_auc,prc_auc,split,set
0.87825852365337,0.4986146905953341,1,train
0.9140478949075894,0.5803870259084225,2,train
0.8942318069669841,0.5556837691677031,3,train
0.9141037882653275,0.5627354856566601,4,train
0.8976899678807689,0.5510307108731043,5,train
0.9283196039398872,0.5901453828878883,6,train
0.8571219800049129,0.46131756257037704,7,train
0.8730046985035512,0.4795805086915746,8,train
0.8430277967451172,0.4482622290422297,9,train
0.9561690859600267,0.6453039659116068,10,train
0.9612692148601766,0.6800230949092123,11,train
0.8617996174869509,0.4693802121388386,12,train
0.9263872452404457,0.5845719069696831,13,train
0.9037627144042446,0.5589558031825732,14,train
0.916170031982259,0.5870573710527721,15,train
0.8092381709039549,0.39549795699756535,1,validation
0.8726982925682572,0.4431650556680024,2,validation
0.8156051563619001,0.3866515920947838,3,validation
0.8100447279503518,0.3460052345291503,4,validation
0.8024097800659705,0.43852455817030384,5,validation
0.8102243972308427,0.37456800560204767,6,validation
0.8262623587570621,0.4108235340430296,7,validation
0.8191077141484032,0.361333589888634,8,validation
0.8008637964726236,0.30984506351795965,9,validation
0.841260760219319,0.40431909416731127,10,validation
0.7984462608315737,0.39642417615110037,11,validation
0.8251090989708524,0.39465397995772805,12,validation
0.7799490229396772,0.3417696748422697,13,validation
0.8475889513108614,0.3876760284442843,14,validation
0.8464334167257882,0.3778490643684157,15,validation
0.7959569074778201,0.4025054506509239,1,test
0.7984840335236875,0.4090556861380956,2,test
0.782148854692997,0.3043449663357743,3,test
0.8252091483713128,0.38323142770742424,4,test
0.7969195505652518,0.33312825726999035,5,test
0.8241001583391285,0.4326604620411661,6,test
0.816679827035157,0.3883166867562849,7,test
0.7845660574571893,0.28171581148654395,8,test
0.8165464349473531,0.4113897192875265,9,test
0.7906129161296057,0.2999141595009321,10,test
0.7523693360730563,0.2894636055365264,11,test
0.77479393933334,0.3691885494117615,12,test
0.8150608095843166,0.43677707657870046,13,test
0.7529989275616652,0.36510126487358036,14,test
0.7777624395828502,0.350396533827138,15,test
