auc_roc,auc_prc,split,set
0.9433113313018359,0.572734904543206,1,train
0.936323098208803,0.5586209998176743,2,train
0.9401844409673331,0.5813082737329768,3,train
0.9567765593227299,0.5799747146516314,4,train
0.902989313173529,0.5281158946341049,5,train
0.8969077624103589,0.5015497093623515,6,train
0.9452967986679844,0.5449827249254686,7,train
0.9077113743416666,0.5255923101266764,8,train
0.9327791028028714,0.5794049097205715,9,train
0.8710056201226737,0.4760301612220591,10,train
0.9525691173452434,0.5937121110361093,11,train
0.8439665675201321,0.42184788345428786,12,train
0.9551261975233342,0.5162140780163618,13,train
0.9584378220273512,0.6066727500299233,14,train
0.9550106125768696,0.5844213947585534,15,train
0.7806573957016434,0.354387032158518,1,validation
0.7846966607525885,0.3202967735656316,2,validation
0.8034425231046263,0.3340275941368821,3,validation
0.761054970587693,0.307521562904252,4,validation
0.7953194926250564,0.32752626394498474,5,validation
0.7801268733205906,0.3114280500020403,6,validation
0.8536929214512912,0.36552644942639406,7,validation
0.7872900684221439,0.24589961976674932,8,validation
0.8089527816736792,0.3247352489870591,9,validation
0.8071175820956074,0.34755193657993466,10,validation
0.7845010732264316,0.28226271311145723,11,validation
0.770970447799716,0.21381324044066985,12,validation
0.7893483354977213,0.2539465881127394,13,validation
0.7915596814378814,0.3461256064294992,14,validation
0.8006756951116378,0.3469191740413912,15,validation
0.8073106607690919,0.39465943957350247,1,test
0.7948641301622013,0.3652982061042587,2,test
0.7554109792915764,0.34666662477059434,3,test
0.7993970868331985,0.31134147833963177,4,test
0.7945479314429357,0.41101875328135373,5,test
0.8231829372661174,0.36126342765042657,6,test
0.7745392208245983,0.2910718040096748,7,test
0.7790294410937952,0.3821282064031804,8,test
0.8034801373188276,0.396686350933241,9,test
0.7867176149990974,0.31628819013738585,10,test
0.7614357362982658,0.3163151643155054,11,test
0.7620073568050449,0.2630524729040371,12,test
0.8282519145678197,0.39424461940724875,13,test
0.7266638925310324,0.30997236453324034,14,test
0.772507446772501,0.3137740218381182,15,test
