roc_auc,prc_auc,split,set,model,dataset
0.9936284455627299,0.8347963248774654,1,train,gat,hiv
0.9934149146665314,0.7990873354495226,2,train,gat,hiv
0.992528287838272,0.7998401817078403,3,train,gat,hiv
0.9873556180519516,0.7320160244411291,4,train,gat,hiv
0.9825041375420039,0.6773072006565141,5,train,gat,hiv
0.9869502412815857,0.7071021783661958,6,train,gat,hiv
0.981934500939283,0.6645105089972193,7,train,gat,hiv
0.9944047100168039,0.8282567559231916,8,train,gat,hiv
0.9779932124176338,0.6283083055402227,9,train,gat,hiv
0.9658272830491749,0.5459233558008315,10,train,gat,hiv
0.9853956462942326,0.7047397469179209,11,train,gat,hiv
0.9928789287394431,0.7907176355952917,12,train,gat,hiv
0.9792547565587414,0.6335303463167491,13,train,gat,hiv
0.8705174448033192,0.3591330668778065,14,train,gat,hiv
0.9941217055541046,0.8133051768747083,15,train,gat,hiv
0.8418079096045198,0.32822083103844774,1,validation,gat,hiv
0.8813650280367402,0.4212494638903587,2,validation,gat,hiv
0.8430639770828359,0.4228829155873994,3,validation,gat,hiv
0.8602825745682888,0.3272109874274805,4,validation,gat,hiv
0.8264723442990398,0.39119035083118936,5,validation,gat,hiv
0.8367462401527811,0.34133309694017416,6,validation,gat,hiv
0.8728294932909605,0.447416178065608,7,validation,gat,hiv
0.8374525192687817,0.396149863055405,8,validation,gat,hiv
0.8345493695779347,0.3293734198800437,9,validation,gat,hiv
0.8279497563636701,0.3686128607491663,10,validation,gat,hiv
0.8251224240879633,0.3289446313660409,11,validation,gat,hiv
0.8639364697828911,0.4515508810918528,12,validation,gat,hiv
0.8252991749819638,0.3829700321317247,13,validation,gat,hiv
0.8768258426966291,0.3251805575555896,14,validation,gat,hiv
0.8766886972107091,0.42791300645612335,15,validation,gat,hiv
0.8449956127522666,0.44118423893267267,1,test,gat,hiv
0.8193161747595779,0.33372212278213725,2,test,gat,hiv
0.8415337364181308,0.3188756095375315,3,test,gat,hiv
0.8570406026199882,0.3550611370355395,4,test,gat,hiv
0.855127806085199,0.32853480112030176,5,test,gat,hiv
0.8563917145023712,0.38181933518904304,6,test,gat,hiv
0.8328915209625869,0.41045044058737407,7,test,gat,hiv
0.8389123493665671,0.421948109115637,8,test,gat,hiv
0.8731654726298949,0.47384757269275507,9,test,gat,hiv
0.8150105816668775,0.3012791108394712,10,test,gat,hiv
0.796177265998147,0.27674010573343283,11,test,gat,hiv
0.8310485846556879,0.4539379835088387,12,test,gat,hiv
0.8496932292612089,0.42749577075375716,13,test,gat,hiv
0.7656176269864483,0.2594256224688122,14,test,gat,hiv
0.8321866498805459,0.3631182737807318,15,test,gat,hiv
