roc_auc,prc_auc,split,set,model,dataset
0.963063961359431,0.547026465440169,1,train,gcn,hiv
0.9988331925641238,0.9550281772696603,2,train,gcn,hiv
0.9742219070465137,0.651998603611106,3,train,gcn,hiv
0.997421282905088,0.9030510248799386,4,train,gcn,hiv
0.9835383375399924,0.6866885289253564,5,train,gcn,hiv
0.9653777756978101,0.5628019871742098,6,train,gcn,hiv
0.9880720807234744,0.7376525354787897,7,train,gcn,hiv
0.9973478537378323,0.8985881568223844,8,train,gcn,hiv
0.9944827115970237,0.8431472273917173,9,train,gcn,hiv
0.9787298209474634,0.6439343123185702,10,train,gcn,hiv
0.9566009166590114,0.5547223624027016,11,train,gcn,hiv
0.9984324525639016,0.9389017251039791,12,train,gcn,hiv
0.996179338392317,0.8750139743081939,13,train,gcn,hiv
0.9411174696435815,0.5383352318427919,14,train,gcn,hiv
0.9954877176164031,0.8474433517175555,15,train,gcn,hiv
0.8521340925141242,0.4075460134964437,1,validation,gcn,hiv
0.8873484926668732,0.41165477638644665,2,validation,gcn,hiv
0.8623299116734304,0.4258723159392183,3,validation,gcn,hiv
0.873065202412326,0.3794721021378417,4,validation,gcn,hiv
0.8502256110094258,0.46666779289036375,5,validation,gcn,hiv
0.8546096920506085,0.3817086489336201,6,validation,gcn,hiv
0.867286811440678,0.44181226942109336,7,validation,gcn,hiv
0.840193281011528,0.3838729742921809,8,validation,gcn,hiv
0.830947313393824,0.3914251267433859,9,validation,gcn,hiv
0.8333217756326685,0.3537950025375591,10,validation,gcn,hiv
0.8289612611956602,0.38792061703286235,11,validation,gcn,hiv
0.8660435773571992,0.49133707466555177,12,validation,gcn,hiv
0.8183699330435125,0.41374807362607957,13,validation,gcn,hiv
0.8763628797336662,0.4115505574694136,14,validation,gcn,hiv
0.8872222844553975,0.4610359944095424,15,validation,gcn,hiv
0.8460154041142633,0.41420657345586614,1,test,gcn,hiv
0.8357366017784187,0.43106937646614685,2,test,gcn,hiv
0.8172309483119743,0.2954218801741418,3,test,gcn,hiv
0.8603922786473619,0.404259428435989,4,test,gcn,hiv
0.8451148564006795,0.37905045875656435,5,test,gcn,hiv
0.8642467890160578,0.4348940060981995,6,test,gcn,hiv
0.8313592780597856,0.41022162352708735,7,test,gcn,hiv
0.8236515947402754,0.3571485135008244,8,test,gcn,hiv
0.8526283713735894,0.4563033295322628,9,test,gcn,hiv
0.8478052015987037,0.3488411957783228,10,test,gcn,hiv
0.7908659188271616,0.29772435373558404,11,test,gcn,hiv
0.8322351208033784,0.41291069808790765,12,test,gcn,hiv
0.8648992557632965,0.4771796717012029,13,test,gcn,hiv
0.7855844788924636,0.3587584698585369,14,test,gcn,hiv
0.8255587090884327,0.3799064074213997,15,test,gcn,hiv
