roc_auc,prc_auc,split,set,model,dataset
0.9307878329336133,0.45793368780173455,1,train,mpnn,hiv
0.950703179061837,0.47281310132949717,2,train,mpnn,hiv
0.8939766463110143,0.37647688518462635,3,train,mpnn,hiv
0.8731429199127234,0.3475344008905327,4,train,mpnn,hiv
0.9758493606576273,0.5751632055807688,5,train,mpnn,hiv
0.8272302370658994,0.35240827468273084,6,train,mpnn,hiv
0.9298856406218748,0.40429050168141656,7,train,mpnn,hiv
0.9785257143013787,0.6054847644707833,8,train,mpnn,hiv
0.9146854381193817,0.46855947760294003,9,train,mpnn,hiv
0.948566528079148,0.4626769948794828,10,train,mpnn,hiv
0.9510502263819851,0.5171686879545984,11,train,mpnn,hiv
0.9783335060149198,0.6116825220868564,12,train,mpnn,hiv
0.9624244102638854,0.473918270577049,13,train,mpnn,hiv
0.9733088107580686,0.5615340352403061,14,train,mpnn,hiv
0.8696058174752302,0.3667314769591897,15,train,mpnn,hiv
0.845164636299435,0.39037862724844186,1,validation,mpnn,hiv
0.8543213274163771,0.3146254970036842,2,validation,mpnn,hiv
0.8206039627596086,0.2900102649594403,3,validation,mpnn,hiv
0.8134141230456682,0.22532967138233304,4,validation,mpnn,hiv
0.8443802793465601,0.40061371874900764,5,validation,mpnn,hiv
0.8126306994509429,0.3448281263318399,6,validation,mpnn,hiv
0.8442708333333333,0.34776126763361326,7,validation,mpnn,hiv
0.838717331547716,0.3605465773056385,8,validation,mpnn,hiv
0.8354704205717984,0.32285698360207044,9,validation,mpnn,hiv
0.814103630967241,0.31520853623004896,10,validation,mpnn,hiv
0.8246946224422923,0.33734570027084365,11,validation,mpnn,hiv
0.8394961611164268,0.3717824159652358,12,validation,mpnn,hiv
0.7969909890914052,0.3151532037412849,13,validation,mpnn,hiv
0.8653870162297129,0.3192465151395869,14,validation,mpnn,hiv
0.8566446361226243,0.25700045132353155,15,validation,mpnn,hiv
0.8174105488934386,0.33534422402426595,1,test,mpnn,hiv
0.7980491563764815,0.29645735870220696,2,test,mpnn,hiv
0.7833777566885262,0.28064931837886764,3,test,mpnn,hiv
0.8042498115865737,0.31026162669680274,4,test,mpnn,hiv
0.7861476802004318,0.3050896217404834,5,test,mpnn,hiv
0.8067250910548215,0.3460435676213702,6,test,mpnn,hiv
0.8202444068433916,0.3474261948539499,7,test,mpnn,hiv
0.8170788462785579,0.37530861045641284,8,test,mpnn,hiv
0.878440101087385,0.3839983283340649,9,test,mpnn,hiv
0.800912519188887,0.2383088051084466,10,test,mpnn,hiv
0.7796021703528704,0.30783959917446907,11,test,mpnn,hiv
0.815223658730873,0.3393627780913449,12,test,mpnn,hiv
0.8306135414775822,0.34492874525370504,13,test,mpnn,hiv
0.7786097299405284,0.3239898513231695,14,test,mpnn,hiv
0.7928220928905626,0.2992563259497414,15,test,mpnn,hiv
