split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,hiv,activity,tr,509,40748,1161,31844,27.42807924203273,31602,242,104,1057,0.9104220499569337,0.9924004522044969,0.9895167398878958,0.8553758593392238,0.8538736018069781,0.9962194980244454
1,hiv,activity,va,509,40748,128,3540,27.65625,3504,36,74,54,0.421875,0.9898305084745763,0.970010905125409,0.4883732530671347,0.4677901364757195,0.8678385416666666
1,hiv,activity,te,509,40748,130,3945,30.346153846153847,3906,39,67,63,0.4846153846153846,0.9901140684410646,0.9739877300613496,0.5340500849334494,0.4488935140466321,0.8664716778785219
2,hiv,activity,tr,509,40748,1163,31842,27.379191745485812,31601,241,98,1065,0.9157351676698194,0.9924313799384461,0.9897288289653083,0.8589366964629055,0.8627450749777443,0.9964183106798329
2,hiv,activity,va,509,40748,123,3545,28.821138211382113,3509,36,68,55,0.44715447154471544,0.9898448519040902,0.9716466739367503,0.5057795595013708,0.443570769808668,0.8765672480420151
2,hiv,activity,te,509,40748,133,3942,29.639097744360903,3900,42,86,47,0.3533834586466165,0.989345509893455,0.9685889570552147,0.41664991146726027,0.36476697956813914,0.8223107235363905
3,hiv,activity,tr,509,40748,1164,31841,27.354810996563575,31567,274,135,1029,0.884020618556701,0.99139474262743,0.9876079381911832,0.8292175094169637,0.8500714162226111,0.995938866021472
3,hiv,activity,va,509,40748,118,3550,30.084745762711865,3513,37,74,44,0.3728813559322034,0.9895774647887324,0.9697382769901853,0.43521680411634256,0.42614769008427783,0.8560121747433755
3,hiv,activity,te,509,40748,137,3938,28.744525547445257,3897,41,95,42,0.30656934306569344,0.989588623666836,0.9666257668711656,0.3779090103430992,0.3360985224344433,0.8321992711851213
4,hiv,activity,tr,509,40748,1166,31839,27.306174957118355,31563,276,107,1059,0.9082332761578045,0.9913313860359936,0.9883956976215725,0.842940085154668,0.8313316839662354,0.995626850507568
4,hiv,activity,va,509,40748,119,3549,29.823529411764707,3501,48,74,45,0.37815126050420167,0.9864750633981403,0.9667393675027263,0.41095569382778413,0.4298028593439318,0.870684368421925
4,hiv,activity,te,509,40748,134,3941,29.41044776119403,3892,49,66,68,0.5074626865671642,0.9875666074600356,0.9717791411042945,0.5286347283599182,0.504196733633984,0.8736427605691411
