split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,hiv,activity,tr,117,40748,1161,31844,27.42807924203273,31276,568,137,1024,0.8819982773471146,0.9821630448436126,0.9786396000605969,0.7430165768335784,0.7453837309957662,0.9917655877527841
1,hiv,activity,va,117,40748,128,3540,27.65625,3446,94,70,58,0.453125,0.9734463276836158,0.955288985823337,0.3927824270132494,0.4241778739296595,0.8373576536016949
1,hiv,activity,te,117,40748,130,3945,30.346153846153847,3852,93,58,72,0.5538461538461539,0.976425855513308,0.9629447852760736,0.47278482924199466,0.42984409490270414,0.8413697962367164
2,hiv,activity,tr,117,40748,1163,31842,27.379191745485812,31290,552,130,1033,0.8882201203783319,0.9826644055021669,0.9793364641720952,0.7509877911222165,0.7467344220084934,0.9916051405577723
2,hiv,activity,va,117,40748,123,3545,28.821138211382113,3471,74,61,62,0.5040650406504065,0.9791255289139633,0.9631952017448201,0.46036184657174783,0.4286604675091415,0.8629834760971022
2,hiv,activity,te,117,40748,133,3942,29.639097744360903,3845,97,73,60,0.45112781954887216,0.9753932014205987,0.9582822085889571,0.39376991195590544,0.34981855126707007,0.7993528341401449
3,hiv,activity,tr,117,40748,1164,31841,27.354810996563575,31354,487,146,1018,0.8745704467353952,0.9847052542319651,0.9808210877139827,0.7597642308692849,0.757028260911788,0.992394407413727
3,hiv,activity,va,117,40748,118,3550,30.084745762711865,3490,60,62,56,0.4745762711864407,0.9830985915492958,0.9667393675027263,0.4614735001552786,0.39319017650641647,0.8222487467175937
3,hiv,activity,te,117,40748,137,3938,28.744525547445257,3855,83,78,59,0.4306569343065693,0.978923311325546,0.9604907975460123,0.40256034924111683,0.31706250534265473,0.8109742987103017
4,hiv,activity,tr,117,40748,1166,31839,27.306174957118355,31283,556,144,1022,0.8765008576329331,0.9825371399855523,0.9787910922587487,0.743252530988664,0.7465574380239328,0.9917833948752777
4,hiv,activity,va,117,40748,119,3549,29.823529411764707,3470,79,56,63,0.5294117647058824,0.9777402085094393,0.9631952017448201,0.4657783239219024,0.4194536296462068,0.8409742595262957
4,hiv,activity,te,117,40748,134,3941,29.41044776119403,3874,67,64,70,0.5223880597014925,0.9829992387718853,0.9678527607361963,0.5000135805063439,0.4600114764907196,0.8569582309210103
5,hiv,activity,tr,117,40748,1142,31863,27.90105078809107,31331,532,138,1004,0.8791593695271454,0.9833035181872392,0.9797000454476594,0.748306850176191,0.7437294448029232,0.9920731532706272
5,hiv,activity,va,117,40748,145,3523,24.29655172413793,3472,51,77,68,0.4689655172413793,0.9855237013908601,0.965103598691385,0.4998473888122483,0.47657654654236165,0.8374641518298471
5,hiv,activity,te,117,40748,132,3943,29.87121212121212,3876,67,63,69,0.5227272727272727,0.9830078620339843,0.9680981595092024,0.4984952630902467,0.45424938078275684,0.8418572614299218
6,hiv,activity,tr,117,40748,1172,31833,27.161262798634812,31272,561,122,1050,0.8959044368600683,0.9823767788144379,0.9793061657324648,0.7543364396253388,0.7495449793841682,0.9918878722779899
6,hiv,activity,va,117,40748,118,3550,30.084745762711865,3493,57,62,56,0.4745762711864407,0.983943661971831,0.9675572519083969,0.4682247606652023,0.42140172848665924,0.821860825972786
6,hiv,activity,te,117,40748,129,3946,30.589147286821706,3868,78,65,64,0.49612403100775193,0.9802331474911302,0.9649079754601227,0.4547785414130251,0.4191849996908637,0.8436970811379985
7,hiv,activity,tr,117,40748,1156,31849,27.551038062283737,31200,649,129,1027,0.8884083044982699,0.9796225941159848,0.9764278139675807,0.7268616048519572,0.7327262787877956,0.9911733008950866
7,hiv,activity,va,117,40748,128,3540,27.65625,3473,67,58,70,0.546875,0.9810734463276836,0.9659214830970556,0.5109624548112492,0.46859849013287835,0.8320731814971751
7,hiv,activity,te,117,40748,135,3940,29.185185185185187,3853,87,68,67,0.4962962962962963,0.9779187817258883,0.9619631901840491,0.445073331240761,0.4194404732726289,0.8168838127467569
8,hiv,activity,tr,117,40748,1145,31860,27.82532751091703,31341,519,147,998,0.8716157205240175,0.9837099811676083,0.9798212392061809,0.747466653954444,0.7449087520472898,0.9917385559640018
8,hiv,activity,va,117,40748,141,3527,25.01418439716312,3459,68,86,55,0.3900709219858156,0.980720158775163,0.9580152671755725,0.3959869643868014,0.34776836835789926,0.8074569632038157
8,hiv,activity,te,117,40748,133,3942,29.639097744360903,3876,66,76,57,0.42857142857142855,0.9832572298325722,0.9651533742331289,0.42770041521242885,0.3901764157899616,0.8496641146244608
9,hiv,activity,tr,117,40748,1152,31853,27.65017361111111,31342,511,145,1007,0.8741319444444444,0.9839575550183656,0.9801242236024845,0.7518521915653128,0.7478672726610828,0.9921039183471293
9,hiv,activity,va,117,40748,113,3555,31.460176991150444,3485,70,58,55,0.48672566371681414,0.980309423347398,0.965103598691385,0.4448032489204506,0.3870476071996703,0.8435794033083157
9,hiv,activity,te,117,40748,154,3921,25.461038961038962,3849,72,71,83,0.538961038961039,0.981637337413925,0.9649079754601227,0.518982493456575,0.5022001104170349,0.8848607398722165
10,hiv,activity,tr,117,40748,1148,31857,27.75,31339,518,140,1008,0.8780487804878049,0.983739837398374,0.9800636267232238,0.7519455698881101,0.7469701448775716,0.9920438093400615
10,hiv,activity,va,117,40748,122,3546,29.065573770491802,3488,58,58,64,0.5245901639344263,0.9836435420191766,0.9683751363140676,0.5082337059536027,0.39964515913563686,0.8437814947343115
10,hiv,activity,te,117,40748,149,3926,26.348993288590606,3849,77,84,65,0.436241610738255,0.9803871625063678,0.9604907975460123,0.4263943058081723,0.32489340618895696,0.8262461237593466
11,hiv,activity,tr,117,40748,1146,31859,27.80017452006981,31311,548,142,1004,0.8760907504363001,0.9827992090147211,0.9790940766550522,0.7427950631926816,0.7445078475999979,0.9919003794369464
11,hiv,activity,va,117,40748,124,3544,28.580645161290324,3491,53,70,54,0.43548387096774194,0.9850451467268623,0.9664667393675027,0.4516227305704775,0.37551918039326454,0.8314142940362631
11,hiv,activity,te,117,40748,149,3926,26.348993288590606,3845,81,88,61,0.40939597315436244,0.9793683138053999,0.9585276073619632,0.39787669240954515,0.3208048674001331,0.7951054234889072
12,hiv,activity,tr,117,40748,1120,31885,28.46875,31368,517,121,999,0.8919642857142858,0.9837854790653913,0.9806695955158309,0.757448685491681,0.7520855991113379,0.9923960410179439
12,hiv,activity,va,117,40748,146,3522,24.123287671232877,3441,81,71,75,0.5136986301369864,0.9770017035775128,0.9585605234460196,0.47538766002549054,0.4083207714439795,0.8606722519116629
