split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,hiv,activity,tr,132,39358,1014,30865,30.43885601577909,29437,1428,285,729,0.7189349112426036,0.9537340029159241,0.946265566673986,0.46999083477858683,0.4851625146689769,0.9560699693997305
1,hiv,activity,va,132,39358,113,3430,30.353982300884955,3254,176,63,50,0.4424778761061947,0.9486880466472303,0.9325430426192493,0.2812680094776557,0.3134752524301124,0.794744446451147
1,hiv,activity,te,132,39358,116,3820,32.93103448275862,3632,188,58,58,0.5,0.9507853403141361,0.9375,0.31495588211507186,0.305451576209694,0.836355840404405
2,hiv,activity,tr,132,39358,1002,30877,30.815369261477045,29588,1289,279,723,0.7215568862275449,0.9582537163584545,0.9508140154960946,0.4877862502353401,0.5171837365141989,0.9596166186912375
2,hiv,activity,va,132,39358,110,3433,31.20909090909091,3267,166,63,47,0.42727272727272725,0.9516457908534809,0.9353655094552639,0.2764821869334779,0.24671078110937691,0.7891931255461696
2,hiv,activity,te,132,39358,131,3805,29.045801526717558,3644,161,66,65,0.4961832061068702,0.9576872536136662,0.9423272357723578,0.349948165738632,0.3014827173136574,0.7913251948520931
3,hiv,activity,tr,132,39358,1016,30863,30.376968503937007,29483,1380,277,739,0.7273622047244095,0.9552862651070861,0.948022208977697,0.4813723077488094,0.5045308880676557,0.9566778289422828
3,hiv,activity,va,132,39358,110,3433,31.20909090909091,3260,173,56,54,0.4909090909090909,0.9496067579376638,0.9353655094552639,0.31201436758668527,0.3158029959674138,0.7778460397743823
3,hiv,activity,te,132,39358,117,3819,32.64102564102564,3627,192,54,63,0.5384615384615384,0.9497250589159466,0.9375,0.33682212640455833,0.29593775314853227,0.8462411290376727
4,hiv,activity,tr,132,39358,1021,30858,30.223310479921647,29425,1433,289,732,0.7169441723800196,0.953561475144209,0.9459832491608896,0.4692342331558623,0.5289536213842284,0.9559322603065865
4,hiv,activity,va,132,39358,127,3416,26.89763779527559,3250,166,72,55,0.4330708661417323,0.9514051522248244,0.9328252893028507,0.29555213199011343,0.3008952296666733,0.7589712146637408
4,hiv,activity,te,132,39358,95,3841,40.43157894736842,3666,175,49,46,0.4842105263157895,0.9544389481905754,0.943089430894309,0.29243276038871985,0.3118876826210698,0.833108154400581
5,hiv,activity,tr,132,39358,1006,30873,30.68886679920477,29553,1320,282,724,0.7196819085487077,0.9572441939558838,0.9497474826688416,0.4830879458321939,0.5140144079286265,0.9610069959538593
5,hiv,activity,va,132,39358,110,3433,31.20909090909091,3285,148,53,57,0.5181818181818182,0.9568890183512962,0.9432684165961049,0.3529161383882708,0.3449506283982195,0.8170007679474618
5,hiv,activity,te,132,39358,127,3809,29.992125984251967,3634,175,58,69,0.5433070866141733,0.9540561827251247,0.9408028455284553,0.36446455332864053,0.348673965461107,0.8161916554864876
6,hiv,activity,tr,132,39358,1029,30850,29.98056365403304,29623,1227,301,728,0.7074829931972789,0.960226904376013,0.9520687599987453,0.49185816087083717,0.5393108418588862,0.9599539922475125
6,hiv,activity,va,132,39358,105,3438,32.74285714285714,3281,157,64,41,0.3904761904761905,0.9543339150668994,0.9376234829240756,0.2545639580854265,0.2755120974704001,0.7931798664782959
6,hiv,activity,te,132,39358,109,3827,35.11009174311926,3668,159,55,54,0.4954128440366973,0.9584530964201725,0.945630081300813,0.32918023685141123,0.28630155816917335,0.8138767760695974
7,hiv,activity,tr,132,39358,1015,30864,30.407881773399016,29652,1212,299,716,0.7054187192118226,0.9607309486780715,0.9526020264123718,0.4906499553231772,0.5247230783844243,0.9599445493594018
7,hiv,activity,va,132,39358,108,3435,31.805555555555557,3282,153,50,58,0.5370370370370371,0.9554585152838428,0.9427039232289021,0.35775345546068454,0.3012478019118898,0.8522750552590437
7,hiv,activity,te,132,39358,120,3816,31.8,3658,158,70,50,0.4166666666666667,0.9585953878406709,0.9420731707317073,0.28837648149067163,0.26138627736419967,0.8086084905660378
8,hiv,activity,tr,132,39358,1008,30871,30.625992063492063,29668,1203,297,711,0.7053571428571429,0.9610313886819345,0.9529470811506007,0.4908570370206494,0.5426336431365273,0.9598705802384012
8,hiv,activity,va,132,39358,98,3445,35.1530612244898,3295,150,51,47,0.47959183673469385,0.9564586357039188,0.9432684165961049,0.3120673484837355,0.2526346007460873,0.8139302745771749
8,hiv,activity,te,132,39358,137,3799,27.72992700729927,3642,157,73,64,0.46715328467153283,0.9586733350881811,0.9415650406504065,0.339040977524228,0.3698937893226146,0.8067758899287749
9,hiv,activity,tr,132,39358,997,30882,30.974924774322968,29698,1184,275,722,0.724172517552658,0.9616605142154006,0.9542331942658177,0.5034914867085507,0.52511578028436,0.9623958008342753
9,hiv,activity,va,132,39358,93,3450,37.096774193548384,3323,127,53,40,0.43010752688172044,0.9631884057971014,0.9491955969517358,0.2966955430319127,0.29411174767314485,0.7947389745987221
9,hiv,activity,te,132,39358,153,3783,24.725490196078432,3611,172,82,71,0.46405228758169936,0.9545334390695216,0.9354674796747967,0.33616733456239106,0.31455793197201715,0.811271270337371
