split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,hiv,activity,tr,509,40748,1161,31844,27.42807924203273,31830,14,0,1161,1.0,0.9995603567391032,0.999575821845175,0.9938061689407874,1.0,1.0
1,hiv,activity,va,509,40748,128,3540,27.65625,3525,15,90,38,0.296875,0.9957627118644068,0.9713740458015268,0.4500334784802376,0.502338814870353,0.8734706038135593
1,hiv,activity,te,509,40748,130,3945,30.346153846153847,3929,16,81,49,0.3769230769230769,0.9959442332065906,0.9761963190184049,0.523022804417097,0.5059020818561983,0.8501920639563225
2,hiv,activity,tr,509,40748,1163,31842,27.379191745485812,31827,15,0,1163,1.0,0.9995289240625589,0.9995455234055446,0.9933788179558141,1.0,1.0
2,hiv,activity,va,509,40748,123,3545,28.821138211382113,3525,20,80,43,0.34959349593495936,0.9943582510578279,0.9727371864776445,0.4765794216255897,0.49655429297169623,0.8825346589149954
2,hiv,activity,te,509,40748,133,3942,29.639097744360903,3912,30,86,47,0.3533834586466165,0.9923896499238964,0.9715337423312883,0.4512410356659914,0.3996358931955969,0.8641199650572398
3,hiv,activity,tr,509,40748,1164,31841,27.354810996563575,31824,17,0,1164,1.0,0.999466097170315,0.9994849265262838,0.9925115624586424,1.0,1.0
3,hiv,activity,va,509,40748,118,3550,30.084745762711865,3534,16,73,45,0.3813559322033898,0.9954929577464788,0.9757360959651036,0.5199773565921327,0.4767292745008274,0.8585760324659824
3,hiv,activity,te,509,40748,137,3938,28.744525547445257,3927,11,101,36,0.26277372262773724,0.9972067039106145,0.9725153374233129,0.4388793343015728,0.4078196538844758,0.8292604716166271
4,hiv,activity,tr,509,40748,1166,31839,27.306174957118355,31825,14,0,1166,1.0,0.999560287697478,0.999575821845175,0.9938315238728544,1.0,1.0
4,hiv,activity,va,509,40748,119,3549,29.823529411764707,3528,21,79,40,0.33613445378151263,0.9940828402366864,0.9727371864776445,0.4574970583362736,0.47020010992328193,0.8642202443107422
4,hiv,activity,te,509,40748,134,3941,29.41044776119403,3925,16,87,47,0.35074626865671643,0.9959401167216443,0.9747239263803681,0.5011199199323875,0.5508455470633637,0.8797032346514068
5,hiv,activity,tr,509,40748,1142,31863,27.90105078809107,31848,15,0,1142,1.0,0.9995292345353545,0.9995455234055446,0.9932626914758077,1.0,1.0
5,hiv,activity,va,509,40748,145,3523,24.29655172413793,3505,18,94,51,0.35172413793103446,0.9948907181379506,0.9694656488549618,0.4971323521183879,0.49668983540789396,0.8372370726359784
5,hiv,activity,te,509,40748,132,3943,29.87121212121212,3927,16,91,41,0.3106060606060606,0.9959421760081156,0.9737423312883435,0.46212214694290454,0.4525857458671664,0.8579223633750643
6,hiv,activity,tr,509,40748,1172,31833,27.161262798634812,31820,13,0,1172,1.0,0.9995916187604059,0.9996061202848053,0.9942965527231437,1.0,1.0
6,hiv,activity,va,509,40748,118,3550,30.084745762711865,3531,19,75,43,0.3644067796610169,0.9946478873239437,0.9743729552889858,0.4914813587885974,0.46717307731275876,0.8619945094294581
6,hiv,activity,te,509,40748,129,3946,30.589147286821706,3922,24,82,47,0.3643410852713178,0.9939178915357324,0.9739877300613496,0.47939584769959326,0.4945228498785338,0.8781476286456309
7,hiv,activity,tr,509,40748,1156,31849,27.551038062283737,31837,12,0,1156,1.0,0.9996232220791862,0.9996364187244356,0.9946623147995917,1.0,1.0
7,hiv,activity,va,509,40748,128,3540,27.65625,3523,17,88,40,0.3125,0.9951977401129943,0.9713740458015268,0.45654096279963496,0.49970767249027703,0.8704360875706215
7,hiv,activity,te,509,40748,135,3940,29.185185185185187,3926,14,84,51,0.37777777777777777,0.9964467005076142,0.9759509202453988,0.5345869122126211,0.5289030539975649,0.8603308892648996
8,hiv,activity,tr,509,40748,1145,31860,27.82532751091703,31848,12,0,1145,1.0,0.9996233521657251,0.9996364187244356,0.9946132956101359,1.0,1.0
8,hiv,activity,va,509,40748,141,3527,25.01418439716312,3506,21,97,44,0.3120567375886525,0.9940459313864474,0.9678298800436205,0.4460572402666283,0.4645408568661322,0.8544219164419564
8,hiv,activity,te,509,40748,133,3942,29.639097744360903,3920,22,93,40,0.3007518796992481,0.9944190766108574,0.9717791411042945,0.42847681606738686,0.4438126229200374,0.8456529451482587
9,hiv,activity,tr,509,40748,1152,31853,27.65017361111111,31840,13,0,1152,1.0,0.9995918751765924,0.9996061202848053,0.9942020071775703,1.0,1.0
9,hiv,activity,va,509,40748,113,3555,31.460176991150444,3530,25,81,32,0.2831858407079646,0.9929676511954993,0.9711014176663032,0.3857965959728938,0.40593643335677065,0.8397047658165615
9,hiv,activity,te,509,40748,154,3921,25.461038961038962,3899,22,91,63,0.4090909090909091,0.9943891864320327,0.9722699386503068,0.5383751252937937,0.5541699458449967,0.891226727875542
10,hiv,activity,tr,509,40748,1148,31857,27.75,31846,11,0,1148,1.0,0.9996547069717802,0.9996667171640661,0.9950713761642606,1.0,1.0
10,hiv,activity,va,509,40748,122,3546,29.065573770491802,3530,16,72,50,0.4098360655737705,0.9954878736604625,0.9760087241003271,0.5467738221998143,0.527303931527653,0.8546480448993554
10,hiv,activity,te,509,40748,149,3926,26.348993288590606,3909,17,106,43,0.28859060402684567,0.9956698930208864,0.9698159509202454,0.4429619199927293,0.44849285466546934,0.854465326664091
