split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,hiv,activity,tr,117,40748,1161,31844,27.42807924203273,31815,29,0,1161,1.0,0.9990893103881422,0.9991213452507196,0.9872901071950624,0.9784760476373038,0.999579087695063
1,hiv,activity,va,117,40748,128,3540,27.65625,3527,13,108,20,0.15625,0.9963276836158192,0.9670119956379498,0.2965435317600038,0.32146599183890306,0.8200962217514124
1,hiv,activity,te,117,40748,130,3945,30.346153846153847,3935,10,108,22,0.16923076923076924,0.9974651457541192,0.9710429447852761,0.33188932002428534,0.33271767886719206,0.830898898313347
2,hiv,activity,tr,117,40748,1163,31842,27.379191745485812,31813,29,0,1163,1.0,0.9990892531876139,0.9991213452507196,0.9873107674678978,0.9720271265322518,0.9994993687393414
2,hiv,activity,va,117,40748,123,3545,28.821138211382113,3529,16,99,24,0.1951219512195122,0.9954866008462624,0.9686477644492911,0.3303995315730483,0.3546028770197918,0.8433772518261149
2,hiv,activity,te,117,40748,133,3942,29.639097744360903,3921,21,120,13,0.09774436090225563,0.9946727549467276,0.965398773006135,0.1805313615850811,0.2681059160899785,0.8248122208107789
3,hiv,activity,tr,117,40748,1164,31841,27.354810996563575,31812,29,0,1164,1.0,0.999089224584655,0.9991213452507196,0.9873210714281095,0.9832822012255167,0.9996661758257389
3,hiv,activity,va,117,40748,118,3550,30.084745762711865,3535,15,99,19,0.16101694915254236,0.995774647887324,0.9689203925845147,0.2886995081092755,0.3119994538965636,0.8070458343280019
3,hiv,activity,te,117,40748,137,3938,28.744525547445257,3925,13,123,14,0.10218978102189781,0.9966988318943626,0.9666257668711656,0.21970618887992702,0.2648271733893789,0.7741396759257544
4,hiv,activity,tr,117,40748,1166,31839,27.306174957118355,31813,26,0,1166,1.0,0.9991833914381734,0.9992122405696107,0.9886299220805419,0.9763276812304007,0.9995420247140725
4,hiv,activity,va,117,40748,119,3549,29.823529411764707,3535,14,98,21,0.17647058823529413,0.9960552268244576,0.9694656488549618,0.31442266693911597,0.3272825501703937,0.8175222751822623
4,hiv,activity,te,117,40748,134,3941,29.41044776119403,3933,8,117,17,0.12686567164179105,0.9979700583608221,0.9693251533742331,0.2850998612212362,0.3663295916739432,0.8128799039564926
5,hiv,activity,tr,117,40748,1142,31863,27.90105078809107,31831,32,0,1142,1.0,0.9989957003420896,0.9990304499318285,0.9857818392396327,0.9664232908851329,0.9994634015715158
5,hiv,activity,va,117,40748,145,3523,24.29655172413793,3512,11,120,25,0.1724137931034483,0.9968776610843032,0.9642857142857143,0.33461945530472126,0.38038941660663117,0.7914023119011031
5,hiv,activity,te,117,40748,132,3943,29.87121212121212,3934,9,117,15,0.11363636363636363,0.997717474004565,0.969079754601227,0.2576432688428691,0.3007154804491647,0.7835769564783006
6,hiv,activity,tr,117,40748,1172,31833,27.161262798634812,31792,41,0,1172,1.0,0.9987120283982032,0.9987577639751553,0.9823212650828866,0.9750976362218038,0.9995509843445995
6,hiv,activity,va,117,40748,118,3550,30.084745762711865,3536,14,97,21,0.17796610169491525,0.9960563380281691,0.9697382769901853,0.31585933163953056,0.29210556208351873,0.7798126044402005
6,hiv,activity,te,117,40748,129,3946,30.589147286821706,3929,17,104,25,0.1937984496124031,0.9956918398378104,0.9703067484662576,0.32848958053018634,0.33347721314042106,0.8159238872059625
7,hiv,activity,tr,117,40748,1156,31849,27.551038062283737,31813,36,0,1156,1.0,0.9988696662375585,0.9989092561733071,0.9842268343997391,0.9675684718845625,0.9994254218190703
7,hiv,activity,va,117,40748,128,3540,27.65625,3530,10,107,21,0.1640625,0.9971751412429378,0.968102508178844,0.32323661834751855,0.35675003319705717,0.8372417902542374
