split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,hiv,activity,tr,132,39358,1014,30865,30.43885601577909,30863,2,912,102,0.10059171597633136,0.9999352016847562,0.9713290881144327,0.30936774760115154,0.9841579668874916,0.9997384103516267
1,hiv,activity,va,132,39358,113,3430,30.353982300884955,3425,5,105,8,0.07079646017699115,0.9985422740524781,0.9689528648038386,0.20151304349594176,0.2782610994431815,0.7794976650584381
1,hiv,activity,te,132,39358,116,3820,32.93103448275862,3817,3,98,18,0.15517241379310345,0.9992146596858639,0.974339430894309,0.3584231731990731,0.37726321177810845,0.8106224047662033
2,hiv,activity,tr,132,39358,1002,30877,30.815369261477045,30875,2,912,90,0.08982035928143713,0.9999352268678952,0.9713290881144327,0.29194040922677855,0.9842674602899498,0.9997192841056236
2,hiv,activity,va,132,39358,110,3433,31.20909090909091,3426,7,97,13,0.11818181818181818,0.9979609670841829,0.9706463449054473,0.2688773144095822,0.3124391378177626,0.77686094854752
2,hiv,activity,te,132,39358,131,3805,29.045801526717558,3802,3,120,11,0.08396946564885496,0.9992115637319317,0.96875,0.2506221529362506,0.3618322377286161,0.8099888655946876
3,hiv,activity,tr,132,39358,1016,30863,30.376968503937007,30859,4,930,86,0.08464566929133858,0.9998703949713249,0.9707017158631074,0.2797985761860924,0.9812245401845536,0.9997309196777937
3,hiv,activity,va,132,39358,110,3433,31.20909090909091,3432,1,96,14,0.12727272727272726,0.9997087095834547,0.9726220716906576,0.33920602963253915,0.33489606272063244,0.8000423695151339
3,hiv,activity,te,132,39358,117,3819,32.64102564102564,3815,4,108,9,0.07692307692307693,0.9989526053940823,0.9715447154471545,0.22458954710294984,0.3333071041378822,0.8382222938389474
4,hiv,activity,tr,132,39358,1021,30858,30.223310479921647,30855,3,920,101,0.098922624877571,0.99990278047832,0.9710467706013363,0.3051447578495787,0.9783859361583351,0.999659779284072
4,hiv,activity,va,132,39358,127,3416,26.89763779527559,3411,5,113,14,0.11023622047244094,0.9985362997658079,0.9666948913350268,0.27687594911627317,0.2823693344705871,0.7482343395600142
4,hiv,activity,te,132,39358,95,3841,40.43157894736842,3834,7,89,6,0.06315789473684211,0.998177557927623,0.975609756097561,0.16406453077943314,0.22411759176687507,0.8015209854889763
5,hiv,activity,tr,132,39358,1006,30873,30.68886679920477,30871,2,914,92,0.09145129224652088,0.9999352184756908,0.9712663508893001,0.2946425522113362,0.9796072617928778,0.9996229663769078
