split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,hiv,activity,tr,509,40748,1161,31844,27.42807924203273,31209,635,0,1161,1.0,0.9800590378093205,0.980760490834722,0.7959560033673717,0.909859948152604,0.9976310817993964
1,hiv,activity,va,509,40748,128,3540,27.65625,3434,106,54,74,0.578125,0.9700564971751412,0.9563794983642312,0.465700278681584,0.4935177459368007,0.867915783898305
1,hiv,activity,te,509,40748,130,3945,30.346153846153847,3848,97,53,77,0.5923076923076923,0.9754119138149556,0.9631901840490797,0.49347649726508275,0.4927489249539457,0.8423242663546846
2,hiv,activity,tr,509,40748,1163,31842,27.379191745485812,30504,1338,48,1115,0.9587274290627688,0.9579800263802525,0.9580063626723224,0.6443950460342643,0.7585662067183926,0.9897827828212202
2,hiv,activity,va,509,40748,123,3545,28.821138211382113,3374,171,48,75,0.6097560975609756,0.9517630465444288,0.9402944383860414,0.4041268323499481,0.4375446456108207,0.8813214535530404
2,hiv,activity,te,509,40748,133,3942,29.639097744360903,3738,204,58,75,0.5639097744360902,0.9482496194824962,0.9357055214723926,0.3603496211494938,0.3560909621892087,0.8050663187649489
3,hiv,activity,tr,509,40748,1164,31841,27.354810996563575,31155,686,0,1164,1.0,0.9784554505197701,0.9792152704135737,0.7846232163084884,0.9062512922625905,0.9972524563901111
3,hiv,activity,va,509,40748,118,3550,30.084745762711865,3462,88,50,68,0.576271186440678,0.9752112676056338,0.9623773173391494,0.4822223408144827,0.47851509488034427,0.8721102888517546
3,hiv,activity,te,509,40748,137,3938,28.744525547445257,3827,111,72,65,0.4744525547445255,0.9718131030980193,0.9550920245398773,0.39569326215392964,0.394456036502163,0.829974087405886
4,hiv,activity,tr,509,40748,1166,31839,27.306174957118355,31003,836,0,1166,1.0,0.973742893935111,0.9746705044690198,0.7530770094631676,0.8769526600724102,0.9964692104147275
4,hiv,activity,va,509,40748,119,3549,29.823529411764707,3438,111,52,67,0.5630252100840336,0.9687235841081995,0.9555616139585605,0.43844011147050027,0.4706360449400882,0.8569629035045971
4,hiv,activity,te,509,40748,134,3941,29.41044776119403,3826,115,55,79,0.5895522388059702,0.9708195889368181,0.9582822085889571,0.46930936828912884,0.5116041513233951,0.8836608634068934
5,hiv,activity,tr,509,40748,1142,31863,27.90105078809107,31012,851,1,1141,0.999124343257443,0.9732919059724445,0.9741857294349341,0.7462975819418044,0.8647518372813581,0.996024752534837
5,hiv,activity,va,509,40748,145,3523,24.29655172413793,3404,119,67,78,0.5379310344827586,0.9662219699120068,0.9492911668484187,0.4357548829675511,0.4879808765326535,0.8618634196952049
5,hiv,activity,te,509,40748,132,3943,29.87121212121212,3842,101,55,77,0.5833333333333334,0.97438498605123,0.961717791411043,0.48310336229630546,0.4697019413526385,0.8641301424081034
6,hiv,activity,tr,509,40748,1172,31833,27.161262798634812,30710,1123,13,1159,0.9889078498293515,0.9647221436873684,0.9655809725799122,0.6956533198013128,0.8156074933741159,0.9935425185554004
6,hiv,activity,va,509,40748,118,3550,30.084745762711865,3410,140,55,63,0.5338983050847458,0.9605633802816902,0.9468375136314068,0.3815822693897244,0.42265577502192475,0.8304893769396037
6,hiv,activity,te,509,40748,129,3946,30.589147286821706,3783,163,48,81,0.627906976744186,0.9586923466801824,0.9482208588957055,0.43287645485649384,0.4568126788156305,0.8626457171819564
7,hiv,activity,tr,509,40748,1156,31849,27.551038062283737,31364,485,0,1156,1.0,0.9847718923671073,0.9853052567792758,0.8328992071801814,0.9418277833639728,0.9985859420333469
7,hiv,activity,va,509,40748,128,3540,27.65625,3475,65,53,75,0.5859375,0.981638418079096,0.9678298800436205,0.5436285667337235,0.5547905623259952,0.8887402895480226
7,hiv,activity,te,509,40748,135,3940,29.185185185185187,3853,87,60,75,0.5555555555555556,0.9779187817258883,0.9639263803680982,0.48867047089523885,0.5111984271346682,0.8475578116187252
8,hiv,activity,tr,509,40748,1145,31860,27.82532751091703,31320,540,0,1145,1.0,0.9830508474576272,0.9836388425996061,0.8173174694685696,0.9111179330284115,0.9976280780817826
8,hiv,activity,va,509,40748,141,3527,25.01418439716312,3439,88,75,66,0.46808510638297873,0.9750496172384463,0.9555616139585605,0.42480227062028386,0.4105290117043004,0.8345971401971015
8,hiv,activity,te,509,40748,133,3942,29.639097744360903,3846,96,59,74,0.556390977443609,0.9756468797564688,0.9619631901840491,0.47281547933471446,0.4601592941516857,0.8593744635561508
9,hiv,activity,tr,509,40748,1152,31853,27.65017361111111,30254,1599,127,1025,0.8897569444444444,0.949800646720874,0.9477048931980003,0.5695986554332747,0.6680651351191831,0.9797011859165542
9,hiv,activity,va,509,40748,113,3555,31.460176991150444,3364,191,51,62,0.5486725663716814,0.9462728551336146,0.9340239912758996,0.33748985378891555,0.34932773946185286,0.8660045056818889
9,hiv,activity,te,509,40748,154,3921,25.461038961038962,3708,213,52,102,0.6623376623376623,0.9456771231828616,0.9349693251533743,0.4341339229427363,0.49401913675273335,0.8869109722208423
10,hiv,activity,tr,509,40748,1148,31857,27.75,31003,854,5,1143,0.9956445993031359,0.973192704900022,0.9739736403575215,0.7445576398377775,0.8545525173861441,0.9957783907813652
10,hiv,activity,va,509,40748,122,3546,29.065573770491802,3435,111,52,70,0.5737704918032787,0.9686971235194586,0.9555616139585605,0.4491152853761153,0.44287815890442545,0.8511853577801818
10,hiv,activity,te,509,40748,149,3926,26.348993288590606,3799,127,69,80,0.5369127516778524,0.9676515537442689,0.9519018404907975,0.4312771016659478,0.42963142208928246,0.8129079241128666
11,hiv,activity,tr,509,40748,1146,31859,27.80017452006981,31046,813,4,1142,0.9965095986038395,0.9744813082645406,0.9752461748219967,0.75304227634781,0.8660442863988773,0.9958946233806059
11,hiv,activity,va,509,40748,124,3544,28.580645161290324,3425,119,62,62,0.5,0.9664221218961625,0.9506543075245365,0.3891988769496879,0.413336980658938,0.8629692164858371
11,hiv,activity,te,509,40748,149,3926,26.348993288590606,3796,130,76,73,0.4899328859060403,0.9668874172185431,0.9494478527607362,0.39409233334963895,0.3697194365639307,0.8243973236417345
12,hiv,activity,tr,509,40748,1120,31885,28.46875,31187,698,1,1119,0.9991071428571429,0.9781088286027912,0.978821390698379,0.7757495850774221,0.8814706135113806,0.9967312495799636
