split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,hiv,activity,tr,117,40748,1161,31844,27.42807924203273,31654,190,0,1161,1.0,0.9940334128878282,0.9942432964702318,0.9242488667561626,0.9936175598437905,0.9998132719791066
1,hiv,activity,va,117,40748,128,3540,27.65625,3495,45,71,57,0.4453125,0.9872881355932204,0.9683751363140676,0.4828397470377686,0.47629647012235193,0.8198071151129944
1,hiv,activity,te,117,40748,130,3945,30.346153846153847,3892,53,61,69,0.5307692307692308,0.9865652724968315,0.9720245398773006,0.5334863375874656,0.48369828551119887,0.8351204055766793
2,hiv,activity,tr,117,40748,1163,31842,27.379191745485812,30776,1066,41,1122,0.9647463456577816,0.9665222033791847,0.9664596273291925,0.6901541828724044,0.8169308796429814,0.9927152811633408
2,hiv,activity,va,117,40748,123,3545,28.821138211382113,3416,129,50,73,0.5934959349593496,0.9636107193229901,0.9511995637949836,0.43965200435303115,0.445111595625198,0.8642035616406939
2,hiv,activity,te,117,40748,133,3942,29.639097744360903,3775,167,54,79,0.5939849624060151,0.9576357179096905,0.9457668711656442,0.411542255347137,0.3732197432171681,0.8128492845507987
3,hiv,activity,tr,117,40748,1164,31841,27.354810996563575,31783,58,0,1164,1.0,0.99817844916931,0.9982426905014392,0.975090626881744,0.9998019844309652,0.9999929714126171
3,hiv,activity,va,117,40748,118,3550,30.084745762711865,3506,44,65,53,0.4491525423728814,0.9876056338028169,0.9702835332606325,0.48030314649435696,0.442737740236521,0.8356075435664837
3,hiv,activity,te,117,40748,137,3938,28.744525547445257,3907,31,88,49,0.35766423357664234,0.9921279837480955,0.97079754601227,0.4544696612592802,0.3776757962273989,0.8244801726023436
4,hiv,activity,tr,117,40748,1166,31839,27.306174957118355,29458,2381,157,1009,0.8653516295025729,0.9252175005496404,0.9231025602181487,0.480743165961788,0.5843501526038789,0.9634045907537477
4,hiv,activity,va,117,40748,119,3549,29.823529411764707,3256,293,43,76,0.6386554621848739,0.9174415328261483,0.9083969465648855,0.327546292338721,0.34993178799846153,0.8152515444047441
4,hiv,activity,te,117,40748,134,3941,29.41044776119403,3610,331,52,82,0.6119402985074627,0.9160111646790154,0.9060122699386504,0.311971857422687,0.38883470744747894,0.837061205012744
5,hiv,activity,tr,117,40748,1142,31863,27.90105078809107,31546,317,0,1142,1.0,0.9900511565138248,0.9903953946371762,0.8803071387256195,0.9868663398401203,0.9996400141960659
5,hiv,activity,va,117,40748,145,3523,24.29655172413793,3478,45,76,69,0.47586206896551725,0.9872267953448766,0.9670119956379498,0.5199882416207459,0.5057145992912434,0.8325623733690918
5,hiv,activity,te,117,40748,132,3943,29.87121212121212,3883,60,65,67,0.5075757575757576,0.9847831600304336,0.9693251533742331,0.5016395041948202,0.4448271711212327,0.8388206180496315
6,hiv,activity,tr,117,40748,1172,31833,27.161262798634812,31144,689,2,1170,0.9982935153583617,0.978355794301511,0.9790637782154219,0.7839717319049965,0.9031686430527976,0.9971406746320843
6,hiv,activity,va,117,40748,118,3550,30.084745762711865,3465,85,58,60,0.5084745762711864,0.976056338028169,0.9610141766630316,0.4387694169621978,0.4153176480183221,0.8084292193841012
6,hiv,activity,te,117,40748,129,3946,30.589147286821706,3834,112,52,77,0.5968992248062015,0.9716168271667511,0.9597546012269939,0.47329708188437686,0.463106065051449,0.8413013669028002
7,hiv,activity,tr,117,40748,1156,31849,27.551038062283737,29312,2537,162,994,0.8598615916955017,0.9203428679079406,0.9182245114376609,0.4640522123271905,0.5789454320325241,0.9619845147316582
7,hiv,activity,va,117,40748,128,3540,27.65625,3232,308,49,79,0.6171875,0.9129943502824859,0.9026717557251909,0.3167180935626059,0.43915842923671816,0.829493290960452
7,hiv,activity,te,117,40748,135,3940,29.185185185185187,3604,336,57,78,0.5777777777777777,0.9147208121827411,0.9035582822085889,0.29175610443940364,0.35654980206298603,0.7886219214137996
8,hiv,activity,tr,117,40748,1145,31860,27.82532751091703,30829,1031,44,1101,0.9615720524017467,0.967639673571877,0.967429177397364,0.6917629437389843,0.8088488312419904,0.992832410902502
8,hiv,activity,va,117,40748,141,3527,25.01418439716312,3367,160,71,70,0.49645390070921985,0.954635667706266,0.9370229007633588,0.35773235041442253,0.3273387732117641,0.7815856201501286
8,hiv,activity,te,117,40748,133,3942,29.639097744360903,3798,144,69,64,0.48120300751879697,0.9634703196347032,0.9477300613496933,0.35900992653245994,0.4137475781716827,0.8365195713789801
9,hiv,activity,tr,117,40748,1152,31853,27.65017361111111,31713,140,0,1152,1.0,0.9956048095940728,0.9957582184517497,0.9421899678352831,0.9960363611604088,0.9998962382969334
9,hiv,activity,va,117,40748,113,3555,31.460176991150444,3508,47,65,48,0.4247787610619469,0.9867791842475386,0.9694656488549618,0.4477253698481231,0.4292935846933221,0.8225084948284233
9,hiv,activity,te,117,40748,154,3921,25.461038961038962,3867,54,74,80,0.5194805194805194,0.9862280030604438,0.9685889570552147,0.5407586033192775,0.5394154672230187,0.8656890801114213
10,hiv,activity,tr,117,40748,1148,31857,27.75,30074,1783,140,1008,0.8780487804878049,0.9440311391530903,0.9417361005908196,0.5413814753122264,0.6665539210766336,0.9756766108215076
10,hiv,activity,va,117,40748,122,3546,29.065573770491802,3337,209,52,70,0.5737704918032787,0.9410603496897914,0.9288440567066522,0.3482378323217847,0.37760024782080026,0.8228354738194965
10,hiv,activity,te,117,40748,149,3926,26.348993288590606,3667,259,68,81,0.5436241610738255,0.9340295466123281,0.9197546012269938,0.32418780464755403,0.3107984301741417,0.7695247993927935
11,hiv,activity,tr,117,40748,1146,31859,27.80017452006981,31552,307,0,1146,1.0,0.9903637904516777,0.9906983790334798,0.8838058631600644,0.9751971298198661,0.9993790401828914
11,hiv,activity,va,117,40748,124,3544,28.580645161290324,3495,49,66,58,0.46774193548387094,0.9861738148984198,0.9686477644492911,0.48747806218088663,0.4517291653858546,0.8678320468943421
11,hiv,activity,te,117,40748,149,3926,26.348993288590606,3846,80,85,64,0.42953020134228187,0.9796230259806419,0.9595092024539877,0.4159311961477205,0.3675615930041617,0.7864375168810922
12,hiv,activity,tr,117,40748,1120,31885,28.46875,31311,574,1,1119,0.9991071428571429,0.9819978046103184,0.9825783972125436,0.8052556942295584,0.9278873032977009,0.9980097700441317
12,hiv,activity,va,117,40748,146,3522,24.123287671232877,3404,118,65,81,0.5547945205479452,0.966496308915389,0.9501090512540894,0.44990674118971574,0.4358411551149447,0.8505937239893273
12,hiv,activity,te,117,40748,153,3922,25.633986928104576,3829,93,82,71,0.46405228758169936,0.97628760836308,0.9570552147239264,0.4259138016552882,0.4177079159674751,0.7843912169661338
13,hiv,activity,tr,117,40748,1142,31863,27.90105078809107,31365,498,0,1142,1.0,0.984370586573769,0.9849113770640812,0.827923942640325,0.9409014080720897,0.9984723482039708
13,hiv,activity,va,117,40748,137,3531,25.773722627737225,3463,68,79,58,0.4233576642335766,0.9807419994335882,0.9599236641221374,0.42071508127895035,0.41963553066230047,0.7811417951945955
13,hiv,activity,te,117,40748,140,3935,28.107142857142858,3838,97,59,81,0.5785714285714286,0.9753494282083863,0.961717791411043,0.4936383591798926,0.5047059844103035,0.8465084407333454
14,hiv,activity,tr,117,40748,1181,31824,26.946655376799324,31276,548,0,1181,1.0,0.982780291603821,0.9833964550825632,0.8193239904111334,0.9300672469140395,0.9980933049852088
14,hiv,activity,va,117,40748,108,3560,32.96296296296296,3473,87,52,56,0.5185185185185185,0.9755617977528089,0.9621046892039259,0.43150601071879446,0.4148573339115702,0.8269012692467749
14,hiv,activity,te,117,40748,130,3945,30.346153846153847,3854,91,72,58,0.4461538461538462,0.9769328263624841,0.96,0.3961468829807083,0.40877130450431076,0.808614604660232
15,hiv,activity,tr,117,40748,1168,31837,27.257705479452056,31506,331,0,1168,1.0,0.9896032917674404,0.9899712164823512,0.8781145445167019,0.9720153443371398,0.9992728102178003
15,hiv,activity,va,117,40748,113,3555,31.460176991150444,3489,66,52,61,0.5398230088495575,0.9814345991561182,0.9678298800436205,0.49265921122323847,0.44098145994114774,0.850570678217144
15,hiv,activity,te,117,40748,138,3937,28.528985507246375,3872,65,77,61,0.4420289855072464,0.983489966979934,0.9651533742331289,0.4446438802320039,0.390660311549409,0.8113751734749846
