split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,hiv,activity,tr,132,39358,1014,30865,30.43885601577909,30205,660,0,1014,1.0,0.9786165559695448,0.9792967157062643,0.7699234192678567,0.9303376933877756,0.99827209285458
1,hiv,activity,va,132,39358,113,3430,30.353982300884955,3336,94,59,54,0.4778761061946903,0.972594752186589,0.9568162574089755,0.3956418608433835,0.3999955701764772,0.7900745633272273
1,hiv,activity,te,132,39358,116,3820,32.93103448275862,3708,112,56,60,0.5172413793103449,0.9706806282722513,0.9573170731707317,0.4036658897149093,0.4416336440752913,0.8354757176385629
2,hiv,activity,tr,132,39358,1002,30877,30.815369261477045,29721,1156,5,997,0.9950099800399201,0.9625611296434239,0.963581040810565,0.6657822197222086,0.8281064500006574,0.995087019341503
2,hiv,activity,va,132,39358,110,3433,31.20909090909091,3262,171,56,54,0.4909090909090909,0.9501893387707544,0.9359300028224669,0.313717904952937,0.33548199337748286,0.8161957471599185
2,hiv,activity,te,132,39358,131,3805,29.045801526717558,3624,181,60,71,0.5419847328244275,0.952431011826544,0.938770325203252,0.36228069282917447,0.38951429406275034,0.8034707245388248
3,hiv,activity,tr,132,39358,1016,30863,30.376968503937007,29792,1071,3,1013,0.9970472440944882,0.9652982535722386,0.9663101101038301,0.6838744681074672,0.8667642493927444,0.9959179518527523
3,hiv,activity,va,132,39358,110,3433,31.20909090909091,3263,170,49,61,0.5545454545454546,0.9504806291872997,0.9381879762912786,0.3548100392341438,0.38941603680661374,0.7957100865926965
3,hiv,activity,te,132,39358,117,3819,32.64102564102564,3656,163,42,75,0.6410256410256411,0.9573186698088505,0.9479166666666666,0.42633107981640606,0.468631859267668,0.8537564091373989
4,hiv,activity,tr,132,39358,1021,30858,30.223310479921647,29927,931,2,1019,0.9980411361410382,0.9698295417719878,0.9707330844756736,0.7111327544271301,0.8792747216351112,0.9965248861344522
4,hiv,activity,va,132,39358,127,3416,26.89763779527559,3274,142,67,60,0.47244094488188976,0.9584309133489461,0.9410104431272932,0.34545779657591796,0.3901804390775944,0.7943697099337993
4,hiv,activity,te,132,39358,95,3841,40.43157894736842,3702,139,48,47,0.49473684210526314,0.9638115074199427,0.952489837398374,0.3316629695352516,0.36143672655469644,0.8444593650228148
5,hiv,activity,tr,132,39358,1006,30873,30.68886679920477,29268,1605,27,979,0.9731610337972167,0.9480128267418132,0.9488064242918536,0.5900475437256835,0.7639618141370709,0.9907213506445536
5,hiv,activity,va,132,39358,110,3433,31.20909090909091,3227,206,51,59,0.5363636363636364,0.9399941741916691,0.9274626023144228,0.3140791617666769,0.38481969579892333,0.8022588247755741
5,hiv,activity,te,132,39358,127,3809,29.992125984251967,3583,226,51,76,0.5984251968503937,0.9406668416907324,0.9296239837398373,0.3579104113994108,0.45819540892350974,0.8256905009478173
6,hiv,activity,tr,132,39358,1029,30850,29.98056365403304,29151,1699,47,982,0.9543245869776482,0.9449270664505672,0.9452304024592992,0.5726530227357673,0.7373042510450837,0.9874682820569766
6,hiv,activity,va,132,39358,105,3438,32.74285714285714,3205,233,60,45,0.42857142857142855,0.9322280395578825,0.91730172170477,0.22753566706135628,0.2528312890440046,0.7791157649796394
6,hiv,activity,te,132,39358,109,3827,35.11009174311926,3570,257,51,58,0.5321100917431193,0.9328455709432977,0.9217479674796748,0.2811800359516493,0.34424817166042176,0.7939387691990516
7,hiv,activity,tr,132,39358,1015,30864,30.407881773399016,30310,554,0,1015,1.0,0.9820502851218248,0.9826217886382885,0.7970552236652848,0.9448233249356371,0.9986776884830191
7,hiv,activity,va,132,39358,108,3435,31.805555555555557,3339,96,51,57,0.5277777777777778,0.9720524017467249,0.9585097375105842,0.4227193800617298,0.38427263473862133,0.8499326109224217
7,hiv,activity,te,132,39358,120,3816,31.8,3721,95,69,51,0.425,0.975104821802935,0.9583333333333334,0.3639758411866346,0.3527828620472037,0.7789908717679944
8,hiv,activity,tr,132,39358,1008,30871,30.625992063492063,28904,1967,44,964,0.9563492063492064,0.9362832431732047,0.9369177201292387,0.5405813945088997,0.6998651987059902,0.9853028160450579
8,hiv,activity,va,132,39358,98,3445,35.1530612244898,3227,218,48,50,0.5102040816326531,0.9367198838896952,0.9249223821620096,0.277184055941095,0.27804637710333835,0.7900654601463226
8,hiv,activity,te,132,39358,137,3799,27.72992700729927,3538,261,63,74,0.5401459854014599,0.9312977099236641,0.9176829268292683,0.3096640563432875,0.37777309784164886,0.7967540439954425
9,hiv,activity,tr,132,39358,997,30882,30.974924774322968,30367,515,0,997,1.0,0.9833236189365974,0.9838451645283729,0.8052299484582273,0.9549594755583696,0.9988570887196919
9,hiv,activity,va,132,39358,93,3450,37.096774193548384,3372,78,48,45,0.4838709677419355,0.9773913043478261,0.9644369178662151,0.4028407046694196,0.3679504565569334,0.7757035998129967
9,hiv,activity,te,132,39358,153,3783,24.725490196078432,3690,93,83,70,0.45751633986928103,0.9754163362410785,0.9552845528455285,0.4199978306381988,0.4073423045685795,0.8071264808681425
10,hiv,activity,tr,132,39358,991,30888,31.168516649848637,30065,823,0,991,1.0,0.9733553483553483,0.974183631857963,0.7292121491346035,0.9001642214564061,0.9973234080827421
10,hiv,activity,va,132,39358,130,3413,26.253846153846155,3277,136,63,67,0.5153846153846153,0.9601523586287724,0.9438329099633079,0.38468287913688753,0.43039361896587397,0.8240122608127296
10,hiv,activity,te,132,39358,122,3814,31.262295081967213,3657,157,68,54,0.4426229508196721,0.9588358678552701,0.9428353658536586,0.3088921672675205,0.33430445054136354,0.7985312954000361
11,hiv,activity,tr,132,39358,1020,30859,30.25392156862745,29996,863,0,1020,1.0,0.9720340905408471,0.9729288873553122,0.7256307426615275,0.8936689869855398,0.9971390746907661
11,hiv,activity,va,132,39358,106,3437,32.424528301886795,3300,137,59,47,0.44339622641509435,0.9601396566773349,0.9446796500141124,0.30982106626136685,0.3644467168064641,0.8225827701868127
11,hiv,activity,te,132,39358,117,3819,32.64102564102564,3670,149,63,54,0.46153846153846156,0.9609845509295627,0.9461382113821138,0.32444502091824007,0.2969102697174621,0.7726683720399352
12,hiv,activity,tr,132,39358,1014,30865,30.43885601577909,28821,2044,98,916,0.903353057199211,0.9337761218208327,0.9328084318830578,0.5061824773211784,0.6357655106676049,0.9782974050958699
12,hiv,activity,va,132,39358,99,3444,34.78787878787879,3188,256,45,54,0.5454545454545454,0.9256678281068524,0.9150437482359582,0.2747889083722773,0.32992240056027944,0.7982027006417249
