rmse,mae,r2,split,set,model,dataset
0.36664108445410853,0.27617708,0.9081201988235189,1,train,attentivefp,lipop
0.3550484236747368,0.26906022,0.9120797323220896,2,train,attentivefp,lipop
0.3612217927103792,0.2749147,0.9107243763945246,3,train,attentivefp,lipop
0.3793626573053674,0.285861,0.9010717746722279,4,train,attentivefp,lipop
0.4233759036430399,0.32257664,0.8757432091116075,5,train,attentivefp,lipop
0.3072273327138162,0.23690039,0.9349850935049484,6,train,attentivefp,lipop
0.3459670573342951,0.26609635,0.917984018566084,7,train,attentivefp,lipop
0.36641343685170014,0.28193372,0.9069749319249756,8,train,attentivefp,lipop
0.32688086655788046,0.24864323,0.9267262807511151,9,train,attentivefp,lipop
0.31921490583378465,0.2396265,0.9289788595619963,10,train,attentivefp,lipop
0.3020774358414873,0.23185769,0.9355154814427183,11,train,attentivefp,lipop
0.35072895416368133,0.2670339,0.9160380379410757,12,train,attentivefp,lipop
0.3361594553645065,0.25683343,0.9217352639964698,13,train,attentivefp,lipop
0.27837930689864304,0.21496806,0.9458292417636248,14,train,attentivefp,lipop
0.33016143966257283,0.2512744,0.9248461004674217,15,train,attentivefp,lipop
0.5428659629956741,0.3857367,0.7931230790577408,1,validation,attentivefp,lipop
0.518233636296868,0.38342157,0.8259739854853534,2,validation,attentivefp,lipop
0.5490906654216127,0.41668367,0.7728079669930448,3,validation,attentivefp,lipop
0.5438043490466382,0.4048175,0.7826322642840211,4,validation,attentivefp,lipop
0.5251596219500198,0.38447067,0.7987152531366172,5,validation,attentivefp,lipop
0.5424435497394459,0.3869566,0.7983022890655549,6,validation,attentivefp,lipop
0.548839283894217,0.4118049,0.7828158545377364,7,validation,attentivefp,lipop
0.49478204282804195,0.38706097,0.8433951007773239,8,validation,attentivefp,lipop
0.5402051452982032,0.40281492,0.7983082820832201,9,validation,attentivefp,lipop
0.528584581657009,0.40011072,0.810158195338124,10,validation,attentivefp,lipop
0.5877737645188694,0.4250124,0.767808953194845,11,validation,attentivefp,lipop
0.5526867903321251,0.37594855,0.7547752930498445,12,validation,attentivefp,lipop
0.5895290924930601,0.41446438,0.7794107230008748,13,validation,attentivefp,lipop
0.5750429375829345,0.41045654,0.764748304960078,14,validation,attentivefp,lipop
0.566356525211593,0.40658796,0.7529718672411644,15,validation,attentivefp,lipop
0.6420553568001993,0.4452015,0.6891158892118163,1,test,attentivefp,lipop
0.5363942604936279,0.38365936,0.8036957811716834,2,test,attentivefp,lipop
0.5209808490385478,0.39813277,0.8098385089426259,3,test,attentivefp,lipop
0.5797959999893917,0.4298183,0.7684500888346718,4,test,attentivefp,lipop
0.5614112542914362,0.409615,0.7961281242971328,5,test,attentivefp,lipop
0.5495105722380494,0.39646527,0.7836254173510021,6,test,attentivefp,lipop
0.5453561399207759,0.4106693,0.7874116575437008,7,test,attentivefp,lipop
0.6029862239269879,0.41004798,0.7286006447703948,8,test,attentivefp,lipop
0.5930575549305137,0.4043514,0.7397387369403721,9,test,attentivefp,lipop
0.5855634130950627,0.41933998,0.7747925467485641,10,test,attentivefp,lipop
0.5591878599261857,0.3906605,0.8114718047384832,11,test,attentivefp,lipop
0.5327030393864289,0.4029029,0.8050712593198561,12,test,attentivefp,lipop
0.572967775550515,0.41321352,0.7570775299180639,13,test,attentivefp,lipop
0.5975830182855013,0.43303537,0.7758368872751973,14,test,attentivefp,lipop
0.5635896565939341,0.39228886,0.7938428774767938,15,test,attentivefp,lipop
