rmse,mae,r2,split,set
0.3183950977527026,0.24373652,0.9307100053321795,1,train
0.23507552361308828,0.18018764,0.9614584946391737,2,train
0.227682608647442,0.1748959,0.9645313419717548,3,train
0.28724368839783265,0.22291374,0.9432831529070372,4,train
0.22129142470416305,0.16623259,0.9660533418181149,5,train
0.183622560878314,0.13999665,0.9767755549993367,6,train
0.26745495432527666,0.20668244,0.9509848583953314,7,train
0.2801151160760844,0.21623597,0.9456336324777569,8,train
0.18808369382666826,0.14153308,0.9757410777944309,9,train
0.2592074053847429,0.19651565,0.9531708635936956,10,train
0.22566725351099073,0.17190059,0.9640121493911121,11,train
0.2758319781064588,0.20575084,0.9480687745104821,12,train
0.20881759370107658,0.15789397,0.9697998106399538,13,train
0.22049124007546428,0.17216495,0.9660160612116081,14,train
0.2842297067569742,0.21833284,0.9443022410346793,15,train
0.5711615786996007,0.4196784,0.770995106449644,1,validation
0.5583341301964534,0.42879215,0.7980000086209047,2,validation
0.5977208968958788,0.4469602,0.7307833972043698,3,validation
0.6099679214219409,0.45328775,0.7265212080321255,4,validation
0.5686384741460736,0.40876156,0.7640061113263772,5,validation
0.5874447066076778,0.41780213,0.7634484340572413,6,validation
0.6226836912840242,0.45518267,0.7204414822332181,7,validation
0.6270877539097633,0.4554966,0.7484442956541615,8,validation
0.5762202097128825,0.4409895,0.7705185120067233,9,validation
0.6099969673081351,0.4522793,0.7471760079885874,10,validation
0.6170683154181102,0.44721225,0.7440874721794616,11,validation
0.5901158949204723,0.43814096,0.7204363817156771,12,validation
0.6156187521912773,0.46050218,0.7594543387043569,13,validation
0.6180629074954791,0.4400022,0.7282324818385131,14,validation
0.5650715327765047,0.42142215,0.7540915707860169,15,validation
0.6069983327377649,0.4495367,0.7221383970382897,1,test
0.5812957007377286,0.42227104,0.7694550447556948,2,test
0.5701516590890127,0.42216772,0.7722492299878068,3,test
0.6158457307079587,0.471361,0.7387609763241834,4,test
0.6151953790809847,0.45063382,0.7551944899749784,5,test
0.586583328365032,0.4275264,0.7534451760092665,6,test
0.5856731835881847,0.43544143,0.7548173992389615,7,test
0.6641816649384799,0.48329085,0.670718180355677,8,test
0.6071931218129,0.4343677,0.7271842158227765,9,test
0.6620336168547135,0.46821725,0.7121309159773604,10,test
0.6336397721101394,0.47042584,0.757927348795968,11,test
0.6097704753401793,0.4628797,0.7445897585128544,12,test
0.6325841892135968,0.4551367,0.7038961751999595,13,test
0.7127364318476774,0.5189363,0.6811213395359831,14,test
0.6191803832179885,0.45061934,0.7511677418896632,15,test
