rmse,mae,r2,split,set
0.34845698220908156,0.27031928,0.9170080227221568,1,train
0.2696614849189415,0.20753159,0.9492832174588621,2,train
0.28969755521522245,0.22475994,0.9425784819101996,3,train
0.3680877404066073,0.28225592,0.9068648146706016,4,train
0.3723307221407044,0.2853986,0.9038995159674413,5,train
0.28248542081296524,0.21906415,0.9450351067408286,6,train
0.3815593254150996,0.29471517,0.9002407627570888,7,train
0.31008258636640595,0.23882179,0.9333788784066918,8,train
0.28495993453876195,0.21840443,0.9443151734796327,9,train
0.44959062857037146,0.35022855,0.8591179034208806,10,train
0.32536245180598844,0.25122148,0.9251910204067817,11,train
0.2970777120678128,0.22924058,0.9397607512820048,12,train
0.357061172834107,0.27398738,0.9116999953384355,13,train
0.2823263737620362,0.21483053,0.9442822040550878,14,train
0.28561249903862085,0.22119029,0.9437589787399606,15,train
0.5507626361271794,0.4142473,0.7870607147029377,1,validation
0.5761550900875441,0.42806473,0.7848993172478675,2,validation
0.5798379677083572,0.44346535,0.7466515356321668,3,validation
0.5661335782079007,0.42909586,0.7644150692113915,4,validation
0.598167475046246,0.42513296,0.7388597578449637,5,validation
0.6105975578490423,0.43964785,0.7444346437472558,6,validation
0.6089493414177667,0.43041202,0.7326377801189086,7,validation
0.6273499180928775,0.45588285,0.7482339434986994,8,validation
0.5788403286897918,0.43654248,0.7684268313405924,9,validation
0.6045652970827362,0.4729029,0.7516585121144472,10,validation
0.663271264314464,0.48501602,0.7043298831463459,11,validation
0.5946047302634057,0.41808856,0.7161671026283511,12,validation
0.6454577404921845,0.48689267,0.7355707654254411,13,validation
0.6454397099245532,0.45138854,0.7036236005227331,14,validation
0.6032489817184283,0.43072522,0.719740877109008,15,validation
0.6447135667435844,0.4641153,0.6865363733066556,1,test
0.5961130951508379,0.4566034,0.7575519319625095,2,test
0.5822167836890556,0.4480792,0.762508250278966,3,test
0.6096028611068466,0.46915314,0.7440305306391529,4,test
0.6500905808276786,0.49025422,0.7266350211422641,5,test
0.5537542363213582,0.42397568,0.780270592095409,6,test
0.650537743410991,0.49002236,0.6975009516161933,7,test
0.7082311238615635,0.47917828,0.6255929286266833,8,test
0.6558926381348947,0.45596892,0.681667297521568,9,test
0.6920874951800339,0.49651372,0.6854013110481854,10,test
0.6670553643842073,0.48177287,0.7317222562837575,11,test
0.6167190077408802,0.47137612,0.7387356356922657,12,test
0.6153654655184391,0.45544598,0.719796550058792,13,test
0.6352056064173927,0.46125132,0.7467227137478676,14,test
0.6289986963031158,0.46230003,0.7432137108866583,15,test
