rmse,mae,r2,split,set
0.2945074491724528,0.2293141,0.9407169713056504,1,train
0.3859935858742073,0.2935413,0.8960860125321815,2,train
0.25051139144922474,0.19577032,0.9570621834329511,3,train
0.29159641555158133,0.22486883,0.9415512188127657,4,train
0.2823552560915904,0.22085245,0.9447337998307856,5,train
0.32122926242481487,0.24744931,0.9289239247705966,6,train
0.34440494047192344,0.2707242,0.9187229876688581,7,train
0.38296424038183985,0.29718617,0.8983813043507541,8,train
0.2915584826218202,0.22457561,0.9417064397640358,9,train
0.2693262426278804,0.20882715,0.9494433038809673,10,train
0.457587449804471,0.35892835,0.8520322453540821,11,train
0.29329141014925375,0.22926432,0.94128649244057,12,train
0.29640427714944584,0.22905737,0.9391522702427989,13,train
0.3460378588804364,0.26642781,0.9162975257225159,14,train
0.3248250531700876,0.253999,0.9272558838758755,15,train
0.5720625116578948,0.4279233,0.7702720747866356,1,validation
0.6316186687590788,0.47627524,0.7414926675755064,2,validation
0.5948745468259762,0.4477933,0.733341303732274,3,validation
0.6150141488362801,0.44748315,0.7219775465714353,4,validation
0.6001706307894785,0.43690184,0.7371078103388254,5,validation
0.6146997217651526,0.44465226,0.7409891979677323,6,validation
0.6355397126134783,0.45128548,0.7087787155432086,7,validation
0.6179631103952747,0.45659786,0.7557117474648727,8,validation
0.5844432597149338,0.44295973,0.7639220998353174,9,validation
0.6263783990649382,0.47219485,0.7334145746267271,10,validation
0.7024751415130767,0.5289133,0.6683446379941753,11,validation
0.62732554750175,0.4665801,0.6840692012945344,12,validation
0.6815744930858019,0.4994213,0.7051504373559385,13,validation
0.6965373106312905,0.4952258,0.6548396038527553,14,validation
0.606061706600671,0.440039,0.7171212677576687,15,validation
0.6568113832310896,0.4808386,0.6746619126990578,1,test
0.6440096507445173,0.48981243,0.7170262493456483,2,test
0.6244324730052319,0.47736812,0.7268193204375579,3,test
0.6228789100133824,0.45536277,0.7327600046063056,4,test
0.6904928564286357,0.5014722,0.6916006341628811,5,test
0.6338727099407927,0.4809138,0.7120890486165353,6,test
0.6393363132873091,0.48012576,0.7078285922357699,7,test
0.678491878148876,0.47049516,0.6563761295265824,8,test
0.6514659160501687,0.45711285,0.6859496923861963,9,test
0.6839691221408979,0.50604707,0.6927386589798548,10,test
0.730342956156024,0.5546564,0.6784011247450542,11,test
0.6088182889637479,0.4571305,0.7453867951116262,12,test
0.6345467527553368,0.46469814,0.7020560276430952,13,test
0.6962872220265166,0.509093,0.6956702154737635,14,test
0.6282945110038171,0.47508943,0.7437883524950978,15,test
