rmse,mae,r2,split,set,model,dataset
0.4911182232644316,0.38250148,0.8351420701162542,1,train,gat,lipop
0.44547089888296243,0.34517017,0.8615947481125339,2,train,gat,lipop
0.529880328793018,0.4050087,0.8078941691953123,3,train,gat,lipop
0.3317982922284151,0.25708565,0.9243237894943142,4,train,gat,lipop
0.42419718130790307,0.32702422,0.875260660001926,5,train,gat,lipop
0.34558966763030086,0.26668155,0.9177350590720781,6,train,gat,lipop
0.4349633657441621,0.3333329,0.8703614130406043,7,train,gat,lipop
0.36842713203110966,0.28702605,0.9059496504214766,8,train,gat,lipop
0.35857989631437076,0.27968308,0.9118258856695391,9,train,gat,lipop
0.5643023649263149,0.43233275,0.778055157790606,10,train,gat,lipop
0.33691226018893494,0.2613749,0.9197855701073834,11,train,gat,lipop
0.42853928520654866,0.33175018,0.8746510671730915,12,train,gat,lipop
0.571976858979739,0.44343674,0.7734143771670063,13,train,gat,lipop
0.3430548596739736,0.26522338,0.917734420524751,14,train,gat,lipop
0.41957194807534515,0.32453823,0.8786298914570241,15,train,gat,lipop
0.6720731797804305,0.50166416,0.6829265266555321,1,validation,gat,lipop
0.6503558221160042,0.48483893,0.7259277340782102,2,validation,gat,lipop
0.6495828050787024,0.49311805,0.6820388715350243,3,validation,gat,lipop
0.6777221722562391,0.5045321,0.6623917199519866,4,validation,gat,lipop
0.6242079245687339,0.46557477,0.7156280207926058,5,validation,gat,lipop
0.6633792279131921,0.4816658,0.6983414789539526,6,validation,gat,lipop
0.6703109056502724,0.51037395,0.6760408146787189,7,validation,gat,lipop
0.6366009515489159,0.48786673,0.7407540227512555,8,validation,gat,lipop
0.6288621306492995,0.47671226,0.7266736368467028,9,validation,gat,lipop
0.687610877372759,0.5297075,0.67874611252836,10,validation,gat,lipop
0.6966607598422423,0.5136962,0.6738121296241817,11,validation,gat,lipop
0.6710766551423933,0.4992241,0.638464999439529,12,validation,gat,lipop
0.7043812443643442,0.53265077,0.685087853689597,13,validation,gat,lipop
0.6839770087385211,0.50085384,0.6671755704257312,14,validation,gat,lipop
0.639663160314818,0.48209128,0.6848848668711092,15,validation,gat,lipop
0.7728302623714365,0.5377114,0.5495757182018346,1,test,gat,lipop
0.6723073632750741,0.5125205,0.6916122496218416,2,test,gat,lipop
0.6722090134842349,0.5122804,0.6834169403778534,3,test,gat,lipop
0.8043698544993472,0.5618284,0.5543378466464913,4,test,gat,lipop
0.6862474432100287,0.5045046,0.695381290793222,5,test,gat,lipop
0.6423433100894432,0.5050654,0.7043427933633837,6,test,gat,lipop
0.6611871288531822,0.50397766,0.6875160237548661,7,test,gat,lipop
0.8083761171115266,0.517518,0.5164485387161215,9,test,gat,lipop
0.7192150767429586,0.5425503,0.6602554677898782,10,test,gat,lipop
0.6763730627471755,0.49432808,0.7241751241461828,11,test,gat,lipop
0.662995142612529,0.5004388,0.6980561020188085,12,test,gat,lipop
0.761737451568298,0.54476744,0.570643637715145,13,test,gat,lipop
0.734468697596968,0.5504008,0.6613787598132184,14,test,gat,lipop
0.64822322108563,0.48698515,0.727277173730177,15,test,gat,lipop
