rmse,mae,r2,split,set,model,dataset
0.21829355677575016,0.17179164,0.9674298601735678,1,train,gcn,lipop
0.18818104756587115,0.14393635,0.9753017835952286,2,train,gcn,lipop
0.25302406523865145,0.19564259,0.9561965195515563,3,train,gcn,lipop
0.2038527710892344,0.16262722,0.9714343358491319,4,train,gcn,lipop
0.17539593002520418,0.13520546,0.9786741232687557,5,train,gcn,lipop
0.4067644383330344,0.31302947,0.8860329910299106,6,train,gcn,lipop
0.33058001942404375,0.25629452,0.9251171842184939,7,train,gcn,lipop
0.1956902855717795,0.15402013,0.9734664256782611,8,train,gcn,lipop
0.22861893266799718,0.17628,0.9641578819740476,9,train,gcn,lipop
0.19744290987423918,0.1549608,0.9728290729897612,10,train,gcn,lipop
0.3113151739051985,0.24288522,0.9315112133481047,11,train,gcn,lipop
0.21878724121795923,0.1718268,0.967327428248146,12,train,gcn,lipop
0.22506656556137308,0.17547469,0.9649169428292016,13,train,gcn,lipop
0.368727195163891,0.28082368,0.90496111006409,14,train,gcn,lipop
0.18673110306549495,0.14592838,0.9759601298726714,15,train,gcn,lipop
0.6333358390239874,0.43843877,0.7184244239407162,1,validation,gcn,lipop
0.5380953253119222,0.4148843,0.8123790062473668,2,validation,gcn,lipop
0.5834969109565407,0.4406214,0.7434440406765617,3,validation,gcn,lipop
0.6390919601626517,0.45700243,0.699782227447131,4,validation,gcn,lipop
0.5771195715900319,0.40529686,0.7569140454130628,5,validation,gcn,lipop
0.6522262604495641,0.47830373,0.7083994161506963,6,validation,gcn,lipop
0.6536697114835934,0.4399711,0.6919264552569568,7,validation,gcn,lipop
0.6312838328142356,0.46369424,0.7450665454382166,8,validation,gcn,lipop
0.559819324204372,0.42342854,0.7833960320533008,9,validation,gcn,lipop
0.6009909404017856,0.45321938,0.7545863261144041,10,validation,gcn,lipop
0.6600820962463828,0.4651972,0.7071663333668974,11,validation,gcn,lipop
0.604927707246424,0.41063872,0.7062262367836454,12,validation,gcn,lipop
0.6305467758206992,0.4550441,0.747646992511565,13,validation,gcn,lipop
0.6366286886914653,0.47598144,0.7116601627938168,14,validation,gcn,lipop
0.5401300833016394,0.3962534,0.7753205636588305,15,validation,gcn,lipop
0.6486654914910328,0.45066705,0.6826816687649099,1,test,gcn,lipop
0.5691463095774473,0.43391696,0.7789913748230534,2,test,gcn,lipop
0.6012108753584271,0.4418776,0.7467597806445898,3,test,gcn,lipop
0.6637639889437311,0.46870163,0.6965259341052925,4,test,gcn,lipop
0.5896332219811976,0.43104932,0.7751157683204294,5,test,gcn,lipop
0.6161085911316967,0.46836814,0.7280001865848256,6,test,gcn,lipop
1.9108902782678583,0.5265378,-1.6100605059969024,7,test,gcn,lipop
0.7612883305412758,0.4694848,0.5673941826357543,8,test,gcn,lipop
0.7945071551515094,0.4504901,0.5328983203466517,9,test,gcn,lipop
0.6371467415653344,0.4646465,0.7333670282191749,10,test,gcn,lipop
0.6421173669986284,0.47293776,0.7514065509932554,11,test,gcn,lipop
0.5614812155067145,0.427664,0.783441123686936,12,test,gcn,lipop
0.7182677765985617,0.4875221,0.618249103677088,13,test,gcn,lipop
0.7041402057513981,0.49688125,0.6887668124026793,14,test,gcn,lipop
0.6476031071081192,0.45786706,0.7277987138346457,15,test,gcn,lipop
