rmse,mae,r2,split,set,model,dataset
0.4828178078319546,0.3732053,0.8406675046827501,1,train,mpnn,lipop
0.42994139712786006,0.32456487,0.8710764169312476,2,train,mpnn,lipop
0.4012945438925237,0.30563,0.889817781864138,3,train,mpnn,lipop
0.3856134513720824,0.30274582,0.8977848048068289,4,train,mpnn,lipop
0.3989957937112102,0.30893514,0.8896418327181383,5,train,mpnn,lipop
0.43471301875293133,0.3337251,0.8698336962749544,6,train,mpnn,lipop
0.35672786435327286,0.2737711,0.9128027075775496,7,train,mpnn,lipop
0.3527342554474519,0.27162766,0.9137910230460321,8,train,mpnn,lipop
0.3482066630046136,0.271651,0.9168536055904942,9,train,mpnn,lipop
0.30376655829787447,0.23376453,0.9356866325323465,10,train,mpnn,lipop
0.42003942219461504,0.32011572,0.8753193698689984,11,train,mpnn,lipop
0.4339517369946394,0.3290561,0.8714647531108974,12,train,mpnn,lipop
0.47872378434398344,0.37027937,0.841274939377253,13,train,mpnn,lipop
0.458900882350558,0.35320047,0.8527928915518326,14,train,mpnn,lipop
0.4019699211800468,0.30722138,0.8885998175128544,15,train,mpnn,lipop
0.5761540038359932,0.4315904,0.7669742150914045,1,validation,mpnn,lipop
0.5900163208595295,0.44794366,0.7744249533324656,2,validation,mpnn,lipop
0.5922328740353454,0.44545144,0.7357043600252782,3,validation,mpnn,lipop
0.6170842772490988,0.46059293,0.7201027353383809,4,validation,mpnn,lipop
0.5746550167791792,0.43779057,0.7589857881319133,5,validation,mpnn,lipop
0.6041731477806348,0.44354957,0.7497842472394969,6,validation,mpnn,lipop
0.6016254144441662,0.44085854,0.7390303375529201,7,validation,mpnn,lipop
0.5660591903780148,0.43204817,0.7950248755558854,8,validation,mpnn,lipop
0.584527060160525,0.4389769,0.7638543422380022,9,validation,mpnn,lipop
0.6183941550001416,0.44605446,0.7401674170939929,10,validation,mpnn,lipop
0.6458364276401677,0.47106248,0.7196696503454973,11,validation,mpnn,lipop
0.584749823734539,0.4355643,0.7254975156339167,12,validation,mpnn,lipop
0.6905297580483113,0.5193532,0.6973514218048846,13,validation,mpnn,lipop
0.612155658892812,0.4606681,0.7334025791987535,14,validation,mpnn,lipop
0.6090642430146957,0.45711368,0.7143114780218243,15,validation,mpnn,lipop
0.6709358837888215,0.48295277,0.6605188998299323,1,test,mpnn,lipop
0.6078866731941506,0.4574223,0.7478803892193271,2,test,mpnn,lipop
0.6035107856235484,0.45981997,0.7448185386171944,3,test,mpnn,lipop
0.6608283329261783,0.4867848,0.6992043757483366,4,test,mpnn,lipop
0.6216059078596133,0.46811575,0.7500659808202496,5,test,mpnn,lipop
0.6498745540464015,0.47313908,0.6973691730838221,6,test,mpnn,lipop
0.6588465322019517,0.48026988,0.6897244417584358,7,test,mpnn,lipop
0.7059921511316453,0.48427963,0.6279564459554479,8,test,mpnn,lipop
0.618655884453352,0.44205296,0.716786380005425,9,test,mpnn,lipop
0.7015621618597154,0.4969097,0.6767286638289686,10,test,mpnn,lipop
0.7133088439751452,0.5141402,0.6932277539222952,11,test,mpnn,lipop
0.6282881311411217,0.4726527,0.7288414917466879,12,test,mpnn,lipop
0.6917223881103854,0.50108695,0.6459448003867003,13,test,mpnn,lipop
0.6616521511319365,0.493761,0.7251934982125198,14,test,mpnn,lipop
0.6255251109040232,0.44892284,0.7460420363317498,15,test,mpnn,lipop
