split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,lipop,activity,tr,508,4200,0.4868521757871874,0.8379936579279283,0.37657813474194923
1,lipop,activity,va,508,4200,0.7436869568220095,0.6117538563143494,0.5816337617205678
1,lipop,activity,te,508,4200,0.6965756188511821,0.6340766797124799,0.5365644746740318
2,lipop,activity,tr,508,4200,0.49085203663094645,0.8319590853658543,0.37970961085712285
2,lipop,activity,va,508,4200,0.770102438122791,0.615709195837215,0.6052502905171673
2,lipop,activity,te,508,4200,0.7436715003519901,0.6226679717369015,0.5789885368888015
3,lipop,activity,tr,508,4200,0.4837104192610615,0.8399130697678268,0.3732473364951139
3,lipop,activity,va,508,4200,0.7387128454483946,0.5887970069892307,0.5807385962125297
3,lipop,activity,te,508,4200,0.734664953915068,0.621855588858092,0.5761780033571768
4,lipop,activity,tr,508,4200,0.4804298463633722,0.8413386827547125,0.3721240328863885
4,lipop,activity,va,508,4200,0.747459592861084,0.5893374158073502,0.5860846894526947
4,lipop,activity,te,508,4200,0.7758056958420003,0.5854278584060243,0.6029955440710746
5,lipop,activity,tr,508,4200,0.485136449754416,0.836846773441793,0.37603599294259044
5,lipop,activity,va,508,4200,0.7246989669818592,0.6166958611265956,0.5689573739403068
5,lipop,activity,te,508,4200,0.7959575038718696,0.5901972491602345,0.614020461215244
6,lipop,activity,tr,508,4200,0.49270314954383104,0.8327893532982561,0.3833360408214006
6,lipop,activity,va,508,4200,0.7641852351772961,0.5996967297715169,0.5681752879028373
6,lipop,activity,te,508,4200,0.7540179886347619,0.5926033076822131,0.5859170826107741
7,lipop,activity,tr,508,4200,0.47862775070551816,0.8430270844009576,0.37091837855459975
7,lipop,activity,va,508,4200,0.7693374937137715,0.5732519678149427,0.5846656578935318
7,lipop,activity,te,508,4200,0.7217325275049524,0.6276669731712154,0.556719154992108
8,lipop,activity,tr,508,4200,0.48046912253710866,0.8400485563499441,0.3718912642340962
8,lipop,activity,va,508,4200,0.7648748802140248,0.6257530387668206,0.5827569571131608
8,lipop,activity,te,508,4200,0.7563457396038598,0.5729932699367735,0.5904102528332059
9,lipop,activity,tr,508,4200,0.49605768808607353,0.8312539526666206,0.38215240833173636
9,lipop,activity,va,508,4200,0.7510015030187127,0.6101906345750057,0.5970295768188923
9,lipop,activity,te,508,4200,0.6976089885398798,0.639886050310718,0.5370080212878485
10,lipop,activity,tr,508,4200,0.4796438686325711,0.839653636361245,0.37281403774324817
10,lipop,activity,va,508,4200,0.794494053429525,0.5711117245007469,0.612081560354016
10,lipop,activity,te,508,4200,0.8031372311395614,0.5763429540245792,0.603684685764182
11,lipop,activity,tr,508,4200,0.4755535030717577,0.8401849637707326,0.37112685481402935
11,lipop,activity,va,508,4200,0.7951242263594404,0.5750918633721873,0.5965017021591896
11,lipop,activity,te,508,4200,0.8194171598847726,0.5951715998621825,0.6344415113956737
12,lipop,activity,tr,508,4200,0.48544843793782777,0.8391483350789243,0.3760813714663044
12,lipop,activity,va,508,4200,0.7456221701501062,0.5536827609394483,0.5798258356551117
12,lipop,activity,te,508,4200,0.7311783352611508,0.6327581402812685,0.5697461086517028
13,lipop,activity,tr,508,4200,0.4816178142413507,0.8393500700407576,0.3724763757853576
13,lipop,activity,va,508,4200,0.7802331544771158,0.6136128545084163,0.6168044867701542
13,lipop,activity,te,508,4200,0.7671601420659929,0.5645088094113779,0.5890662630700618
14,lipop,activity,tr,508,4200,0.4753441668922361,0.8420544646077417,0.3699191303293225
14,lipop,activity,va,508,4200,0.7658169059935219,0.5827636634975899,0.5622154931725447
14,lipop,activity,te,508,4200,0.8378660109908419,0.5593266895526092,0.6450519121604587
15,lipop,activity,tr,508,4200,0.4815513759589732,0.8401237095293435,0.3744078750362201
15,lipop,activity,va,508,4200,0.7004582287990726,0.6221398587736886,0.5305762744386885
15,lipop,activity,te,508,4200,0.7769226275879282,0.6082329898597876,0.5958348439521087
