split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,lipop,activity,tr,103,4200,0.47661472811179845,0.8447353091643887,0.3636911412194432
1,lipop,activity,va,103,4200,0.6269836931630426,0.7240443357813873,0.48124883160678855
1,lipop,activity,te,103,4200,0.6444935441607368,0.6867502797087057,0.4926591515245139
2,lipop,activity,tr,103,4200,0.47721891077470563,0.8411639302184849,0.3643156679272642
2,lipop,activity,va,103,4200,0.6126479675208049,0.7567880053021032,0.47134827373506183
2,lipop,activity,te,103,4200,0.625081959083543,0.7334152373715872,0.49184364322623536
3,lipop,activity,tr,103,4200,0.47688201132070174,0.8444009743109174,0.36438496838744944
3,lipop,activity,va,103,4200,0.623242608107659,0.7073023486034756,0.48225323034913126
3,lipop,activity,te,103,4200,0.6547972302888806,0.6996049945447194,0.5057883224984822
4,lipop,activity,tr,103,4200,0.4760351557903741,0.8442280881643845,0.3632163966057913
4,lipop,activity,va,103,4200,0.6320533340898805,0.7063586926763368,0.503086079989779
4,lipop,activity,te,103,4200,0.6488319649242436,0.7100262651945077,0.4992195899629942
5,lipop,activity,tr,103,4200,0.47368065362844386,0.8444610545094052,0.3644439059198928
5,lipop,activity,va,103,4200,0.6440876662774309,0.69722627081148,0.47661386771856284
5,lipop,activity,te,103,4200,0.6587220685202154,0.71932771302327,0.500131890695426
6,lipop,activity,tr,103,4200,0.47275172288236544,0.8460571614893695,0.3612188414343332
6,lipop,activity,va,103,4200,0.6480491805654252,0.7121224587197719,0.49414170618867204
6,lipop,activity,te,103,4200,0.6450209168705603,0.701872745120605,0.5061650597371455
7,lipop,activity,tr,103,4200,0.4706962179722723,0.8481865003442822,0.36021796155542407
7,lipop,activity,va,103,4200,0.6497574686083832,0.6956030539812664,0.4940176085889576
7,lipop,activity,te,103,4200,0.6456106759496132,0.7020657649728799,0.49443658469637075
8,lipop,activity,tr,103,4200,0.4667900844006711,0.8490265975475193,0.35903869734122085
8,lipop,activity,va,103,4200,0.6697798333910588,0.7130266149887705,0.5025816243382495
8,lipop,activity,te,103,4200,0.6823353666686861,0.6524720372925368,0.5058257349822428
9,lipop,activity,tr,103,4200,0.47737535795456676,0.8437250987585191,0.36484171484031713
9,lipop,activity,va,103,4200,0.6098155204778073,0.7429795949714506,0.4843705296858989
9,lipop,activity,te,103,4200,0.6509989739596419,0.6863997374848692,0.48768404600404824
10,lipop,activity,tr,103,4200,0.46841157958899177,0.8470756770365429,0.3607079760439579
10,lipop,activity,va,103,4200,0.668574977734139,0.6962871905240349,0.51348366763021
10,lipop,activity,te,103,4200,0.7066743069401608,0.6720002452757279,0.5223851346031562
11,lipop,activity,tr,103,4200,0.46072266286567704,0.8499976653387145,0.35280632415185503
11,lipop,activity,va,103,4200,0.7650990193708177,0.6065764379664926,0.5804545129899814
11,lipop,activity,te,103,4200,0.7042393784306109,0.7009791482574915,0.5293280111949528
12,lipop,activity,tr,103,4200,0.4750095916190777,0.8459917085226557,0.3645835655034881
12,lipop,activity,va,103,4200,0.6769834509392201,0.6320725918699872,0.49556885144237617
12,lipop,activity,te,103,4200,0.6034322659685104,0.7498718301903259,0.4689823594435127
13,lipop,activity,tr,103,4200,0.46962417698220876,0.8472517125801436,0.3602522731857141
13,lipop,activity,va,103,4200,0.6999500997556075,0.689037494046967,0.5284661903923559
13,lipop,activity,te,103,4200,0.6729523941689747,0.6648987888244413,0.5030589061514038
14,lipop,activity,tr,103,4200,0.4664119910668852,0.8479345921813394,0.3584945381350569
14,lipop,activity,va,103,4200,0.7010989912054547,0.650303803330208,0.5062237587521082
14,lipop,activity,te,103,4200,0.6908733647925693,0.7003843452934547,0.5255273987032568
15,lipop,activity,tr,103,4200,0.46890460055474825,0.8484109629304163,0.3622688373948033
15,lipop,activity,va,103,4200,0.6478550840601891,0.6767620514679771,0.4800510572194711
15,lipop,activity,te,103,4200,0.6546814694235729,0.7218158263664914,0.49093027390334526
