split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,lipop,activity,tr,122,4200,0.5192512764283492,0.8157137506137061,0.40501283102074653
1,lipop,activity,va,122,4200,0.7216046744223638,0.6344679205779435,0.5497894826877049
1,lipop,activity,te,122,4200,0.6902616753670437,0.6406802643915164,0.5272239641811753
2,lipop,activity,tr,122,4200,0.5298916824202081,0.8041660213984299,0.4115927746679648
2,lipop,activity,va,122,4200,0.7041446845791893,0.6787176957076726,0.5502781034887065
2,lipop,activity,te,122,4200,0.697143913248813,0.6684062981959669,0.5402196454462251
3,lipop,activity,tr,122,4200,0.5093870700096591,0.8224662911629805,0.3967843367787033
3,lipop,activity,va,122,4200,0.7165514846179641,0.6130990773830298,0.5623665499893192
3,lipop,activity,te,122,4200,0.7224604917527816,0.6343149171051267,0.5679138781418293
4,lipop,activity,tr,122,4200,0.5104449497664773,0.82089450154747,0.3993232919129949
4,lipop,activity,va,122,4200,0.7556526354206587,0.5802853789302636,0.5828306429994966
4,lipop,activity,te,122,4200,0.724757568692676,0.6381907162990046,0.5586361967941158
5,lipop,activity,tr,122,4200,0.5209413061211784,0.8118754627381843,0.4045315719814796
5,lipop,activity,va,122,4200,0.7286773845727704,0.6124758200325405,0.5572815765904204
5,lipop,activity,te,122,4200,0.7677028471757136,0.6187749684173369,0.5854414809336405
6,lipop,activity,tr,122,4200,0.5221524262394965,0.812203345909277,0.40712247297105153
6,lipop,activity,va,122,4200,0.7254319836575059,0.6392675164271312,0.5504834778358573
6,lipop,activity,te,122,4200,0.7375950156899257,0.6101567389510638,0.5784673628128533
7,lipop,activity,tr,122,4200,0.5198709169256011,0.8148089392879568,0.4047085904879394
7,lipop,activity,va,122,4200,0.7349490897901518,0.6105495201430956,0.55630105830595
7,lipop,activity,te,122,4200,0.7211373992553227,0.6282807588497865,0.5574555399578355
8,lipop,activity,tr,122,4200,0.5114309686925674,0.8187695189916108,0.3998077745451954
8,lipop,activity,va,122,4200,0.7460638259685595,0.6439348635804609,0.5743981843178022
8,lipop,activity,te,122,4200,0.7327836644101904,0.5991835394134034,0.557457680277003
9,lipop,activity,tr,122,4200,0.5173993759110892,0.8164218283738569,0.40368905136646027
9,lipop,activity,va,122,4200,0.7107643664790904,0.6508420377557418,0.5602531841540169
9,lipop,activity,te,122,4200,0.6944224728102489,0.6431683703704589,0.5296890251357674
10,lipop,activity,tr,122,4200,0.5109362177693866,0.818048894517362,0.39904379631933407
10,lipop,activity,va,122,4200,0.7463982942630258,0.6214666496549631,0.5773515314423106
10,lipop,activity,te,122,4200,0.7510515911381688,0.629511734828077,0.571523988864099
11,lipop,activity,tr,122,4200,0.5139109555491199,0.8133643432197301,0.4004108764181127
11,lipop,activity,va,122,4200,0.7820360669211259,0.5889651540889365,0.6011452325829025
11,lipop,activity,te,122,4200,0.800976277580419,0.6131877932442851,0.606374834942127
12,lipop,activity,tr,122,4200,0.5148661443690746,0.8190627376430663,0.4011327149013016
12,lipop,activity,va,122,4200,0.7348186823818074,0.5665226443956906,0.566716036847884
12,lipop,activity,te,122,4200,0.734599380716776,0.6293135901642151,0.575966106203153
13,lipop,activity,tr,122,4200,0.5029015098205413,0.8248374194503836,0.3939444468951894
13,lipop,activity,va,122,4200,0.7594483553526693,0.6339247565728111,0.59192215321482
13,lipop,activity,te,122,4200,0.7640897650786878,0.5679877346033411,0.5786898861890195
14,lipop,activity,tr,122,4200,0.5108388344240078,0.8175857226204886,0.3983733575861052
14,lipop,activity,va,122,4200,0.7400364130641338,0.6103825466012398,0.5527763333328998
14,lipop,activity,te,122,4200,0.7814227400505102,0.6166992291473516,0.5935669020761145
15,lipop,activity,tr,122,4200,0.511871969868898,0.8193568477434299,0.4007190704068669
15,lipop,activity,va,122,4200,0.6959806279896594,0.626955275717113,0.5337315120320638
15,lipop,activity,te,122,4200,0.7258813195630871,0.658017752869355,0.565314759126913
