split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,lipop,activity,tr,1,4200,0.1849701853874022,0.976614791337689,0.12018427849933382
1,lipop,activity,va,1,4200,0.7814555132164378,0.5713179090362936,0.5691838110613063
1,lipop,activity,te,1,4200,0.7502984652970953,0.5754570187817076,0.5568350087019711
2,lipop,activity,tr,1,4200,0.19534819152475574,0.9733846223928199,0.12113716365052879
2,lipop,activity,va,1,4200,0.7484472704282988,0.637017729229748,0.5731924240674352
2,lipop,activity,te,1,4200,0.7474572487932427,0.6188164860431091,0.5583018370016143
3,lipop,activity,tr,1,4200,0.18884917427092585,0.9755985759224043,0.1203811466253339
3,lipop,activity,va,1,4200,0.7432456075610294,0.583735219355686,0.5567091938945111
3,lipop,activity,te,1,4200,0.8022978292162533,0.5490272771047571,0.6045408570386888
4,lipop,activity,tr,1,4200,0.19744660233057074,0.9732015037202164,0.12175303186974928
4,lipop,activity,va,1,4200,0.7458071795649716,0.591151117164995,0.5615935824594892
4,lipop,activity,te,1,4200,0.7479667575450117,0.6146469677756721,0.5591196329703861
5,lipop,activity,tr,1,4200,0.19729608726333855,0.9730160949178747,0.12186355332996714
5,lipop,activity,va,1,4200,0.7011910473830045,0.6411599163567011,0.5236759293568254
5,lipop,activity,te,1,4200,0.7656563122261211,0.6208047913928563,0.5639115230017447
6,lipop,activity,tr,1,4200,0.19561114013608258,0.9736439441936284,0.12145199157223738
6,lipop,activity,va,1,4200,0.7685632042128029,0.5950969671331774,0.5730086225622961
6,lipop,activity,te,1,4200,0.7596850628468274,0.5864564427399921,0.565397492585495
7,lipop,activity,tr,1,4200,0.19269505948606536,0.9745568935973382,0.12107287472698082
7,lipop,activity,va,1,4200,0.7702542562591596,0.5722343137598066,0.584035620475348
7,lipop,activity,te,1,4200,0.7510602067987443,0.5967925867959418,0.5640737881096918
8,lipop,activity,tr,1,4200,0.18925389550185823,0.9751831386941665,0.11937394701238803
8,lipop,activity,va,1,4200,0.7818507104823464,0.6089564232286899,0.5825982849214291
8,lipop,activity,te,1,4200,0.7544770202212833,0.5751006923711666,0.5766889804698959
9,lipop,activity,tr,1,4200,0.18730909068154467,0.9759404804756955,0.12063523572396258
9,lipop,activity,va,1,4200,0.74964831084216,0.6115941251280057,0.550228579928066
9,lipop,activity,te,1,4200,0.7142647899697964,0.6224849297290078,0.5288816561384887
10,lipop,activity,tr,1,4200,0.19431386024283773,0.9736834544950341,0.12047307784003769
10,lipop,activity,va,1,4200,0.7419152739926264,0.6260000911532537,0.5519345779589885
10,lipop,activity,te,1,4200,0.803588197744324,0.5758670482601849,0.5918475148464623
11,lipop,activity,tr,1,4200,0.17914365558086473,0.9773211132927491,0.11757320037951376
11,lipop,activity,va,1,4200,0.8050834971678803,0.5643808890191331,0.6008196256186293
11,lipop,activity,te,1,4200,0.8474585545425055,0.5669901266777579,0.6210457263283345
12,lipop,activity,tr,1,4200,0.19219949244003443,0.9747858798808438,0.12094451815070854
12,lipop,activity,va,1,4200,0.7618268767205442,0.5340722075469706,0.5691337760538853
12,lipop,activity,te,1,4200,0.7479979002994263,0.6156682124105458,0.5571580968398187
13,lipop,activity,tr,1,4200,0.19411500730822104,0.9739028139919931,0.1208514138878408
13,lipop,activity,va,1,4200,0.7954441410405956,0.5984004267859667,0.6010699208976165
13,lipop,activity,te,1,4200,0.7311805831121353,0.6043996999399686,0.5503486953263198
14,lipop,activity,tr,1,4200,0.18868233723543112,0.9751140908654696,0.12069494106880985
14,lipop,activity,va,1,4200,0.758097491816152,0.5911327323325082,0.5644926209992795
14,lipop,activity,te,1,4200,0.7971967112191428,0.6010682532181413,0.5883914415862531
15,lipop,activity,tr,1,4200,0.19532816564154412,0.9736955909269027,0.12163622055292833
15,lipop,activity,va,1,4200,0.7264489541555699,0.593578377749713,0.5399038439863799
15,lipop,activity,te,1,4200,0.7799190183470581,0.6052052733346907,0.5781871250905617
