split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,lipop,activity,tr,508,4200,0.09731081926759676,0.99352767907049,0.09203347729043465
1,lipop,activity,va,508,4200,0.5381322991661901,0.7967151842243206,0.38193982313991076
1,lipop,activity,te,508,4200,0.5517785576697146,0.7703940235079643,0.40062423049248697
2,lipop,activity,tr,508,4200,0.09654453726380476,0.993499163360123,0.09177736282048189
2,lipop,activity,va,508,4200,0.5410711017700786,0.8102981029817307,0.41286753286698863
2,lipop,activity,te,508,4200,0.5540942813025069,0.7905266736811536,0.39231815667034126
3,lipop,activity,tr,508,4200,0.09681554816508188,0.9935867937120823,0.09191016763998909
3,lipop,activity,va,508,4200,0.5520201377142656,0.7703773063498306,0.40461525625396433
3,lipop,activity,te,508,4200,0.5401360647473817,0.7955978817928807,0.39701054928767715
4,lipop,activity,tr,508,4200,0.09659146808665033,0.993586595534713,0.09110524478390164
4,lipop,activity,va,508,4200,0.5805196152311239,0.7522900262743325,0.41804612680999675
4,lipop,activity,te,508,4200,0.5602721428528146,0.783781800498238,0.41119727511650084
5,lipop,activity,tr,508,4200,0.09653270042785031,0.9935402342966606,0.09125783406581021
5,lipop,activity,va,508,4200,0.5362291857707219,0.7901402649678888,0.3812328025350253
5,lipop,activity,te,508,4200,0.5866319383705959,0.777399305878957,0.410284151047594
6,lipop,activity,tr,508,4200,0.09634265696115231,0.9936066204424517,0.0913474632960895
6,lipop,activity,va,508,4200,0.5823907930281356,0.7675011257276352,0.41492137647261235
6,lipop,activity,te,508,4200,0.5442514225933648,0.7877472965866417,0.3744354917545932
7,lipop,activity,tr,508,4200,0.09364386174311588,0.9939912019986296,0.0902683309984219
7,lipop,activity,va,508,4200,0.5986693355148216,0.7415885470720893,0.41282759096803445
7,lipop,activity,te,508,4200,0.5444945392645031,0.7880828715785031,0.41000739154783467
8,lipop,activity,tr,508,4200,0.09465683500930228,0.9937918649387562,0.09095524720875522
8,lipop,activity,va,508,4200,0.6070798343470982,0.764240555139028,0.4274541753457354
8,lipop,activity,te,508,4200,0.610947705139368,0.721386557839394,0.42846378015318975
9,lipop,activity,tr,508,4200,0.09489665306201657,0.9938245155864118,0.09099049855240895
9,lipop,activity,va,508,4200,0.547437746417663,0.7928713688313558,0.4032600517642562
9,lipop,activity,te,508,4200,0.5415210756528072,0.7830065938931562,0.3827236377510776
10,lipop,activity,tr,508,4200,0.09461305513738189,0.9937608783448658,0.09098930676640059
10,lipop,activity,va,508,4200,0.5828650930904633,0.7691664312857608,0.4297402718823647
10,lipop,activity,te,508,4200,0.5920068850878636,0.7698089515962228,0.4164547921584471
11,lipop,activity,tr,508,4200,0.09652679854406118,0.9934156232600794,0.09111562761301173
11,lipop,activity,va,508,4200,0.5790096238412794,0.7746816096283566,0.40573368493174533
11,lipop,activity,te,508,4200,0.5974469775280308,0.7847914110858214,0.43382491613111196
12,lipop,activity,tr,508,4200,0.09462368009888893,0.9938886238674086,0.09094629432789156
12,lipop,activity,va,508,4200,0.5806115353272528,0.7293691159320621,0.4124754602819881
12,lipop,activity,te,508,4200,0.5569259228992584,0.786940739759076,0.41519301880293635
13,lipop,activity,tr,508,4200,0.0966962259492961,0.9935241839531024,0.09145296138645619
13,lipop,activity,va,508,4200,0.6072358571807048,0.7659607566949814,0.45353203231333467
13,lipop,activity,te,508,4200,0.6042820391734992,0.7297991663691472,0.42321091634707036
14,lipop,activity,tr,508,4200,0.09682574975187176,0.9934465083019113,0.09161792045798409
14,lipop,activity,va,508,4200,0.6042224110130091,0.7402677465546932,0.41317480953344005
14,lipop,activity,te,508,4200,0.6632134041988393,0.7238950503599078,0.4720430050256198
15,lipop,activity,tr,508,4200,0.09703850267999975,0.9935078734019779,0.09190968187172525
15,lipop,activity,va,508,4200,0.5711172254333299,0.7488014561915162,0.4161335011971966
15,lipop,activity,te,508,4200,0.6019944210947961,0.7647892024004146,0.43026839299189606
