split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,lipop,activity,tr,103,4200,0.29852352651328046,0.9390891145941941,0.1842244865882443
1,lipop,activity,va,103,4200,0.5307316202066288,0.8022680963854093,0.3902862043213849
1,lipop,activity,te,103,4200,0.6021491892984624,0.7265601790530426,0.44201828529133097
2,lipop,activity,tr,103,4200,0.29978896106984015,0.9373176722015799,0.18445775196845512
2,lipop,activity,va,103,4200,0.583677609832561,0.7792457551927601,0.43104621230122137
2,lipop,activity,te,103,4200,0.5711598931124029,0.7774247855008726,0.42605038406287304
3,lipop,activity,tr,103,4200,0.3011090414370159,0.9379656001752734,0.18388655582017685
3,lipop,activity,va,103,4200,0.5515304961957113,0.7707844760627508,0.4127060493878423
3,lipop,activity,te,103,4200,0.5377749314876716,0.7973810094712019,0.4041895350883421
4,lipop,activity,tr,103,4200,0.3015483088858086,0.9374935419052667,0.18390821226320406
4,lipop,activity,va,103,4200,0.5709931321057209,0.7603532934117407,0.4220855877094942
4,lipop,activity,te,103,4200,0.5604679989597694,0.7836306059148578,0.4137771047944308
5,lipop,activity,tr,103,4200,0.29235936079666264,0.9407481570692378,0.18414545902800586
5,lipop,activity,va,103,4200,0.5802222788845854,0.7542932852673291,0.40522984417408187
5,lipop,activity,te,103,4200,0.61494727327817,0.7553918816475684,0.4339785029079968
6,lipop,activity,tr,103,4200,0.29984145733722317,0.9380734893432895,0.18606570940566378
6,lipop,activity,va,103,4200,0.5832381713409422,0.7668240620302935,0.416825610958638
6,lipop,activity,te,103,4200,0.5388207036174278,0.7919620172224622,0.3957260273531474
7,lipop,activity,tr,103,4200,0.29666700105018445,0.939693037164054,0.1820759705965167
7,lipop,activity,va,103,4200,0.5861286676339559,0.7523013400042822,0.4264306004322861
7,lipop,activity,te,103,4200,0.5875339711641681,0.7532569275014009,0.4290793887234192
8,lipop,activity,tr,103,4200,0.2935669530980151,0.9402866372392906,0.18276616113682442
8,lipop,activity,va,103,4200,0.6099988467418747,0.7619679076332919,0.4298310193066324
8,lipop,activity,te,103,4200,0.5835277208938789,0.7458342805177749,0.41405163540053225
9,lipop,activity,tr,103,4200,0.29789428153715736,0.9391453776035079,0.1852277493866417
9,lipop,activity,va,103,4200,0.5525599576628945,0.7889771538724777,0.40799331707942865
9,lipop,activity,te,103,4200,0.6061729805363472,0.7281001562728318,0.41097011099890374
10,lipop,activity,tr,103,4200,0.29408729292522995,0.9397199171707163,0.18175283501841258
10,lipop,activity,va,103,4200,0.5897208124551107,0.7637043196325843,0.44303751197562435
10,lipop,activity,te,103,4200,0.6193535532027962,0.748051264757601,0.4461190293622952
11,lipop,activity,tr,103,4200,0.2867957438697236,0.9418748252973537,0.1823715761376536
11,lipop,activity,va,103,4200,0.6580288499986315,0.7089852878511229,0.45822788252965974
11,lipop,activity,te,103,4200,0.6203417203666908,0.7679813778534401,0.4343485152569201
12,lipop,activity,tr,103,4200,0.2941528056057406,0.9409411026083089,0.1838648038631843
12,lipop,activity,va,103,4200,0.5943976388952799,0.7163647605109124,0.4054366536830333
12,lipop,activity,te,103,4200,0.5357230229896065,0.8028548170390286,0.40771734611623844
13,lipop,activity,tr,103,4200,0.29375366249960544,0.9402356726424166,0.18222852145520055
13,lipop,activity,va,103,4200,0.6243742677821174,0.7525634449887307,0.4503888080783669
13,lipop,activity,te,103,4200,0.5709993128493402,0.7587437996564532,0.42614201861027645
14,lipop,activity,tr,103,4200,0.29281956159162803,0.9400635262231289,0.18190772708031744
14,lipop,activity,va,103,4200,0.6383617447771115,0.7100881744718404,0.44686062905588164
14,lipop,activity,te,103,4200,0.642731555839037,0.7406854727631582,0.4542634346994722
15,lipop,activity,tr,103,4200,0.29233333220315055,0.9410809846049873,0.18327973890089388
15,lipop,activity,va,103,4200,0.5666935621370536,0.7526777680503924,0.41108356076016994
15,lipop,activity,te,103,4200,0.5977779547269559,0.7680725723605225,0.42703496020093024
