split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,lipop,activity,tr,122,4200,0.11750644383743616,0.9905624090038402,0.10450429049187443
1,lipop,activity,va,122,4200,0.6208781493989135,0.7293926593638943,0.4362400736059665
1,lipop,activity,te,122,4200,0.644843366631904,0.6864101319073731,0.45824448908574095
2,lipop,activity,tr,122,4200,0.1170433214377364,0.9904455186424778,0.10411545867480163
2,lipop,activity,va,122,4200,0.6153880383832901,0.7546076067224892,0.4547279877396603
2,lipop,activity,te,122,4200,0.6150039152461486,0.7419421025635679,0.46104595502285584
3,lipop,activity,tr,122,4200,0.11728912719868406,0.9905875972678766,0.10340680209039614
3,lipop,activity,va,122,4200,0.5977524030375622,0.730755012729994,0.4476256799858198
3,lipop,activity,te,122,4200,0.6055946013399466,0.7430533085238193,0.45665730656170794
4,lipop,activity,tr,122,4200,0.11723193491589225,0.9905528032074675,0.10363869460485735
4,lipop,activity,va,122,4200,0.6343891687191657,0.7041843035588962,0.46930240991920885
4,lipop,activity,te,122,4200,0.6090529243036652,0.7444921468303245,0.4495021392571627
5,lipop,activity,tr,122,4200,0.11889972958860129,0.990199920712753,0.10543873864603161
5,lipop,activity,va,122,4200,0.6514284526274698,0.6902854053002081,0.45347226971438687
5,lipop,activity,te,122,4200,0.6498852940443474,0.7268076551452674,0.4688514600443737
6,lipop,activity,tr,122,4200,0.11520266384243076,0.9908584825521216,0.10431298871983288
6,lipop,activity,va,122,4200,0.6552423838249953,0.7056962360499601,0.4671576101745576
6,lipop,activity,te,122,4200,0.6166030573128742,0.7275634122119115,0.4494116538029649
7,lipop,activity,tr,122,4200,0.11223221959071643,0.9913689411420243,0.10318243468834926
7,lipop,activity,va,122,4200,0.6768371693676193,0.6697018573414564,0.47566305146208065
7,lipop,activity,te,122,4200,0.6289513431291013,0.7172431719804067,0.474917048122971
8,lipop,activity,tr,122,4200,0.11638252941796065,0.9906150323057433,0.10394979436271064
8,lipop,activity,va,122,4200,0.6620802548359481,0.7195866029926345,0.4777198540147969
8,lipop,activity,te,122,4200,0.6592548938425647,0.6755851580577492,0.4575618309443046
9,lipop,activity,tr,122,4200,0.118289332469111,0.9904046592719187,0.10543659340073383
9,lipop,activity,va,122,4200,0.5709916738634491,0.7746641935852625,0.4244373434575442
9,lipop,activity,te,122,4200,0.6552763549964179,0.6822651853389823,0.4518057411117018
10,lipop,activity,tr,122,4200,0.11154265377025853,0.9913283195337043,0.10289790458312051
10,lipop,activity,va,122,4200,0.6430489601792982,0.719035821720414,0.48261536576082065
10,lipop,activity,te,122,4200,0.6681437040850491,0.7067927690601137,0.47139379798915454
11,lipop,activity,tr,122,4200,0.11790732370395134,0.9901757268092293,0.10508363214072097
11,lipop,activity,va,122,4200,0.6753539757291661,0.6934594041917694,0.47287658066132654
11,lipop,activity,te,122,4200,0.7050696881235081,0.700273631689637,0.48540842244717375
12,lipop,activity,tr,122,4200,0.11404558730908795,0.9911223847982596,0.1045586473681124
12,lipop,activity,va,122,4200,0.6011332860236256,0.7099000932293472,0.42668422001954304
12,lipop,activity,te,122,4200,0.6256299316087538,0.7311310910756572,0.4688193363378289
13,lipop,activity,tr,122,4200,0.11761159573279549,0.9904197743010292,0.1055080986063755
13,lipop,activity,va,122,4200,0.6737394584863995,0.7118903304972577,0.48933265682558263
13,lipop,activity,te,122,4200,0.6318348706375428,0.7045972772974803,0.4523279634710332
14,lipop,activity,tr,122,4200,0.11747500716239852,0.9903532288286456,0.10341250036852342
14,lipop,activity,va,122,4200,0.6851345791160098,0.6660480384257175,0.4860414876063106
14,lipop,activity,te,122,4200,0.6986959522624223,0.6935609859132275,0.5031879580714149
15,lipop,activity,tr,122,4200,0.11561837609798771,0.9907837862809968,0.10505387534071836
15,lipop,activity,va,122,4200,0.6300625456804448,0.6942729072876107,0.4478048020211559
15,lipop,activity,te,122,4200,0.6321854000587406,0.7406052121789095,0.4585404349505847
