split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,lipop,activity,tr,508,4200,0.1131987707460138,0.9912416719649088,0.08810672995908682
1,lipop,activity,va,508,4200,0.6333792937014662,0.7183858035690054,0.475162137623423
1,lipop,activity,te,508,4200,0.608820700542675,0.7204674605094148,0.46740679401305635
2,lipop,activity,tr,508,4200,0.13203680956496305,0.9878408312515055,0.10292467474059362
2,lipop,activity,va,508,4200,0.6340541979975555,0.7394951818994846,0.49139944562442084
2,lipop,activity,te,508,4200,0.6259274334703229,0.7326935943453645,0.4785275976778496
3,lipop,activity,tr,508,4200,0.13610664499899405,0.9873251260246806,0.10623001626444689
3,lipop,activity,va,508,4200,0.6711681732459064,0.6605563620912397,0.5153338677680525
3,lipop,activity,te,508,4200,0.603227429027952,0.7450581095629372,0.4596224255709399
4,lipop,activity,tr,508,4200,0.2112768539385477,0.9693157905505161,0.16418613942884114
4,lipop,activity,va,508,4200,0.6771198679810749,0.6629915348883579,0.5021635571873141
4,lipop,activity,te,508,4200,0.6599001590768719,0.700048765599305,0.4976146598227677
5,lipop,activity,tr,508,4200,0.19797456180677153,0.9728301878163437,0.1544540866690144
5,lipop,activity,va,508,4200,0.6172291513078162,0.7219511630299262,0.4506276900208896
5,lipop,activity,te,508,4200,0.670660826948187,0.7090616397945254,0.48724264649071153
6,lipop,activity,tr,508,4200,0.15665655389630373,0.9830959648468853,0.12276760901708807
6,lipop,activity,va,508,4200,0.6817801481063844,0.681374480927863,0.49634727484420943
6,lipop,activity,te,508,4200,0.6109037088748578,0.7325764755105881,0.4483770798469583
7,lipop,activity,tr,508,4200,0.1180036707401299,0.990458426313663,0.09260227429636451
7,lipop,activity,va,508,4200,0.653707440465067,0.691890856465676,0.48937970069074443
7,lipop,activity,te,508,4200,0.6149915867791891,0.729655615851988,0.4634327368136672
8,lipop,activity,tr,508,4200,0.2877047429799045,0.9426476468531797,0.22329903832187264
8,lipop,activity,va,508,4200,0.6717622878311749,0.711325298877715,0.5012990859810204
8,lipop,activity,te,508,4200,0.6906633778459822,0.6439369998696998,0.5049727744426401
9,lipop,activity,tr,508,4200,0.10947542063513079,0.9917813121855824,0.08542965131317938
9,lipop,activity,va,508,4200,0.6088413234729019,0.7438001333117351,0.4652255354602895
9,lipop,activity,te,508,4200,0.6170409813479395,0.718263037816443,0.4541350703474045
10,lipop,activity,tr,508,4200,0.1056208773435869,0.9922246336216595,0.08280197648396678
10,lipop,activity,va,508,4200,0.6594025050541037,0.7045635626663622,0.4843839527493117
10,lipop,activity,te,508,4200,0.6674729524482754,0.7073811769443015,0.4776728351735289
11,lipop,activity,tr,508,4200,0.21292841947730956,0.9679604706285598,0.16693178264415717
11,lipop,activity,va,508,4200,0.6935731828794891,0.676697054794178,0.5027548110737372
11,lipop,activity,te,508,4200,0.7152921427287081,0.6915194602623751,0.542257828421536
12,lipop,activity,tr,508,4200,0.21235724429997901,0.9692196533520482,0.1668001395566493
12,lipop,activity,va,508,4200,0.6740408043847145,0.6352641832537953,0.4891505660315749
12,lipop,activity,te,508,4200,0.6279924571090056,0.7290966327743676,0.475834904906473
13,lipop,activity,tr,508,4200,0.10792959723627668,0.9919321731560319,0.08345344590720694
13,lipop,activity,va,508,4200,0.638443450874304,0.7412867089107334,0.49084327954956614
13,lipop,activity,te,508,4200,0.6825222007605857,0.6553003222847704,0.4971042706980148
14,lipop,activity,tr,508,4200,0.10122432025588438,0.9928375639952681,0.07842222000991292
14,lipop,activity,va,508,4200,0.7149773776889696,0.6363221710011497,0.4950536079823024
14,lipop,activity,te,508,4200,0.7625817291175401,0.6349600525504699,0.561853416076196
15,lipop,activity,tr,508,4200,0.14293088193771245,0.9859151912700483,0.11233601751078089
15,lipop,activity,va,508,4200,0.6396352315390725,0.6849123702560103,0.4562914128114701
15,lipop,activity,te,508,4200,0.6862064428456282,0.6943799064544569,0.5093809068110727
