split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,lipop,activity,tr,103,4200,0.15168941536515093,0.9842729111358357,0.1136918841368141
1,lipop,activity,va,103,4200,0.5435922214540981,0.7925691779290402,0.4073347557119276
1,lipop,activity,te,103,4200,0.5978425655232912,0.7304575230897536,0.4321241289512033
2,lipop,activity,tr,103,4200,0.1481773827260108,0.9846863865209798,0.11127785988715351
2,lipop,activity,va,103,4200,0.544663455970476,0.8077707505483308,0.41125717625416147
2,lipop,activity,te,103,4200,0.5456605704771643,0.7968548123276394,0.41256239362105374
3,lipop,activity,tr,103,4200,0.1519657974733176,0.9841992864760817,0.11472833540385724
3,lipop,activity,va,103,4200,0.541303833075112,0.779206049577229,0.403187029995517
3,lipop,activity,te,103,4200,0.5570239954926826,0.7826163641151868,0.42018126514979776
4,lipop,activity,tr,103,4200,0.14895786506631212,0.9847476074445312,0.11276220036837557
4,lipop,activity,va,103,4200,0.5617232324725079,0.7680713134653311,0.4142012332569532
4,lipop,activity,te,103,4200,0.5824586915495988,0.7663184374410605,0.427920177277355
5,lipop,activity,tr,103,4200,0.15670101615448898,0.982977964927916,0.11917896125894062
5,lipop,activity,va,103,4200,0.5782711569811471,0.7559429899455691,0.40002817499678006
5,lipop,activity,te,103,4200,0.5868568686977332,0.7772285710699809,0.4283585718758405
6,lipop,activity,tr,103,4200,0.14105153536100884,0.9862959515510349,0.10507380949340427
6,lipop,activity,va,103,4200,0.575023653059761,0.7733460605535584,0.41463548624247465
6,lipop,activity,te,103,4200,0.5610931092178841,0.7744078646970243,0.42501103387010236
7,lipop,activity,tr,103,4200,0.15436005216809062,0.9836732851531417,0.11645894696605176
7,lipop,activity,va,103,4200,0.5818800977866667,0.7558792267972952,0.42507000071287315
7,lipop,activity,te,103,4200,0.5803981493711351,0.7592141058377001,0.4343605694626237
8,lipop,activity,tr,103,4200,0.14326901163893327,0.9857779654883443,0.10818055127956372
8,lipop,activity,va,103,4200,0.5918895943220362,0.7758912071918851,0.442860451562813
8,lipop,activity,te,103,4200,0.615650595577873,0.7170806849008653,0.43623904026397287
9,lipop,activity,tr,103,4200,0.14840245833361534,0.9848974101030538,0.11249589044932792
9,lipop,activity,va,103,4200,0.5300171674216374,0.8058441277730677,0.3965620238921314
9,lipop,activity,te,103,4200,0.5997347880765844,0.7338452068640361,0.4148476629869215
10,lipop,activity,tr,103,4200,0.15429367881816472,0.9834072798287465,0.1161964690007175
10,lipop,activity,va,103,4200,0.6094653829487923,0.7476165001877029,0.46142395739034603
10,lipop,activity,te,103,4200,0.6198028785095094,0.7476855673089073,0.44564948150772776
11,lipop,activity,tr,103,4200,0.1455244060188902,0.9850345238937499,0.1099541999117045
11,lipop,activity,va,103,4200,0.673001155897011,0.6955915555926804,0.48208056483949935
11,lipop,activity,te,103,4200,0.6445654329554713,0.7495074085883664,0.4597165427356959
12,lipop,activity,tr,103,4200,0.1499188957305233,0.9846590556737118,0.11343195770961616
12,lipop,activity,va,103,4200,0.6173959027336204,0.6939914772134304,0.4304819858598981
12,lipop,activity,te,103,4200,0.533606672464863,0.8044093673285744,0.3994562346882054
13,lipop,activity,tr,103,4200,0.14576287859176568,0.9852846929508243,0.10969508173987204
13,lipop,activity,va,103,4200,0.6242298651945575,0.7526778838721009,0.45626678476297355
13,lipop,activity,te,103,4200,0.5951651110132765,0.7378908139966158,0.42219130201699834
14,lipop,activity,tr,103,4200,0.15008886541111435,0.9842533575730914,0.11283809873707379
14,lipop,activity,va,103,4200,0.6462049422346204,0.7029204380216044,0.4436854853219889
14,lipop,activity,te,103,4200,0.6180148803486551,0.7602462184485153,0.439989098371317
15,lipop,activity,tr,103,4200,0.1520621876183,0.9840580561574891,0.11434375215614152
15,lipop,activity,va,103,4200,0.5964493866095453,0.7260231981144962,0.4196111943673283
15,lipop,activity,te,103,4200,0.5745152062476419,0.7857724220394597,0.41392052190360573
