split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,lipop,activity,tr,122,4200,0.15146094689094416,0.9843202504714597,0.11502910207821246
1,lipop,activity,va,122,4200,0.625536735197963,0.7253165714110181,0.45183614809026634
1,lipop,activity,te,122,4200,0.6065910046777357,0.7225111861425659,0.4359748055137073
2,lipop,activity,tr,122,4200,0.16945597106964125,0.9799724605809766,0.12944631247953856
2,lipop,activity,va,122,4200,0.6021295105757822,0.7650676511473151,0.4555122759942182
2,lipop,activity,te,122,4200,0.6067007723738566,0.74886312320398,0.45768935376086406
3,lipop,activity,tr,122,4200,0.14395690351638085,0.9858208569121082,0.10907467828320695
3,lipop,activity,va,122,4200,0.5883639063309705,0.7391462944312694,0.4492907680854911
3,lipop,activity,te,122,4200,0.614519728707238,0.7354238451855605,0.4679334285302265
4,lipop,activity,tr,122,4200,0.13560111740598088,0.9873602747850251,0.10278655676204444
4,lipop,activity,va,122,4200,0.6386908563794674,0.7001589477598626,0.46337958609542396
4,lipop,activity,te,122,4200,0.612634358068687,0.7414783694838389,0.46039758643791784
5,lipop,activity,tr,122,4200,0.14062681432624302,0.9862910518831098,0.1064906014190321
5,lipop,activity,va,122,4200,0.6236993951631454,0.7160911895784556,0.45911025773723996
5,lipop,activity,te,122,4200,0.6701568327524836,0.7094987494126267,0.4792939567800079
6,lipop,activity,tr,122,4200,0.14364255088747138,0.9857878603066514,0.10862733135334267
6,lipop,activity,va,122,4200,0.6261536802147467,0.7312467479410247,0.4561955930173358
6,lipop,activity,te,122,4200,0.5984151912591423,0.7433984328063625,0.44688088625066336
7,lipop,activity,tr,122,4200,0.1340761828955872,0.987682225512497,0.10181484350981986
7,lipop,activity,va,122,4200,0.6615051145072016,0.6844965277480657,0.475204924965775
7,lipop,activity,te,122,4200,0.6194304965553812,0.7257389276160978,0.46665839086331073
8,lipop,activity,tr,122,4200,0.14169246736013277,0.9860892442768234,0.10796497382091996
8,lipop,activity,va,122,4200,0.6574490758074153,0.7234958049221797,0.4787419898168395
8,lipop,activity,te,122,4200,0.6540018908888857,0.6807344947384133,0.47199375626622214
9,lipop,activity,tr,122,4200,0.13685931406310084,0.9871554777013465,0.1045243244492639
9,lipop,activity,va,122,4200,0.5856633189473359,0.7629354009992673,0.43787793424916727
9,lipop,activity,te,122,4200,0.6344806743172584,0.702112275978144,0.44953804345890164
10,lipop,activity,tr,122,4200,0.14362900876349033,0.9856217626817819,0.10944802327471048
10,lipop,activity,va,122,4200,0.6550674024594383,0.7084353625305354,0.49125648603060096
10,lipop,activity,te,122,4200,0.6575104187818451,0.7160510980498944,0.4846787070699391
11,lipop,activity,tr,122,4200,0.13696164249018947,0.9867438692697791,0.1039617582118913
11,lipop,activity,va,122,4200,0.6723986815285563,0.6961363278983712,0.4996300810800185
11,lipop,activity,te,122,4200,0.6959568501315204,0.7079713297913961,0.5065162084309296
12,lipop,activity,tr,122,4200,0.1386258959758174,0.9868831945580496,0.10651979673761701
12,lipop,activity,va,122,4200,0.6269489323663314,0.6844484115797029,0.46369496117666287
12,lipop,activity,te,122,4200,0.6232966367694525,0.7331328513823846,0.4583003128137263
13,lipop,activity,tr,122,4200,0.15868205254425144,0.9825606186481529,0.11998310553309245
13,lipop,activity,va,122,4200,0.6667973128655088,0.7177970496051465,0.4918864784778032
13,lipop,activity,te,122,4200,0.664297277218754,0.6734631061971412,0.47488729111417305
14,lipop,activity,tr,122,4200,0.14234007831955042,0.9858373208198984,0.10750431707650458
14,lipop,activity,va,122,4200,0.6720681448117068,0.678664397365587,0.4814733099858597
14,lipop,activity,te,122,4200,0.6716449876634135,0.7168300540159989,0.49129552586979813
15,lipop,activity,tr,122,4200,0.20344697225808517,0.9714634630180007,0.1544108507402903
15,lipop,activity,va,122,4200,0.6231534044861841,0.7009412295647677,0.4480757308613371
15,lipop,activity,te,122,4200,0.6307796319640311,0.7417575434039996,0.4713907151653299
